Time(s),  X,  Y,  Z, Gesture
1418329256.839000, -0.424768, 0.478863, 0.370901, Inactive
1418329257.089000, -0.584168, 0.701319, 0.582180, Inactive
1418329257.255000, -0.608242, 0.768533, 0.660914, Inactive
1418329257.421000, -0.559238, 0.713576, 0.613692, Inactive
1418329257.504000, -0.527932, 0.652449, 0.551825, Inactive
1418329257.587000, -0.539682, 0.660939, 0.566507, Inactive
1418329257.675000, -0.555741, 0.710990, 0.635997, Inactive
1418329257.837000, -0.547310, 0.729130, 0.672112, Inactive
1418329258.003000, -0.535854, 0.695574, 0.640453, Inactive
1418329258.086000, -0.552727, 0.662357, 0.599452, Inactive
1418329258.169000, -0.585239, 0.677362, 0.613371, Inactive
1418329258.255000, -0.590586, 0.719373, 0.661150, Inactive
1418329258.336000, -0.558823, 0.728963, 0.666221, Inactive
1418329258.419000, -0.532852, 0.691120, 0.606553, Inactive
1418329258.585000, -0.551048, 0.657059, 0.551330, Inactive
1418329258.751000, -0.589827, 0.674272, 0.567623, Inactive
1418329258.836000, -0.592561, 0.718601, 0.622012, Inactive
1418329258.917000, -0.555489, 0.724134, 0.620193, Inactive
1418329259.008000, -0.552313, 0.678193, 0.544501, Inactive
1418329259.084000, -0.645684, 0.655538, 0.503113, Inactive
1418329259.168000, -0.783255, 0.734850, 0.601705, Inactive
1418329259.250000, -0.815501, 0.891279, 0.780707, Hand Raise
1418329259.333000, -0.636766, 1.000000, 0.829825, Hand Raise
1418329259.416000, -0.298036, 0.958275, 0.591278, Hand Raise
1418329259.500000, 0.038716, 0.790443, 0.131698, Hand Raise
1418329259.583000, 0.255951, 0.617704, -0.312127, Hand Raise
1418329259.666000, 0.373178, 0.531792, -0.552295, Hand Raise
1418329259.750000, 0.483354, 0.517311, -0.594173, Hand Raise
1418329259.833000, 0.623861, 0.498795, -0.572080, Hand Raise
1418329259.923000, 0.739402, 0.438533, -0.585623, Hand Raise
1418329259.999000, 0.769711, 0.365116, -0.630024, Hand Raise
1418329260.082000, 0.740188, 0.315108, -0.663436, Hand Raise
1418329260.166000, 0.738167, 0.280165, -0.686337, Hand Raise
1418329260.415000, 0.807223, 0.231081, -0.728655, Brush Teeth
1418329260.501000, 0.894806, 0.177242, -0.788186, Brush Teeth
