Time(s),  X,  Y,  Z, Gesture
1418329375.370000, -0.776719, 0.231528, 0.109212, Inactive
1418329375.518000, -1.114403, 0.318206, 0.151973, Inactive
1418329375.601000, -1.214661, 0.348685, 0.196093, Inactive
1418329375.684000, -1.137728, 0.346070, 0.217427, Inactive
1418329375.767000, -1.055308, 0.342628, 0.182861, Inactive
1418329375.859000, -1.078489, 0.354766, 0.111823, Inactive
1418329376.016000, -1.166657, 0.395473, 0.100705, Inactive
1418329376.100000, -1.195831, 0.492081, 0.252823, Raise Hand
1418329376.188000, -1.095537, 0.663361, 0.563512, Raise Hand
1418329376.271000, -0.904810, 0.868842, 0.880516, Raise Hand
1418329376.349000, -0.702694, 1.000000, 1.000000, Raise Hand
1418329376.432000, -0.509269, 0.953370, 0.821667, Raise Hand
1418329376.515000, -0.273659, 0.729762, 0.421155, Raise Hand
1418329376.598000, 0.045187, 0.454215, -0.021269, Raise Hand
1418329376.681000, 0.406083, 0.280276, -0.356990, Raise Hand
1418329376.767000, 0.706827, 0.264238, -0.543016, Raise Hand
1418329376.933000, 0.873731, 0.333122, -0.611039, Raise Hand
1418329377.014000, 0.920522, 0.374659, -0.600149, Scratch Chin
1418329377.097000, 0.919377, 0.350316, -0.535418, Scratch Chin
1418329377.180000, 0.926182, 0.314444, -0.452800, Scratch Chin
1418329377.263000, 0.943061, 0.331858, -0.407062, Scratch Chin
1418329377.346000, 0.946320, 0.396678, -0.431977, Scratch Chin
1418329377.429000, 0.931700, 0.443476, -0.499833, Scratch Chin
1418329377.523000, 0.920214, 0.428396, -0.541917, Scratch Chin
1418329377.596000, 0.926406, 0.378927, -0.518808, Scratch Chin
1418329377.681000, 0.937594, 0.355555, -0.461504, Scratch Chin
1418329377.761000, 0.932642, 0.376904, -0.432409, Scratch Chin
1418329377.845000, 0.913848, 0.400590, -0.450148, Scratch Chin
1418329377.928000, 0.908024, 0.380067, -0.467713, Scratch Chin
1418329378.011000, 0.933252, 0.324892, -0.430349, Scratch Chin
1418329378.094000, 0.972913, 0.290780, -0.342815, Scratch Chin
1418329378.177000, 0.991094, 0.313846, -0.263927, Scratch Chin
1418329378.260000, 0.973061, 0.370360, -0.235401, Scratch Chin
1418329378.343000, 0.943259, 0.408717, -0.232875, Scratch Chin
1418329378.426000, 0.938915, 0.410372, -0.199511, Scratch Chin
1418329378.510000, 0.968353, 0.403677, -0.119772, Scratch Chin
1418329378.592000, 1.000000, 0.417183, -0.040452, Scratch Chin
1418329378.676000, 0.993153, 0.436311, -0.011724, Scratch Chin
1418329378.762000, 0.936429, 0.421757, -0.022584, Scratch Chin
1418329379.008000, 0.853107, 0.367302, -0.014989, Lower Hand
1418329379.091000, 0.767352, 0.321256, 0.036730, Lower Hand
1418329379.174000, 0.662968, 0.338262, 0.081006, Lower Hand
1418329379.257000, 0.473410, 0.415394, 0.043270, Lower Hand
1418329379.340000, 0.118666, 0.489917, -0.076404, Lower Hand
1418329379.424000, -0.427656, 0.504513, -0.179109, Lower Hand
1418329379.507000, -1.082177, 0.465051, -0.156290, Lower Hand
1418329379.590000, -1.653416, 0.424297, -0.002014, Lower Hand
1418329379.673000, -1.923465, 0.412968, 0.173954, Lower Hand
1418329379.756000, -1.776151, 0.401327, 0.248427, Inactive
1418329379.839000, -1.285581, 0.336529, 0.194565, Inactive
1418329379.922000, -0.685529, 0.210023, 0.088622, Inactive
