Time(s),  X,  Y,  Z, Gesture
1418329743.888000, -8.257510, 0.605488, -6.457050, Draw
1418329744.054000, -11.988115, 0.881317, -8.779066, Draw
1418329744.137000, -12.808209, 0.957265, -9.177091, Draw
1418329744.303000, -11.670094, 0.886878, -8.186203, Draw
1418329744.386000, -10.768794, 0.814151, -7.049288, Draw
1418329744.469000, -11.143085, 0.819022, -6.762819, Draw
1418329744.553000, -11.944654, 0.861203, -7.519839, Draw
1418329744.635000, -11.933926, 0.865055, -8.780312, Draw
1418329744.721000, -11.132259, 0.823564, -9.756744, Draw
1418329744.801000, -10.638915, 0.796565, -9.955388, Draw
1418329744.886000, -11.081815, 0.823016, -9.452083, Draw
1418329745.133000, -11.815121, 0.869564, -8.743908, Draw
1418329745.216000, -11.844993, 0.877873, -8.309274, Draw
1418329745.299000, -11.179913, 0.841621, -8.257387, Draw
1418329745.382000, -10.821885, 0.811724, -8.368503, Draw
1418329745.465000, -11.445015, 0.827557, -8.429376, Draw
1418329745.548000, -12.500712, 0.866713, -8.471682, Draw
1418329745.631000, -12.891623, 0.876262, -8.673582, Draw
1418329745.714000, -12.324503, 0.840935, -9.095482, Draw
1418329745.798000, -11.623323, 0.800089, -9.581608, Draw
1418329745.881000, -11.654434, 0.796280, -9.903431, Draw
1418329745.964000, -12.259991, 0.825176, -9.927374, Draw
1418329746.047000, -12.510256, 0.848139, -9.638604, Draw
1418329746.130000, -11.881843, 0.844067, -9.106576, Draw
1418329746.213000, -10.867804, 0.830690, -8.519349, Draw
1418329746.296000, -10.343992, 0.833127, -8.192309, Draw
1418329746.379000, -10.582371, 0.848391, -8.376180, Draw
1418329746.462000, -11.113134, 0.853817, -8.971002, Draw
1418329746.550000, -11.442357, 0.842610, -9.518076, Draw
1418329746.628000, -11.592375, 0.833367, -9.607779, Draw
1418329746.711000, -11.837811, 0.840710, -9.295542, Draw
1418329746.794000, -12.162302, 0.851317, -9.000852, Draw
1418329746.877000, -12.260847, 0.842340, -8.961063, Draw
1418329746.960000, -12.042552, 0.817643, -8.923236, Draw
1418329747.043000, -11.840656, 0.808601, -8.520717, Draw
1418329747.126000, -11.964332, 0.833183, -7.884968, Draw
1418329747.209000, -12.205515, 0.867114, -7.637560, Draw
1418329747.292000, -12.043734, 0.869969, -8.137041, Draw
1418329747.375000, -11.350776, 0.837161, -8.883615, Draw
1418329747.458000, -10.663040, 0.810666, -8.938864, Draw
1418329747.541000, -10.600228, 0.830573, -8.001583, Draw
1418329747.625000, -11.128205, 0.885404, -6.865533, Draw
1418329747.708000, -11.605874, 0.923223, -6.615729, Draw
1418329747.791000, -11.569449, 0.910698, -7.436332, Draw
1418329747.875000, -11.264211, 0.868298, -8.434086, Draw
1418329747.957000, -11.261814, 0.840918, -8.690462, Draw
1418329748.040000, -11.673526, 0.843673, -8.268519, Draw
1418329748.123000, -11.971128, 0.849994, -7.977800, Draw
1418329748.206000, -11.633145, 0.832154, -8.265122, Draw
1418329748.289000, -10.793989, 0.798865, -8.676717, Draw
1418329748.372000, -10.108902, 0.783280, -8.554552, Draw
1418329748.455000, -10.050489, 0.800973, -7.999448, Draw
1418329748.538000, -10.501521, 0.833285, -7.779155, Draw
1418329748.622000, -11.033123, 0.853817, -8.263006, Draw
1418329748.705000, -11.382330, 0.859394, -8.801886, Draw
1418329750.516000, -11.526927, 0.865905, -8.459414, Draw
1418329750.614000, -11.437024, 0.880088, -7.246481, Draw
1418329750.697000, -11.026914, 0.889087, -6.284138, Draw
1418329750.780000, -10.425494, 0.880882, -6.611682, Draw
1418329750.863000, -10.080121, 0.863978, -8.052364, Draw
1418329750.946000, -10.358054, 0.856964, -9.478732, Draw
1418329751.029000, -11.065528, 0.862923, -10.072932, Draw
1418329751.112000, -11.575262, 0.866142, -10.001873, Draw
1418329751.195000, -11.535653, 0.856699, -9.806567, Draw
1418329751.283000, -11.312909, 0.847294, -9.523379, Draw
1418329751.361000, -11.544082, 0.855670, -8.812112, Draw
1418329751.444000, -12.281872, 0.875142, -7.843824, Draw
1418329751.527000, -12.802097, 0.876500, -7.513354, Draw
1418329751.610000, -12.393236, 0.844632, -8.402487, Draw
1418329751.693000, -11.228703, 0.803657, -9.758310, Draw
1418329751.776000, -10.265238, 0.794134, -10.025521, Draw
1418329751.862000, -10.252132, 0.826430, -8.583131, Draw
1418329751.942000, -10.987052, 0.867703, -6.626330, Draw
1418329752.025000, -11.635880, 0.880037, -5.954533, Draw
1418329752.108000, -11.669561, 0.863332, -6.965666, Draw
1418329752.194000, -11.318275, 0.850755, -8.255475, Draw
1418329752.275000, -11.129869, 0.864691, -8.352278, Draw
1418329752.358000, -11.300651, 0.889997, -7.486907, Draw
1418329752.441000, -11.587595, 0.896771, -7.206031, Draw
1418329752.524000, -11.763643, 0.880448, -8.298581, Draw
1418329752.607000, -11.916515, 0.866608, -9.644697, Draw
1418329752.690000, -12.218696, 0.875952, -9.496838, Draw
1418329752.773000, -12.565070, 0.896670, -7.667114, Draw
1418329752.856000, -12.627912, 0.899751, -5.901339, Draw
1418329752.939000, -12.271151, 0.875820, -5.907016, Draw
1418329753.022000, -11.769582, 0.845786, -7.395445, Draw
1418329753.106000, -11.545235, 0.834109, -8.508056, Draw
1418329753.188000, -11.751748, 0.841529, -8.092927, Draw
1418329753.271000, -12.177420, 0.850545, -7.055253, Draw
1418329753.354000, -12.488668, 0.851076, -7.168874, Draw
1418329753.437000, -12.468907, 0.849699, -8.838558, Draw
1418329753.520000, -12.068711, 0.853570, -10.534452, Draw
1418329753.603000, -11.406985, 0.856681, -10.542492, Draw
1418329753.688000, -10.813078, 0.849517, -8.904835, Draw
1418329753.769000, -10.718765, 0.835886, -7.305027, Draw
1418329753.852000, -11.280907, 0.829239, -7.173073, Draw
1418329753.935000, -12.080172, 0.832753, -8.284144, Draw
1418329754.018000, -12.389056, 0.834560, -9.303522, Draw
1418329754.101000, -11.900202, 0.828372, -9.349275, Draw
1418329754.184000, -11.114703, 0.828662, -8.683440, Draw
1418329754.267000, -10.828311, 0.851883, -8.026853, Draw
1418329754.350000, -11.228001, 0.885259, -7.691362, Draw
1418329754.434000, -11.696648, 0.892086, -7.605070, Draw
