Time(s),  X,  Y,  Z, Gesture
1418282943.651000, 0.437918, -0.007234, -4.068949, Brush Teeth
1418282943.735000, 0.602081, -0.012393, -5.683793, Brush Teeth
1418282943.806000, 0.653849, -0.070767, -6.166590, Brush Teeth
1418282943.890000, 0.680047, -0.107401, -5.736906, Brush Teeth
1418282943.972000, 0.737579, -0.061348, -5.224588, Brush Teeth
1418282944.055000, 0.791077, 0.044471, -5.285344, Brush Teeth
1418282944.139000, 0.783813, 0.135477, -5.795852, Brush Teeth
1418282944.222000, 0.729093, 0.161794, -6.090897, Brush Teeth
1418282944.305000, 0.696714, 0.123718, -5.796892, Brush Teeth
1418282944.388000, 0.721047, 0.041872, -5.288531, Brush Teeth
1418282944.473000, 0.761639, -0.059464, -5.198918, Brush Teeth
1418282944.554000, 0.768411, -0.132628, -5.569798, Brush Teeth
1418282944.637000, 0.756812, -0.107801, -5.728707, Brush Teeth
1418282944.720000, 0.785371, 0.046504, -5.116072, Brush Teeth
1418282944.803000, 0.864938, 0.265888, -4.061312, Brush Teeth
1418282944.886000, 0.927458, 0.427158, -3.486463, Brush Teeth
1418282944.969000, 0.906092, 0.464400, -3.820484, Brush Teeth
1418282945.053000, 0.826935, 0.435370, -4.444813, Brush Teeth
1418282945.136000, 0.788937, 0.451488, -4.405199, Brush Teeth
1418282945.219000, 0.849103, 0.546721, -3.567934, Brush Teeth
1418282945.302000, 0.953553, 0.640649, -2.801268, Brush Teeth
1418282945.385000, 1.000000, 0.640130, -2.922288, Brush Teeth
1418282945.468000, 0.953321, 0.555384, -3.671898, Brush Teeth
1418282945.551000, 0.873206, 0.490517, -3.977426, Brush Teeth
1418282945.634000, 0.828519, 0.523907, -3.212474, Brush Teeth
1418282945.717000, 0.814570, 0.624312, -1.957930, Brush Teeth
1418282945.800000, 0.776209, 0.695865, -1.368999, Brush Teeth
1418282945.884000, 0.696032, 0.686199, -1.903990, Brush Teeth
1418282945.967000, 0.624481, 0.628780, -2.873122, Brush Teeth
1418282946.050000, 0.612002, 0.588264, -3.244137, Brush Teeth
1418282946.133000, 0.637358, 0.594541, -2.707334, Brush Teeth
1418282946.216000, 0.631822, 0.639795, -1.843803, Brush Teeth
1418282946.299000, 0.570505, 0.711154, -1.387453, Brush Teeth
1418282946.382000, 0.510631, 0.792358, -1.536224, Brush Teeth
1418282946.465000, 0.523402, 0.838693, -1.989713, Brush Teeth
1418282946.548000, 0.603882, 0.791991, -2.429124, Brush Teeth
1418282946.631000, 0.672836, 0.650467, -2.767069, Brush Teeth
1418282946.714000, 0.668380, 0.508806, -2.997159, Brush Teeth
1418282946.797000, 0.613796, 0.490198, -3.030025, Brush Teeth
1418282946.880000, 0.581677, 0.621371, -2.791362, Brush Teeth
1418282946.964000, 0.605530, 0.792150, -2.384380, Brush Teeth
1418282947.047000, 0.649531, 0.859766, -2.027300, Brush Teeth
1418282947.130000, 0.665402, 0.789472, -1.849177, Brush Teeth
1418282947.213000, 0.654614, 0.675009, -1.846872, Brush Teeth
1418282947.296000, 0.656154, 0.621680, -2.030850, Brush Teeth
1418282947.379000, 0.683738, 0.633918, -2.462293, Brush Teeth
1418282947.462000, 0.701449, 0.634574, -3.049618, Brush Teeth
1418282947.545000, 0.670995, 0.578309, -3.415187, Brush Teeth
1418282947.628000, 0.606168, 0.513504, -3.164782, Brush Teeth
1418282947.711000, 0.560235, 0.522994, -2.352470, Brush Teeth
1418282947.794000, 0.560251, 0.626607, -1.548604, Brush Teeth
1418282947.877000, 0.571645, 0.764679, -1.306671, Brush Teeth
1418282947.960000, 0.538566, 0.869147, -1.580076, Brush Teeth
1418282948.043000, 0.451637, 0.923458, -1.780153, Brush Teeth
1418282948.127000, 0.363724, 0.945125, -1.435326, Brush Teeth
1418282948.210000, 0.339258, 0.936112, -0.688310, Brush Teeth
1418282948.296000, 0.397518, 0.880920, -0.069578, Brush Teeth
1418282948.376000, 0.506479, 0.791402, 0.132544, Brush Teeth
1418282949.149000, 0.618731, 0.722253, 0.128182, Brush Teeth
1418282949.290000, 0.701602, 0.719551, 0.249539, Brush Teeth
1418282949.373000, 0.739396, 0.763030, 0.480161, Brush Teeth
1418282949.457000, 0.727652, 0.782488, 0.494196, Brush Teeth
1418282949.540000, 0.678654, 0.737689, 0.116349, Brush Teeth
1418282949.623000, 0.625370, 0.667786, -0.409571, Brush Teeth
1418282949.706000, 0.603383, 0.650785, -0.667739, Brush Teeth
1418282949.789000, 0.621817, 0.721437, -0.499146, Brush Teeth
1418282949.872000, 0.657539, 0.840211, -0.110183, Brush Teeth
1418282949.955000, 0.682911, 0.937319, 0.181304, Brush Teeth
1418282950.038000, 0.694609, 0.969965, 0.192548, Brush Teeth
1418282950.121000, 0.708380, 0.934241, -0.114506, Brush Teeth
1418282950.204000, 0.728797, 0.844431, -0.706298, Brush Teeth
1418282950.287000, 0.736331, 0.725889, -1.440400, Brush Teeth
1418282950.371000, 0.711031, 0.624602, -2.026717, Brush Teeth
1418282950.454000, 0.662206, 0.593595, -2.198339, Brush Teeth
1418282950.537000, 0.623197, 0.646682, -1.987445, Brush Teeth
1418282950.621000, 0.614888, 0.732131, -1.739292, Brush Teeth
1418282950.703000, 0.623236, 0.773713, -1.758796, Brush Teeth
1418282950.786000, 0.619828, 0.744675, -1.985200, Brush Teeth
1418282950.869000, 0.599911, 0.688114, -2.119585, Brush Teeth
1418282950.952000, 0.589355, 0.655735, -2.064094, Brush Teeth
1418282951.035000, 0.610468, 0.641196, -2.094714, Brush Teeth
1418282951.368000, 0.648488, 0.597167, -2.505599, Brush Teeth
1418282951.534000, 0.661248, 0.519407, -3.162871, Brush Teeth
1418282951.617000, 0.623415, 0.486213, -3.563587, Brush Teeth
1418282951.700000, 0.556272, 0.584804, -3.369153, Brush Teeth
1418282951.783000, 0.510949, 0.795110, -2.776777, Brush Teeth
1418282951.866000, 0.524342, 0.967678, -2.302164, Brush Teeth
1418282951.949000, 0.592221, 0.938214, -2.285480, Brush Teeth
1418282952.032000, 0.679812, 0.670994, -2.718094, Brush Teeth
1418282952.117000, 0.751035, 0.289234, -3.476521, Brush Teeth
1418282952.198000, 0.787686, -0.031043, -4.495482, Brush Teeth
1418282952.281000, 0.790709, -0.192580, -5.599170, Brush Teeth
1418282952.364000, 0.774193, -0.214918, -6.338520, Brush Teeth
1418282952.447000, 0.759151, -0.169471, -6.281003, Brush Teeth
1418282952.530000, 0.763464, -0.098296, -5.534283, Brush Teeth
1418282952.613000, 0.788347, 0.006232, -4.781458, Brush Teeth
1418282952.696000, 0.814590, 0.162745, -4.596362, Brush Teeth
1418282952.779000, 0.819342, 0.358214, -4.776738, Brush Teeth
1418282952.863000, 0.801196, 0.542614, -4.571034, Brush Teeth
1418282952.945000, 0.784990, 0.658774, -3.638086, Brush Teeth
1418282953.029000, 0.794934, 0.679857, -2.601079, Brush Teeth
1418282953.112000, 0.822327, 0.627959, -2.443486, Brush Teeth
1418282953.196000, 0.827960, 0.560544, -3.378236, Brush Teeth
1418282953.278000, 0.785356, 0.531048, -4.513087, Brush Teeth
1418282953.361000, 0.720908, 0.551913, -4.735839, Brush Teeth
1418282953.444000, 0.699535, 0.592356, -3.823164, Brush Teeth
1418282953.527000, 0.758242, 0.613555, -2.559846, Brush Teeth
1418282953.610000, 0.853121, 0.604617, -1.857101, Brush Teeth
1418282953.693000, 0.884821, 0.581580, -1.957044, Brush Teeth
1418282953.776000, 0.791625, 0.557317, -2.511499, Brush Teeth
1418282953.859000, 0.621729, 0.527504, -3.159920, Brush Teeth
1418282953.942000, 0.504534, 0.494055, -3.754905, Brush Teeth
1418282954.025000, 0.537695, 0.489080, -4.098489, Brush Teeth
1418282954.690000, 0.696320, 0.550776, -3.838555, Brush Teeth
1418282954.773000, 0.854944, 0.665242, -2.898805, Brush Teeth
1418282954.856000, 0.901583, 0.748670, -1.894065, Brush Teeth
1418282954.939000, 0.831160, 0.713269, -1.782827, Brush Teeth
1418282955.022000, 0.731188, 0.559981, -2.929694, Brush Teeth
1418282955.105000, 0.686778, 0.393494, -4.613886, Brush Teeth
1418282955.188000, 0.709537, 0.331312, -5.626082, Brush Teeth
1418282955.271000, 0.754535, 0.398074, -5.357082, Brush Teeth
1418282955.354000, 0.785749, 0.515701, -4.229372, Brush Teeth
1418282955.437000, 0.805838, 0.592007, -3.124342, Brush Teeth
1418282955.520000, 0.825669, 0.603241, -2.574854, Brush Teeth
1418282955.603000, 0.830073, 0.586416, -2.567889, Brush Teeth
1418282955.686000, 0.795135, 0.572689, -2.897913, Brush Teeth
1418282955.769000, 0.734741, 0.555642, -3.408252, Brush Teeth
1418282955.853000, 0.705583, 0.525504, -3.871352, Brush Teeth
1418282955.935000, 0.748868, 0.504826, -3.939339, Brush Teeth
1418282956.018000, 0.833584, 0.523686, -3.485168, Brush Teeth
1418282956.268000, 0.876420, 0.566714, -2.924920, Brush Teeth
1418282956.351000, 0.826383, 0.575574, -2.916657, Brush Teeth
1418282956.434000, 0.721664, 0.520557, -3.607730, Brush Teeth
1418282956.519000, 0.653460, 0.452863, -4.339404, Brush Teeth
1418282956.600000, 0.676402, 0.458236, -4.298564, Brush Teeth
1418282956.683000, 0.762867, 0.554753, -3.430890, Brush Teeth
1418282956.766000, 0.842711, 0.659024, -2.517675, Brush Teeth
1418282956.849000, 0.873171, 0.672041, -2.299752, Brush Teeth
1418282956.932000, 0.861756, 0.589654, -2.711023, Brush Teeth
1418282957.015000, 0.833691, 0.505766, -3.134495, Brush Teeth
1418282957.098000, 0.799635, 0.501566, -3.281235, Brush Teeth
1418282957.181000, 0.761915, 0.551314, -3.515165, Brush Teeth
1418282957.264000, 0.734884, 0.555206, -4.221794, Brush Teeth
1418282957.347000, 0.738314, 0.456851, -5.120254, Brush Teeth
1418282957.430000, 0.770478, 0.304705, -5.506645, Brush Teeth
1418282957.513000, 0.804721, 0.190726, -5.153801, Brush Teeth
1418282957.597000, 0.821781, 0.148966, -4.658276, Brush Teeth
1418282957.680000, 0.833701, 0.136736, -4.705250, Brush Teeth
1418282957.763000, 0.859791, 0.109861, -5.164525, Brush Teeth
1418282957.846000, 0.883239, 0.087625, -5.222021, Brush Teeth
1418282957.929000, 0.854977, 0.125596, -4.442411, Brush Teeth
1418282958.012000, 0.755951, 0.237499, -3.417679, Brush Teeth
1418282958.095000, 0.643559, 0.369446, -3.126785, Brush Teeth
1418282958.266000, 0.610274, 0.456894, -3.763305, Brush Teeth
1418282958.345000, 0.685613, 0.488319, -4.497042, Brush Teeth
1418282958.427000, 0.793369, 0.497852, -4.483676, Brush Teeth
1418282958.510000, 0.824383, 0.507348, -3.866846, Brush Teeth
1418282958.593000, 0.751614, 0.502285, -3.525184, Brush Teeth
1418282958.676000, 0.658573, 0.472383, -3.898067, Brush Teeth
1418282958.759000, 0.647667, 0.452885, -4.377816, Brush Teeth
1418282958.842000, 0.732178, 0.497039, -4.035073, Brush Teeth
1418282958.925000, 0.831570, 0.605001, -2.775523, Brush Teeth
1418282959.008000, 0.867256, 0.703275, -1.505676, Brush Teeth
1418282959.092000, 0.842792, 0.715033, -1.126673, Brush Teeth
1418282959.175000, 0.820742, 0.646839, -1.590936, Brush Teeth
1418282959.258000, 0.836079, 0.587351, -2.110177, Brush Teeth
1418282959.341000, 0.855623, 0.612609, -2.160045, Brush Teeth
1418282959.673000, 0.827227, 0.703571, -2.018912, Brush Teeth
1418282961.474000, 0.750707, 0.769536, -2.261078, Brush Teeth
1418282961.583000, 0.681961, 0.749170, -2.938937, Brush Teeth
1418282961.666000, 0.668752, 0.673980, -3.488670, Brush Teeth
1418282961.750000, 0.698028, 0.627202, -3.414865, Brush Teeth
1418282961.833000, 0.714773, 0.652121, -2.863918, Brush Teeth
1418282961.916000, 0.684861, 0.714398, -2.420863, Brush Teeth
1418282962.000000, 0.628234, 0.751383, -2.454578, Brush Teeth
1418282962.083000, 0.591148, 0.741027, -2.812166, Brush Teeth
1418282962.166000, 0.596415, 0.711492, -3.131018, Brush Teeth
1418282962.249000, 0.626244, 0.692268, -3.284439, Brush Teeth
1418282962.332000, 0.647175, 0.675174, -3.432503, Brush Teeth
1418282962.415000, 0.642516, 0.631577, -3.730872, Brush Teeth
1418282962.498000, 0.620325, 0.557818, -4.131546, Brush Teeth
1418282962.581000, 0.597843, 0.488603, -4.474755, Brush Teeth
1418282962.664000, 0.583749, 0.462275, -4.659175, Brush Teeth
1418282962.747000, 0.573491, 0.481560, -4.658704, Brush Teeth
1418282962.830000, 0.557703, 0.515869, -4.455303, Brush Teeth
1418282962.917000, 0.535064, 0.538835, -4.073887, Brush Teeth
1418282962.996000, 0.518487, 0.554501, -3.680257, Brush Teeth
1418282963.080000, 0.526017, 0.583259, -3.526251, Brush Teeth
1418282963.163000, 0.560282, 0.627997, -3.714002, Brush Teeth
1418282963.246000, 0.596891, 0.662338, -4.051936, Brush Teeth
1418282963.329000, 0.600942, 0.655160, -4.225248, Brush Teeth
1418282963.412000, 0.562220, 0.604505, -4.115941, Brush Teeth
1418282963.495000, 0.512021, 0.544893, -3.894238, Brush Teeth
1418282963.578000, 0.496789, 0.520218, -3.776237, Brush Teeth
1418282963.661000, 0.531477, 0.547302, -3.762611, Brush Teeth
