Time(s),  X,  Y,  Z, 
1418282902.604000, 0.069797, 0.785327, -5.768637, Inactive
1418282902.768000, 0.096139, 0.985319, -8.964919, Inactive
1418282902.851000, 0.195652, 0.932027, -10.466847, Inactive
1418282903.017000, 0.379797, 0.770873, -10.112131, Inactive
1418282903.100000, 0.565496, 0.680276, -8.790909, Inactive
1418282903.184000, 0.655881, 0.706855, -7.709586, Inactive
1418282903.267000, 0.648068, 0.763873, -7.545593, Inactive
1418282903.350000, 0.637242, 0.763495, -8.109869, Inactive
1418282903.433000, 0.706510, 0.715641, -8.721453, Inactive
1418282903.516000, 0.829792, 0.689002, -8.917081, Inactive
1418282903.599000, 0.902909, 0.703334, -8.839308, Inactive
1418282903.682000, 0.867489, 0.697216, -8.962935, Brush Teeth
1418282903.765000, 0.781533, 0.610926, -9.484780, Brush Teeth
1418282903.852000, 0.751953, 0.475285, -10.058187, Brush Teeth
1418282903.931000, 0.806363, 0.387377, -10.185757, Brush Teeth
1418282904.015000, 0.853795, 0.394051, -9.838659, Brush Teeth
1418282904.098000, 0.782616, 0.422952, -9.569152, Brush Teeth
1418282904.181000, 0.587829, 0.351962, -9.917831, Brush Teeth
1418282904.264000, 0.388128, 0.146038, -10.739827, Brush Teeth
1418282904.347000, 0.316836, -0.093079, -11.242159, Brush Teeth
1418282904.596000, 0.404694, -0.223164, -10.779094, Brush Teeth
1418282904.679000, 0.569637, -0.197519, -9.584678, Brush Teeth
1418282904.767000, 0.705828, -0.091807, -8.625455, Brush Teeth
1418282904.846000, 0.768171, -0.001446, -8.680841, Brush Teeth
1418282904.929000, 0.777127, 0.061997, -9.600172, Brush Teeth
1418282905.012000, 0.768079, 0.152127, -10.500914, Brush Teeth
1418282905.095000, 0.756716, 0.275390, -10.660803, Brush Teeth
1418282905.178000, 0.747004, 0.333080, -10.144778, Brush Teeth
1418282905.261000, 0.747106, 0.208761, -9.566542, Brush Teeth
1418282905.344000, 0.761224, -0.080594, -9.360829, Brush Teeth
1418282905.427000, 0.774672, -0.343180, -9.411582, Brush Teeth
1418282905.510000, 0.766412, -0.353229, -9.362641, Brush Teeth
1418282905.593000, 0.741221, -0.054880, -9.115894, Brush Teeth
1418282905.677000, 0.735144, 0.368954, -8.883458, Brush Teeth
1418282905.760000, 0.775384, 0.639281, -8.806320, Brush Teeth
1418282905.843000, 0.839741, 0.611170, -8.720912, Brush Teeth
1418282905.926000, 0.872983, 0.386022, -8.422935, Brush Teeth
1418282906.014000, 0.850596, 0.212688, -8.064196, Brush Teeth
1418282906.092000, 0.814156, 0.274567, -8.076459, Brush Teeth
1418282906.175000, 0.827550, 0.550017, -8.610708, Brush Teeth
1418282906.258000, 0.898940, 0.853208, -9.182026, Brush Teeth
1418282906.341000, 0.962915, 1.000000, -9.078002, Brush Teeth
1418282906.427000, 0.951273, 0.946598, -8.179385, Brush Teeth
1418282906.591000, 0.872544, 0.790638, -7.233966, Brush Teeth
1418282906.674000, 0.803751, 0.653947, -7.141910, Brush Teeth
1418282906.757000, 0.801081, 0.566678, -7.956273, Brush Teeth
1418282906.840000, 0.837234, 0.461433, -8.743384, Brush Teeth
1418282906.925000, 0.844408, 0.277483, -8.568620, Brush Teeth
1418282907.006000, 0.810967, 0.066019, -7.582873, Brush Teeth
1418282907.089000, 0.805977, -0.021332, -6.959716, Brush Teeth
1418282907.172000, 0.887761, 0.130511, -7.625221, Brush Teeth
1418282907.255000, 1.000000, 0.461267, -9.081587, Brush Teeth
1418282907.338000, 0.991503, 0.742362, -9.639373, Brush Teeth
1418282907.424000, 0.761400, 0.751293, -7.953251, Brush Teeth
