Time(s),  X,  Y,  Z, Gesture
1418260121.214000, 0.487192, 0.376095, -0.707965, Inactive
1418260121.376000, 0.811563, 0.478585, -0.639629, Inactive
1418260121.454000, 0.972910, 0.431725, -0.514897, Inactive
1418260121.537000, 0.957373, 0.313956, -0.680886, Inactive
1418260121.620000, 0.881556, 0.276797, -1.009068, Raise Hand
1418260121.703000, 0.874553, 0.419777, -0.971928, Raise Hand
1418260121.789000, 0.952626, 0.699629, -0.276491, Raise Hand
1418260121.870000, 1.000000, 0.949955, 0.662460, Raise Hand
1418260121.953000, 0.870275, 1.000000, 1.000000, Raise Hand
1418260122.036000, 0.515700, 0.802090, 0.257874, Raise Hand
1418260122.285000, 0.032592, 0.468627, -1.183750, Raise Hand
1418260122.368000, -0.409334, 0.189323, -2.418081, Scratch Chin
1418260122.451000, -0.686293, 0.093937, -2.823715, Scratch Chin
1418260122.617000, -0.789352, 0.168994, -2.541249, Scratch Chin
1418260122.700000, -0.798879, 0.291039, -2.196643, Scratch Chin
1418260122.783000, -0.803152, 0.340659, -2.238507, Scratch Chin
1418260122.870000, -0.836035, 0.295686, -2.578514, Scratch Chin
1418260122.949000, -0.876255, 0.227384, -2.812352, Scratch Chin
1418260123.032000, -0.890512, 0.215525, -2.683824, Scratch Chin
1418260123.116000, -0.871554, 0.269835, -2.296464, Scratch Chin
1418260123.199000, -0.840517, 0.329754, -1.943247, Scratch Chin
1418260123.282000, -0.822643, 0.332221, -1.823919, Scratch Chin
1418260123.365000, -0.826257, 0.273128, -1.937007, Scratch Chin
1418260123.448000, -0.842639, 0.203923, -2.163588, Scratch Chin
1418260123.531000, -0.859479, 0.176527, -2.379262, Scratch Chin
1418260123.615000, -0.870403, 0.198433, -2.499810, Scratch Chin
1418260123.697000, -0.873904, 0.238563, -2.499513, Scratch Chin
1418260123.780000, -0.869430, 0.265512, -2.434357, Scratch Chin
1418260123.863000, -0.858916, 0.271608, -2.415573, Scratch Chin
1418260123.947000, -0.850602, 0.264036, -2.501904, Scratch Chin
1418260124.030000, -0.855585, 0.246610, -2.613289, Scratch Chin
1418260124.113000, -0.876161, 0.220067, -2.601620, Scratch Chin
1418260124.196000, -0.898322, 0.195538, -2.438234, Scratch Chin
1418260124.279000, -0.900611, 0.193613, -2.293915, Scratch Chin
1418260124.362000, -0.874476, 0.221743, -2.370254, Scratch Chin
1418260124.445000, -0.835700, 0.258228, -2.645114, Scratch Chin
1418260124.528000, -0.812276, 0.270755, -2.848236, Scratch Chin
1418260124.611000, -0.818426, 0.255127, -2.745459, Scratch Chin
1418260124.697000, -0.841338, 0.247131, -2.425223, Scratch Chin
1418260124.777000, -0.855746, 0.284743, -2.229090, Scratch Chin
1418260124.860000, -0.851474, 0.357727, -2.366090, Scratch Chin
1418260124.943000, -0.843400, 0.405605, -2.650932, Scratch Chin
1418260125.026000, -0.851742, 0.376356, -2.702201, Scratch Chin
1418260125.110000, -0.874875, 0.286367, -2.402724, Scratch Chin
1418260125.193000, -0.887825, 0.211615, -2.081707, Scratch Chin
1418260125.276000, -0.871280, 0.211348, -2.168364, Scratch Chin
1418260125.359000, -0.837756, 0.263464, -2.686693, Scratch Chin
1418260125.442000, -0.818922, 0.285052, -3.179629, Scratch Chin
1418260125.525000, -0.820379, 0.221542, -3.176932, Scratch Chin
1418260125.608000, -0.793743, 0.110126, -2.686419, Scratch Chin
1418260125.691000, -0.668183, 0.045977, -2.145601, Lower Hand
1418260125.774000, -0.423304, 0.083157, -1.893271, Lower Hand
1418260125.857000, -0.132583, 0.174582, -1.785453, Lower Hand
1418260125.940000, 0.077080, 0.216569, -1.411491, Lower Hand
