Time(s),  X,  Y,  Z, Gesture
1418260290.259000, -0.627198, 0.280692, -3.244545, Raise Hand
1418260290.344000, -0.787554, 0.463998, -3.631681, Raise Hand
1418260290.408000, -0.744564, 0.580020, -3.336153, Raise Hand
1418260290.491000, -0.624139, 0.626272, -3.767477, Raise Hand
1418260290.574000, -0.502002, 0.656884, -5.191570, Raise Hand
1418260290.657000, -0.316826, 0.714667, -6.294458, Raise Hand
1418260290.740000, -0.003918, 0.778562, -5.785373, Raise Hand
1418260290.823000, 0.342266, 0.781224, -3.981406, Raise Hand
1418260290.913000, 0.518329, 0.675129, -2.380131, Raise Hand
1418260290.989000, 0.441591, 0.478843, -1.848279, Raise Hand
1418260291.072000, 0.276292, 0.263879, -1.804434, Comb Hair
1418260291.155000, 0.276421, 0.104658, -1.388400, Comb Hair
1418260291.326000, 0.506717, 0.038238, -0.936241, Comb Hair
1418260291.404000, 0.764268, 0.053632, -1.654224, Comb Hair
1418260291.488000, 0.799866, 0.101183, -3.804141, Comb Hair
1418260291.571000, 0.593754, 0.115970, -5.824642, Comb Hair
1418260291.654000, 0.380321, 0.060165, -5.792278, Comb Hair
1418260291.737000, 0.401783, -0.032141, -3.664202, Comb Hair
1418260291.824000, 0.662984, -0.058237, -1.586012, Comb Hair
1418260291.903000, 0.936291, 0.069893, -1.735327, Comb Hair
1418260291.986000, 0.985746, 0.316002, -4.074129, Comb Hair
1418260292.069000, 0.771892, 0.501944, -6.486372, Comb Hair
1418260292.156000, 0.461418, 0.441310, -7.020053, Comb Hair
1418260292.235000, 0.276250, 0.127153, -5.685458, Comb Hair
1418260292.318000, 0.334257, -0.215650, -4.043882, Comb Hair
1418260292.401000, 0.585843, -0.301478, -3.433647, Comb Hair
1418260292.484000, 0.854016, -0.044159, -3.921145, Comb Hair
1418260292.567000, 0.943131, 0.343431, -4.769905, Comb Hair
1418260292.650000, 0.770199, 0.525368, -5.379443, Comb Hair
1418260292.733000, 0.442945, 0.341824, -5.533617, Comb Hair
1418260292.816000, 0.203429, -0.049486, -5.125394, Comb Hair
1418260292.899000, 0.244676, -0.320798, -4.205774, Comb Hair
1418260292.982000, 0.540817, -0.264513, -3.376103, Comb Hair
1418260293.065000, 0.854123, 0.044513, -3.638990, Comb Hair
1418260293.148000, 0.930662, 0.342701, -5.386524, Comb Hair
1418260293.231000, 0.711311, 0.409905, -7.591814, Comb Hair
1418260293.314000, 0.368178, 0.222870, -8.455332, Comb Hair
1418260293.397000, 0.149216, -0.071401, -7.163655, Comb Hair
1418260293.480000, 0.187212, -0.288787, -4.904834, Comb Hair
1418260293.563000, 0.429288, -0.319294, -3.861655, Comb Hair
1418260293.646000, 0.704475, -0.163557, -5.091569, Comb Hair
1418260293.729000, 0.840936, 0.080548, -7.488569, Comb Hair
1418260293.812000, 0.756392, 0.259322, -8.891649, Comb Hair
1418260293.895000, 0.500256, 0.241607, -8.147108, Comb Hair
1418260293.978000, 0.235279, 0.016380, -6.055037, Comb Hair
1418260294.061000, 0.140673, -0.269879, -4.438733, Comb Hair
1418260294.144000, 0.273675, -0.405181, -4.455176, Comb Hair
1418260294.227000, 0.505814, -0.286106, -5.756038, Comb Hair
1418260294.310000, 0.623625, -0.019889, -7.030813, Comb Hair
1418260294.397000, 0.524106, 0.157134, -7.199695, Comb Hair
1418260294.476000, 0.310614, 0.082681, -6.215470, Comb Hair
1418260294.559000, 0.179692, -0.194402, -4.977424, Comb Hair
1418260294.642000, 0.217652, -0.467248, -4.541777, Comb Hair
1418260294.974000, 0.332364, -0.550392, -5.233520, Comb Hair
1418260295.057000, 0.388121, -0.410559, -6.353259, Comb Hair
1418260296.763000, 0.370151, -0.148602, -6.802278, Comb Hair
1418260296.883000, 0.377477, 0.108330, -6.150536, Comb Hair
1418260296.966000, 0.466430, 0.281849, -5.094611, Comb Hair
1418260297.049000, 0.559177, 0.341633, -4.712714, Comb Hair
1418260297.298000, 0.543570, 0.284966, -5.223284, Comb Hair
1418260297.381000, 0.433523, 0.146784, -5.673113, Comb Hair
1418260297.464000, 0.370208, 0.010323, -5.051052, Comb Hair
1418260297.547000, 0.448735, -0.036790, -3.610044, Comb Hair
1418260297.630000, 0.591531, 0.019231, -2.760771, Comb Hair
1418260297.713000, 0.641596, 0.097528, -3.507757, Comb Hair
1418260297.796000, 0.564629, 0.104279, -5.224308, Comb Hair
1418260297.879000, 0.495987, 0.036696, -6.288733, Comb Hair
1418260297.962000, 0.559971, -0.015398, -5.889051, Comb Hair
1418260298.045000, 0.691069, 0.016398, -4.829396, Comb Hair
1418260298.128000, 0.703108, 0.082344, -4.369332, Comb Hair
1418260298.211000, 0.539557, 0.064039, -4.599575, Comb Hair
1418260298.294000, 0.385972, -0.070660, -4.470009, Comb Hair
1418260298.378000, 0.471821, -0.190344, -3.453909, Comb Hair
1418260298.461000, 0.776099, -0.116620, -2.617274, Comb Hair
1418260298.544000, 1.000000, 0.169337, -3.491456, Comb Hair
1418260298.627000, 0.873950, 0.459513, -5.982164, Comb Hair
1418260298.710000, 0.465841, 0.492217, -8.001898, Comb Hair
1418260298.793000, 0.135513, 0.209089, -7.566684, Comb Hair
1418260298.876000, 0.174121, -0.167318, -5.024756, Comb Hair
1418260298.959000, 0.517907, -0.327991, -2.745304, Comb Hair
1418260299.042000, 0.832519, -0.161706, -2.557503, Comb Hair
1418260299.125000, 0.851944, 0.145346, -3.916456, Comb Hair
1418260299.295000, 0.605605, 0.285718, -4.866225, Comb Hair
1418260299.375000, 0.333992, 0.108135, -4.485842, Comb Hair
1418260299.458000, 0.239184, -0.261220, -3.819229, Comb Hair
1418260299.541000, 0.340841, -0.546991, -4.313777, Comb Hair
1418260299.624000, 0.526708, -0.565426, -5.891181, Comb Hair
1418260299.706000, 0.672210, -0.362738, -7.068464, Comb Hair
1418260299.789000, 0.699327, -0.154159, -6.815406, Comb Hair
1418260299.872000, 0.581956, -0.141225, -5.673861, Comb Hair
1418260299.955000, 0.359988, -0.360423, -4.791378, Comb Hair
1418260300.038000, 0.146756, -0.662104, -4.325267, Comb Hair
1418260300.121000, 0.066170, -0.814165, -3.427054, Comb Hair
1418260300.204000, 0.142369, -0.653198, -1.784528, Comb Hair
1418260300.289000, 0.264271, -0.190851, -0.511580, Comb Hair
1418260300.370000, 0.288906, 0.387764, -0.991391, Lower Hand
1418260300.453000, 0.177718, 0.836249, -3.051104, Lower Hand
1418260300.536000, 0.005807, 1.000000, -4.887779, Lower Hand
1418260300.619000, -0.160209, 0.902939, -5.011068, Lower Hand
1418260300.702000, -0.346777, 0.702524, -3.857763, Lower Hand
1418260300.785000, -0.598482, 0.552105, -3.076982, Lower Hand
1418260300.868000, -0.843180, 0.488902, -3.402320, Lower Hand
1418260300.951000, -0.900584, 0.439941, -3.795059, Lower Hand
1418260301.034000, -0.666388, 0.325818, -2.895363, Lower Hand
