Time(s),  X,  Y,  Z, Gesture
1418260207.729000, -5.641202, 0.593647, -8.287676, Draw
1418260207.812000, -7.784707, 0.852495, -12.240763, Draw
1418260207.978000, -8.249546, 0.948506, -13.556054, Draw
1418260208.066000, -7.580088, 0.905912, -12.748264, Draw
1418260208.144000, -6.942273, 0.831932, -11.728247, Draw
1418260208.227000, -7.041931, 0.814173, -11.796239, Draw
1418260208.311000, -7.659859, 0.851905, -12.598578, Draw
1418260208.394000, -8.113884, 0.883083, -12.993108, Draw
1418260208.477000, -8.028747, 0.866691, -12.575945, Draw
1418260208.560000, -7.622467, 0.826270, -12.052591, Draw
1418260208.643000, -7.352377, 0.812737, -12.201328, Draw
1418260208.726000, -7.422718, 0.839446, -12.858201, Draw
1418260208.897000, -7.669136, 0.869130, -13.168244, Draw
1418260208.976000, -7.829106, 0.863850, -12.696975, Draw
1418260209.058000, -7.820920, 0.832055, -11.985620, Draw
1418260209.141000, -7.756836, 0.814685, -11.910764, Draw
1418260209.224000, -7.768789, 0.831286, -12.680293, Draw
1418260209.307000, -7.883238, 0.856142, -13.650147, Draw
1418260209.390000, -8.038694, 0.853482, -14.084198, Draw
1418260209.473000, -8.157575, 0.824542, -13.904664, Draw
1418260209.805000, -8.183585, 0.805638, -13.629398, Draw
1418260209.888000, -8.098346, 0.820999, -13.707390, Draw
1418260209.971000, -7.946646, 0.852083, -14.057061, Draw
1418260210.055000, -7.826876, 0.862304, -14.220936, Draw
1418260210.138000, -7.803670, 0.843678, -13.839195, Draw
1418260210.221000, -7.816802, 0.824788, -12.953915, Draw
1418260210.304000, -7.721634, 0.831449, -11.985407, Draw
1418260210.387000, -7.462915, 0.853173, -11.499315, Draw
1418260210.470000, -7.191770, 0.859140, -11.875412, Draw
1418260210.553000, -7.153483, 0.840820, -12.985266, Draw
1418260210.640000, -7.430858, 0.823610, -14.136065, Draw
1418260210.719000, -7.825782, 0.832161, -14.508775, Draw
1418260210.802000, -8.032766, 0.856324, -13.864851, Draw
1418260210.885000, -7.928563, 0.863577, -12.849871, Draw
1418260211.134000, -7.664881, 0.841377, -12.463994, Draw
1418260211.220000, -7.479789, 0.813073, -13.123946, Draw
1418260211.300000, -7.461603, 0.807056, -14.259608, Draw
1418260211.386000, -7.522363, 0.821645, -14.871884, Draw
1418260211.466000, -7.558070, 0.832679, -14.452688, Draw
1418260211.549000, -7.559533, 0.830938, -13.326762, Draw
1418260211.632000, -7.552414, 0.834687, -12.201134, Draw
1418260211.715000, -7.504288, 0.857809, -11.575387, Draw
1418260211.798000, -7.370558, 0.879335, -11.626626, Draw
1418260211.881000, -7.216002, 0.863696, -12.410019, Draw
1418260211.964000, -7.193738, 0.812137, -13.825833, Draw
1418260212.047000, -7.345588, 0.775347, -15.321447, Draw
1418260212.130000, -7.482697, 0.799774, -15.928710, Draw
1418260212.213000, -7.375824, 0.867585, -14.970011, Draw
1418260212.299000, -7.091651, 0.908317, -12.827758, Draw
1418260212.379000, -7.041868, 0.876626, -10.829002, Draw
1418260212.463000, -7.580745, 0.805734, -10.170596, Draw
1418260212.545000, -8.545862, 0.770104, -10.932517, Draw
1418260214.565000, -9.299038, 0.799770, -12.190422, Draw
1418260214.622000, -9.311257, 0.848869, -13.019104, Draw
1418260214.705000, -8.694047, 0.855356, -13.235976, Draw
1418260214.788000, -8.083653, 0.817386, -13.186623, Draw
1418260214.871000, -7.985345, 0.792804, -13.085454, Draw
1418260215.120000, -8.293433, 0.824659, -12.844575, Draw
1418260215.203000, -8.500329, 0.886520, -12.499880, Draw
1418260215.286000, -8.319836, 0.913990, -12.462503, Draw
1418260215.369000, -7.995405, 0.880685, -13.093553, Draw
1418260215.452000, -7.965499, 0.824790, -14.126052, Draw
1418260215.535000, -8.319679, 0.798425, -14.789826, Draw
1418260215.618000, -8.694303, 0.808100, -14.611457, Draw
1418260215.701000, -8.700181, 0.819055, -13.920843, Draw
1418260215.784000, -8.346989, 0.809468, -13.403999, Draw
1418260215.867000, -7.978408, 0.798583, -13.260513, Draw
1418260215.953000, -7.850649, 0.813675, -13.055221, Draw
1418260216.033000, -7.889556, 0.845337, -12.451538, Draw
1418260216.365000, -7.880700, 0.855092, -11.830693, Draw
1418260216.448000, -7.787355, 0.826610, -11.912741, Draw
1418260216.531000, -7.772544, 0.791240, -12.803914, Draw
1418260216.614000, -7.935294, 0.791758, -13.701159, Draw
1418260216.697000, -8.154165, 0.830346, -13.699435, Draw
1418260216.780000, -8.258634, 0.867924, -12.753541, Draw
1418260216.863000, -8.275134, 0.874038, -11.645935, Draw
1418260216.946000, -8.378653, 0.860794, -11.066765, Draw
1418260217.030000, -8.595087, 0.858283, -10.987330, Draw
1418260217.113000, -8.681729, 0.869072, -11.022621, Draw
1418260217.196000, -8.411449, 0.866397, -11.129190, Draw
1418260217.279000, -7.925108, 0.837846, -11.604998, Draw
1418260217.362000, -7.651445, 0.810444, -12.440774, Draw
1418260217.446000, -7.814977, 0.817078, -13.080916, Draw
1418260217.528000, -8.134528, 0.848367, -13.107650, Draw
1418260217.611000, -8.160893, 0.861279, -12.941282, Draw
1418260217.694000, -7.903605, 0.840922, -13.383098, Draw
1418260217.779000, -7.930056, 0.831598, -14.323732, Draw
1418260217.860000, -8.668837, 0.882840, -14.331944, Draw
1418260217.943000, -9.665194, 0.970087, -12.081437, Draw
1418260218.026000, -9.778003, 1.000000, -8.268784, Draw
1418260218.109000, -8.329414, 0.916008, -5.643889, Draw
1418260218.192000, -6.036789, 0.785095, -6.604960, Draw
1418260218.275000, -4.581653, 0.745891, -10.640130, Draw
1418260218.358000, -5.044904, 0.853119, -14.400228, Draw
1418260218.441000, -6.735460, 0.988912, -14.553344, Draw
1418260218.524000, -7.684707, 0.956793, -10.640338, Draw
1418260218.607000, -6.428635, 0.675788, -5.181623, Draw
