Time(s),  X,  Y,  Z, Gesture
1418209850.614000, 0.393950, -0.073965, -8.777800, Inactive
1418209850.780000, 0.575748, -0.095388, -12.605295, Inactive
1418209850.863000, 0.623527, -0.111878, -13.488451, Inactive
1418209850.951000, 0.574873, -0.124861, -12.149582, Inactive
1418209851.195000, 0.527897, -0.122405, -10.897508, Inactive
1418209851.278000, 0.533713, -0.098368, -11.222335, Inactive
1418209851.361000, 0.558302, -0.072186, -12.492325, Inactive
1418209851.444000, 0.546013, -0.075918, -13.110346, Inactive
1418209851.531000, 0.496374, -0.116512, -12.607396, Inactive
1418209851.614000, 0.461362, -0.158092, -12.108832, Inactive
1418209851.693000, 0.477992, -0.150759, -12.677848, Brush Teeth
1418209851.777000, 0.528679, -0.078277, -13.696595, Brush Teeth
1418209851.859000, 0.575224, 0.026493, -13.410144, Brush Teeth
1418209851.942000, 0.611944, 0.113661, -11.058792, Brush Teeth
1418209852.026000, 0.664156, 0.159578, -7.999250, Brush Teeth
1418209852.109000, 0.739269, 0.177615, -6.388003, Brush Teeth
1418209852.192000, 0.803892, 0.192455, -6.936679, Brush Teeth
1418209852.275000, 0.821487, 0.210710, -8.342034, Brush Teeth
1418209852.358000, 0.798235, 0.216903, -8.940678, Brush Teeth
1418209852.441000, 0.772483, 0.194146, -8.511494, Brush Teeth
1418209852.524000, 0.763185, 0.148966, -8.135442, Brush Teeth
1418209852.609000, 0.752290, 0.120661, -8.502333, Brush Teeth
1418209852.690000, 0.727869, 0.164719, -8.887513, Brush Teeth
1418209852.773000, 0.723126, 0.312192, -8.039600, Brush Teeth
1418209852.856000, 0.783002, 0.528652, -5.810810, Brush Teeth
1418209852.939000, 0.890659, 0.714253, -3.532199, Brush Teeth
1418209853.188000, 0.956902, 0.767070, -2.737719, Brush Teeth
1418209853.271000, 0.908685, 0.670716, -3.738476, Brush Teeth
1418209853.356000, 0.781189, 0.522488, -5.512269, Brush Teeth
1418209853.437000, 0.694040, 0.456672, -6.757344, Brush Teeth
1418209853.520000, 0.723478, 0.521679, -6.882054, Brush Teeth
1418209853.603000, 0.814825, 0.630943, -6.193400, Brush Teeth
1418209853.686000, 0.843309, 0.644153, -5.538802, Brush Teeth
1418209853.769000, 0.759068, 0.501542, -5.828296, Brush Teeth
1418209853.852000, 0.649286, 0.275512, -7.461231, Brush Teeth
1418209853.935000, 0.644133, 0.091568, -9.771106, Brush Teeth
1418209854.018000, 0.773510, 0.009346, -11.145787, Brush Teeth
1418209854.101000, 0.934779, -0.011451, -10.270840, Brush Teeth
1418209854.184000, 1.000000, -0.039847, -7.633499, Brush Teeth
1418209854.267000, 0.936740, -0.092561, -5.564402, Brush Teeth
1418209854.350000, 0.817061, -0.133147, -6.259509, Brush Teeth
1418209854.433000, 0.727191, -0.133890, -9.539853, Brush Teeth
1418209854.516000, 0.691669, -0.112344, -12.809658, Brush Teeth
1418209854.599000, 0.682369, -0.101059, -13.517367, Brush Teeth
1418209854.682000, 0.672006, -0.101284, -11.626866, Brush Teeth
1418209854.765000, 0.656744, -0.086657, -9.471301, Brush Teeth
1418209854.848000, 0.637494, -0.048099, -9.221480, Brush Teeth
1418209854.932000, 0.608568, -0.012963, -10.800324, Brush Teeth
1418209855.015000, 0.576384, -0.009080, -12.405571, Brush Teeth
