Time(s),  X,  Y,  Z, Gesture
1418210065.581000, -0.214104, 0.252485, -7.247774, Raise Hand
1418210065.745000, -0.302701, 0.700897, -11.122507, Raise Hand
1418210065.828000, -0.145030, 1.000000, -11.910044, Raise Hand
1418210065.911000, 0.237981, 0.879257, -9.567760, Raise Hand
1418210066.077000, 0.646255, 0.331821, -6.283727, Raise Hand
1418210066.160000, 0.867326, -0.356782, -4.545732, Raise Hand
1418210066.243000, 0.852433, -0.831684, -5.112787, Scratch Chin
1418210066.326000, 0.732141, -0.943595, -6.758072, Scratch Chin
1418210066.409000, 0.669987, -0.824315, -7.800398, Scratch Chin
1418210066.492000, 0.714626, -0.710024, -7.712357, Scratch Chin
1418210066.575000, 0.794308, -0.705509, -7.252366, Scratch Chin
1418210066.658000, 0.831885, -0.722878, -7.282977, Scratch Chin
1418210066.990000, 0.834790, -0.630084, -7.760155, Scratch Chin
1418210067.073000, 0.864171, -0.426171, -7.954353, Scratch Chin
1418210067.156000, 0.938678, -0.251463, -7.454768, Scratch Chin
1418210067.239000, 1.000000, -0.235767, -6.690812, Scratch Chin
1418210067.405000, 0.982473, -0.362445, -6.409278, Scratch Chin
1418210067.488000, 0.898181, -0.494452, -6.812926, Scratch Chin
1418210067.571000, 0.830455, -0.521685, -7.390954, Scratch Chin
1418210067.656000, 0.840649, -0.463657, -7.567104, Scratch Chin
1418210067.737000, 0.897928, -0.428248, -7.319738, Scratch Chin
1418210067.821000, 0.914533, -0.492805, -7.041993, Scratch Chin
1418210067.904000, 0.844428, -0.644246, -6.900386, Scratch Chin
1418210067.987000, 0.730004, -0.823076, -6.574903, Scratch Chin
1418210068.070000, 0.644029, -0.988356, -5.771148, Scratch Chin
1418210068.153000, 0.596153, -1.112869, -4.897651, Scratch Chin
1418210068.236000, 0.512896, -1.129275, -5.007567, Lower Hand
1418210068.319000, 0.315323, -0.929704, -6.883531, Lower Hand
1418210068.402000, 0.010339, -0.462834, -10.120974, Lower Hand
1418210068.485000, -0.299659, 0.160653, -13.150694, Lower Hand
1418210068.568000, -0.494288, 0.686896, -14.253690, Lower Hand
1418210068.651000, -0.520325, 0.882023, -12.709398, Lower Hand
1418210068.734000, -0.411782, 0.705976, -9.171399, Inactive
1418210068.817000, -0.246883, 0.337706, -5.109490, Inactive
