Time(s),  X,  Y,  Z, Gesture
1418209996.600000, -0.247741, 0.397683, -0.379540, Raise Hand
1418209996.764000, -0.124356, 0.540762, -0.184901, Raise Hand
1418209996.847000, 0.152237, 0.483314, 0.199973, Raise Hand
1418209996.930000, 0.461157, 0.284086, 0.473855, Raise Hand
1418209997.013000, 0.674245, 0.110159, 0.461732, Raise Hand
1418209997.096000, 0.758000, 0.111768, 0.231080, Raise Hand
1418209997.179000, 0.774858, 0.313502, -0.052530, Raise Hand
1418209997.262000, 0.792426, 0.600262, -0.277146, Comb Hair
1418209997.345000, 0.806965, 0.801425, -0.359034, Comb Hair
1418209997.428000, 0.764194, 0.805126, -0.180473, Comb Hair
1418209997.514000, 0.646530, 0.619899, 0.295936, Comb Hair
1418209997.594000, 0.521411, 0.351910, 0.835789, Comb Hair
1418209997.677000, 0.491001, 0.134482, 1.000000, Comb Hair
1418209997.760000, 0.593596, 0.067924, 0.549018, Comb Hair
1418209997.843000, 0.759007, 0.190676, -0.222460, Comb Hair
1418209997.926000, 0.863213, 0.464211, -0.674065, Comb Hair
1418209998.009000, 0.829401, 0.767209, -0.425817, Comb Hair
1418209998.094000, 0.684826, 0.932208, 0.251832, Comb Hair
1418209998.175000, 0.532500, 0.843544, 0.709711, Comb Hair
1418209998.258000, 0.472344, 0.536487, 0.565318, Comb Hair
1418209998.341000, 0.537034, 0.190940, 0.020348, Comb Hair
1418209998.429000, 0.681274, -0.008676, -0.447470, Comb Hair
1418209998.718000, 0.818363, -0.028476, -0.597248, Comb Hair
1418209998.839000, 0.872127, 0.006627, -0.558641, Comb Hair
1418209998.922000, 0.812948, -0.030891, -0.541417, Comb Hair
1418209999.010000, 0.663242, -0.121005, -0.584889, Comb Hair
1418209999.088000, 0.478707, -0.127775, -0.653664, Comb Hair
1418209999.172000, 0.324923, 0.019282, -0.839405, Comb Hair
1418209999.256000, 0.262784, 0.212009, -1.276862, Comb Hair
1418209999.338000, 0.335582, 0.266239, -1.840286, Comb Hair
1418209999.421000, 0.542076, 0.127541, -2.096911, Comb Hair
1418209999.504000, 0.803802, -0.070247, -1.726229, Comb Hair
1418209999.587000, 0.968978, -0.175122, -0.960858, Comb Hair
1418209999.670000, 0.888051, -0.212309, -0.451856, Comb Hair
1418209999.753000, 0.530670, -0.354050, -0.606869, Comb Hair
1418209999.919000, 0.048460, -0.681140, -1.135294, Comb Hair
1418210000.002000, -0.295286, -1.021804, -1.364699, Comb Hair
1418210000.086000, -0.300221, -1.083827, -1.003194, Comb Hair
1418210000.168000, 0.024464, -0.752791, -0.475617, Comb Hair
1418210000.251000, 0.464858, -0.221180, -0.442573, Comb Hair
1418210000.334000, 0.757538, 0.199898, -1.058622, Comb Hair
1418210000.417000, 0.768701, 0.369221, -1.808614, Comb Hair
1418210000.500000, 0.560540, 0.381908, -2.065949, Comb Hair
1418210000.583000, 0.313941, 0.371227, -1.705854, Comb Hair
1418210000.666000, 0.191132, 0.321102, -1.126729, Comb Hair
1418210000.750000, 0.246555, 0.129800, -0.771812, Comb Hair
1418210000.833000, 0.429459, -0.172453, -0.755452, Comb Hair
1418210000.916000, 0.644697, -0.360295, -0.928794, Comb Hair
1418210001.006000, 0.812246, -0.225059, -1.136185, Comb Hair
1418210001.082000, 0.890941, 0.174497, -1.292460, Comb Hair
1418210001.165000, 0.870123, 0.534928, -1.304305, Comb Hair
1418210001.248000, 0.755159, 0.604331, -1.113762, Comb Hair
1418210001.331000, 0.569967, 0.425097, -0.876973, Comb Hair
1418210001.414000, 0.374004, 0.253310, -0.942982, Comb Hair
1418210002.188000, 0.260549, 0.259452, -1.475527, Comb Hair
1418210002.327000, 0.304128, 0.358577, -2.114123, Comb Hair
1418210002.410000, 0.478541, 0.347641, -2.206390, Comb Hair
1418210002.493000, 0.630324, 0.162204, -1.517379, Comb Hair
1418210002.659000, 0.578585, -0.055933, -0.634615, Comb Hair
1418210002.742000, 0.292669, -0.139619, -0.480048, Comb Hair
1418210002.825000, -0.021337, -0.088510, -1.335618, Comb Hair
1418210002.908000, -0.059223, -0.046250, -2.445073, Comb Hair
1418210002.991000, 0.293743, -0.115352, -2.711018, Comb Hair
1418210003.074000, 0.794126, -0.250826, -1.801138, Comb Hair
1418210003.157000, 1.000000, -0.351610, -0.487617, Comb Hair
1418210003.240000, 0.662448, -0.411578, 0.138756, Comb Hair
1418210003.323000, -0.010415, -0.526211, -0.270925, Comb Hair
1418210003.406000, -0.498173, -0.744956, -1.085180, Comb Hair
1418210003.491000, -0.419038, -0.958283, -1.431748, Comb Hair
1418210003.572000, 0.130735, -0.968801, -1.054723, Comb Hair
1418210003.655000, 0.676159, -0.678282, -0.432986, Comb Hair
1418210003.738000, 0.804681, -0.193009, -0.188713, Comb Hair
1418210003.821000, 0.521209, 0.253955, -0.506142, Comb Hair
1418210003.904000, 0.188417, 0.476509, -1.093743, Comb Hair
1418210003.987000, 0.144203, 0.448533, -1.552850, Comb Hair
1418210004.070000, 0.392371, 0.288269, -1.686938, Comb Hair
1418210004.153000, 0.652330, 0.160122, -1.533715, Comb Hair
1418210004.236000, 0.672431, 0.170196, -1.254395, Comb Hair
1418210004.319000, 0.467271, 0.304055, -1.040158, Comb Hair
1418210004.402000, 0.261240, 0.436238, -1.023946, Comb Hair
1418210004.485000, 0.240869, 0.422458, -1.172285, Comb Hair
1418210004.651000, 0.389340, 0.224980, -1.276693, Comb Hair
1418210004.734000, 0.549096, -0.039532, -1.147923, Comb Hair
1418210004.817000, 0.607901, -0.199091, -0.854705, Comb Hair
1418210004.900000, 0.600770, -0.193292, -0.698552, Comb Hair
1418210004.983000, 0.640941, -0.131234, -0.877837, Comb Hair
1418210005.067000, 0.776794, -0.162108, -1.207795, Comb Hair
1418210005.156000, 0.927479, -0.295017, -1.273341, Comb Hair
1418210005.232000, 0.951296, -0.383388, -0.899178, Comb Hair
1418210005.318000, 0.772214, -0.309706, -0.400004, Comb Hair
1418210005.398000, 0.451092, -0.159267, -0.281110, Comb Hair
1418210005.483000, 0.148251, -0.159830, -0.696237, Comb Hair
1418210005.564000, 0.011331, -0.428912, -1.273124, Comb Hair
1418210005.647000, 0.072020, -0.811958, -1.502962, Comb Hair
1418210005.730000, 0.226614, -1.014311, -1.247223, Comb Hair
1418210005.813000, 0.318545, -0.900395, -0.810778, Comb Hair
1418210005.896000, 0.265209, -0.632683, -0.562249, Comb Hair
1418210005.979000, 0.127499, -0.492943, -0.582451, Comb Hair
1418210006.062000, 0.056274, -0.581787, -0.707239, Comb Hair
1418210006.145000, 0.154048, -0.726057, -0.811227, Comb Hair
1418210006.477000, 0.375161, -0.687798, -0.931979, Comb Hair
1418210006.560000, 0.562666, -0.436532, -1.123089, Comb Hair
1418210006.643000, 0.593407, -0.189570, -1.305827, Comb Hair
1418210006.726000, 0.493089, -0.188478, -1.350772, Comb Hair
1418210006.809000, 0.405581, -0.455003, -1.259594, Comb Hair
1418210006.893000, 0.441651, -0.765823, -1.163255, Comb Hair
1418210006.979000, 0.553830, -0.843963, -1.122007, Comb Hair
1418210007.058000, 0.563363, -0.568495, -1.015476, Comb Hair
1418210007.146000, 0.320481, -0.035085, -0.705768, Lower Hand
1418210007.823000, -0.148293, 0.532437, -0.271736, Lower Hand
1418210007.971000, -0.641402, 0.915451, 0.017952, Lower Hand
1418210008.054000, -0.932925, 1.000000, -0.002928, Lower Hand
1418210008.137000, -0.942338, 0.822139, -0.199524, Inactive
1418210008.220000, -0.781353, 0.548420, -0.292884, Inactive
1418210008.303000, -0.645965, 0.378410, -0.184837, Inactive
1418210008.386000, -0.652274, 0.407291, -0.045733, Inactive
1418210008.469000, -0.754526, 0.553510, -0.065439, Inactive
1418210008.552000, -0.805803, 0.632071, -0.200139, Inactive
1418210008.635000, -0.697568, 0.523136, -0.241409, Inactive
