Time(s),  X,  Y,  Z, Gesture
1418210153.083000, 0.261744, 0.549902, -6.269698, Draw
1418210153.168000, 0.365213, 0.835100, -7.932880, Draw
1418210153.321000, 0.392860, 0.985276, -7.011021, Draw
1418210153.404000, 0.341338, 1.000000, -5.045569, Draw
1418210153.487000, 0.261571, 0.941720, -4.529020, Draw
1418210153.570000, 0.229151, 0.868677, -6.282548, Draw
1418210153.653000, 0.281835, 0.805197, -8.671004, Draw
1418210153.736000, 0.379248, 0.761682, -9.514780, Draw
1418210153.819000, 0.434662, 0.756132, -8.433278, Draw
1418210153.902000, 0.397766, 0.800236, -6.970288, Draw
1418210153.985000, 0.304570, 0.871745, -6.608038, Draw
1418210154.068000, 0.238593, 0.919974, -7.210695, Draw
1418210154.151000, 0.245277, 0.909957, -7.624146, Draw
1418210154.236000, 0.294987, 0.857725, -7.346308, Draw
1418210154.322000, 0.330811, 0.813967, -7.025124, Draw
1418210154.400000, 0.335845, 0.812110, -7.335432, Draw
1418210154.483000, 0.337115, 0.838307, -7.955280, Draw
1418210154.566000, 0.350553, 0.854690, -8.041640, Draw
1418210154.649000, 0.349098, 0.845636, -7.423403, Draw
1418210154.732000, 0.301717, 0.832825, -6.777479, Draw
1418210154.815000, 0.230665, 0.844653, -6.587850, Draw
1418210154.898000, 0.202983, 0.879335, -6.465189, Draw
1418210154.981000, 0.255990, 0.905696, -5.874964, Draw
1418210155.064000, 0.347126, 0.898928, -5.219057, Draw
1418210155.152000, 0.394475, 0.868113, -5.561938, Draw
1418210155.230000, 0.362526, 0.844395, -7.148832, Draw
1418210155.313000, 0.291443, 0.845881, -8.721054, Draw
1418210155.396000, 0.240108, 0.860712, -8.791720, Draw
1418210155.479000, 0.219843, 0.865577, -7.435271, Draw
1418210155.562000, 0.200213, 0.854745, -6.265983, Draw
1418210155.645000, 0.168993, 0.844568, -6.494462, Draw
1418210155.729000, 0.158694, 0.850222, -7.469301, Draw
1418210155.895000, 0.202001, 0.865025, -7.574979, Draw
1418210155.978000, 0.277908, 0.868143, -6.351532, Draw
1418210156.061000, 0.325215, 0.850616, -5.115299, Draw
1418210156.144000, 0.311294, 0.826876, -5.294120, Draw
1418210156.227000, 0.270187, 0.817115, -6.639003, Draw
1418210156.310000, 0.261929, 0.822464, -7.590613, Draw
1418210156.393000, 0.303421, 0.824652, -7.246367, Draw
1418210156.479000, 0.353186, 0.811329, -6.344382, Draw
1418210156.559000, 0.362241, 0.794701, -6.086479, Draw
1418210156.642000, 0.325976, 0.797395, -6.510220, Draw
1418210156.725000, 0.281567, 0.820819, -6.617678, Draw
1418210156.808000, 0.266519, 0.837037, -5.981495, Draw
1418210156.891000, 0.290008, 0.819888, -5.507064, Draw
1418210156.974000, 0.335883, 0.781394, -6.214423, Draw
1418210157.057000, 0.376028, 0.766692, -7.681834, Draw
1418210157.140000, 0.379914, 0.806271, -8.348530, Draw
1418210157.223000, 0.331644, 0.877695, -7.403946, Draw
1418210157.306000, 0.253931, 0.924016, -5.819690, Draw
1418210157.395000, 0.205234, 0.912553, -5.165472, Draw
1418210157.472000, 0.229136, 0.868426, -5.758308, Draw
1418210157.555000, 0.300035, 0.843540, -6.523130, Draw
1418210157.638000, 0.338010, 0.856506, -6.600830, Draw
1418210157.721000, 0.295293, 0.874070, -6.424927, Draw
1418210158.599000, 0.219414, 0.855678, -6.835368, Draw
1418210158.717000, 0.207338, 0.806752, -7.600038, Draw
1418210158.800000, 0.292081, 0.775172, -7.567560, Draw
1418210158.883000, 0.396630, 0.794508, -6.351711, Draw
1418210158.966000, 0.419186, 0.843315, -5.155660, Draw
1418210159.049000, 0.352322, 0.871006, -5.368383, Draw
1418210159.132000, 0.289230, 0.859077, -6.663590, Draw
1418210159.215000, 0.306091, 0.842154, -7.252913, Draw
1418210159.298000, 0.366543, 0.862233, -6.205186, Draw
1418210159.381000, 0.370365, 0.912341, -4.856493, Draw
1418210159.464000, 0.287110, 0.940355, -5.274611, Draw
1418210159.547000, 0.205117, 0.910672, -7.527546, Draw
1418210159.630000, 0.230602, 0.849819, -9.249466, Draw
1418210159.713000, 0.360023, 0.820026, -8.260149, Draw
1418210159.796000, 0.481668, 0.850763, -5.138195, Draw
1418210159.879000, 0.499293, 0.908111, -2.612341, Draw
1418210159.962000, 0.423048, 0.936145, -2.529226, Draw
1418210160.045000, 0.327856, 0.919969, -4.060240, Draw
1418210160.128000, 0.256015, 0.897710, -5.104866, Draw
1418210160.211000, 0.201700, 0.911689, -4.841226, Draw
1418210160.294000, 0.183696, 0.958492, -4.214975, Draw
1418210160.377000, 0.275518, 0.993279, -4.133460, Draw
1418210160.460000, 0.515716, 0.977714, -4.138226, Draw
1418210160.627000, 0.801649, 0.915446, -3.410025, Draw
1418210160.709000, 0.928904, 0.842168, -2.522593, Draw
1418210160.792000, 0.774896, 0.791266, -3.182587, Draw
1418210160.875000, 0.433833, 0.774339, -5.956479, Draw
1418210160.958000, 0.141085, 0.786489, -8.977619, Draw
1418210161.041000, 0.057600, 0.816379, -9.680815, Draw
1418210161.125000, 0.142936, 0.847376, -7.739939, Draw
1418210161.208000, 0.239050, 0.859547, -5.598183, Draw
1418210161.291000, 0.248485, 0.843179, -5.765569, Draw
1418210161.377000, 0.204901, 0.811561, -8.029403, Draw
1418210161.458000, 0.186079, 0.791726, -9.879454, Draw
1418210161.541000, 0.205090, 0.796355, -9.555670, Draw
1418210161.624000, 0.212094, 0.807989, -8.014674, Draw
1418210161.707000, 0.179038, 0.797521, -7.567608, Draw
1418210161.790000, 0.141228, 0.758892, -9.024548, Draw
1418210161.875000, 0.146393, 0.720023, -10.823410, Draw
1418210161.956000, 0.190634, 0.715679, -11.001968, Draw
1418210162.039000, 0.227746, 0.751663, -9.449939, Draw
1418210162.122000, 0.229861, 0.799208, -7.814136, Draw
1418210162.205000, 0.211939, 0.823514, -7.470424, Draw
1418210162.288000, 0.194540, 0.813975, -8.158289, Draw
1418210162.371000, 0.169971, 0.786663, -8.703528, Draw
1418210162.454000, 0.125060, 0.763408, -8.578808, Draw
1418210162.619000, 0.081834, 0.753585, -8.299411, Draw
1418210162.703000, 0.084133, 0.753727, -8.439458, Draw
1418210162.786000, 0.137080, 0.757084, -8.793494, Draw
1418210162.869000, 0.185162, 0.759546, -8.747646, Draw
1418210162.952000, 0.173306, 0.760067, -8.185034, Draw
1418210163.035000, 0.120542, 0.761091, -7.644215, Draw
1418210163.118000, 0.105614, 0.768647, -7.599089, Draw
1418210163.201000, 0.171241, 0.787010, -7.897107, Draw
1418210163.284000, 0.263975, 0.810564, -8.046186, Draw
1418210163.367000, 0.290593, 0.824387, -7.839423, Draw
1418210163.450000, 0.227318, 0.817817, -7.463507, Draw
1418210163.533000, 0.148246, 0.797556, -7.096419, Draw
1418210164.204000, 0.136760, 0.783215, -6.715808, Draw
1418210164.363000, 0.187980, 0.787703, -6.400535, Draw
1418210164.446000, 0.220258, 0.804476, -6.544458, Draw
1418210164.529000, 0.178511, 0.816956, -7.453567, Draw
1418210164.612000, 0.101938, 0.818612, -8.748665, Draw
1418210164.695000, 0.076974, 0.819003, -9.470041, Draw
1418210164.778000, 0.136571, 0.828749, -8.989159, Draw
