Time(s),  X,  Y,  Z, Gesture
1418395552.375000, -0.599264, 0.258813, -4.014830, Inactive
1418395552.455000, -0.783927, 0.330900, -5.587197, Inactive
1418395552.530000, -0.857190, 0.349112, -5.959962, Inactive
1418395552.696000, -0.896196, 0.414376, -6.213073, Inactive
1418395552.779000, -0.906929, 0.598993, -7.426956, Inactive
1418395552.862000, -0.780851, 0.827261, -9.197536, Raise Hand
1418395553.028000, -0.426411, 0.901312, -9.985110, Raise Hand
1418395553.399000, 0.078470, 0.677508, -8.944003, Raise Hand
1418395553.527000, 0.510330, 0.224600, -6.996309, Raise Hand
1418395553.610000, 0.695771, -0.210453, -5.802269, Raise Hand
1418395553.693000, 0.666824, -0.411443, -5.879833, Brush Teeth
1418395553.776000, 0.604561, -0.370820, -6.177659, Brush Teeth
1418395553.859000, 0.641142, -0.259623, -5.578714, Brush Teeth
1418395553.942000, 0.744525, -0.234664, -4.407183, Brush Teeth
1418395554.025000, 0.798947, -0.296411, -4.043759, Brush Teeth
1418395554.108000, 0.762353, -0.337347, -5.144259, Brush Teeth
1418395554.192000, 0.709038, -0.296920, -6.686133, Brush Teeth
1418395554.275000, 0.724044, -0.229527, -7.024504, Brush Teeth
1418395554.362000, 0.796324, -0.216962, -5.703035, Brush Teeth
1418395554.441000, 0.842109, -0.253142, -3.938179, Brush Teeth
1418395554.524000, 0.816226, -0.254323, -3.338665, Brush Teeth
1418395554.607000, 0.764466, -0.179000, -4.386566, Brush Teeth
1418395554.690000, 0.757242, -0.097272, -6.213562, Brush Teeth
1418395554.773000, 0.798842, -0.112329, -7.574006, Brush Teeth
1418395554.856000, 0.829592, -0.225675, -7.788597, Brush Teeth
1418395554.939000, 0.811568, -0.313588, -6.909945, Brush Teeth
1418395555.022000, 0.782070, -0.250324, -5.409315, Brush Teeth
1418395555.105000, 0.805766, -0.038798, -3.904533, Brush Teeth
1418395555.188000, 0.887969, 0.195079, -2.945989, Brush Teeth
1418395555.271000, 0.958930, 0.325914, -2.715417, Brush Teeth
1418395555.441000, 0.948796, 0.326722, -2.893294, Brush Teeth
1418395555.603000, 0.863876, 0.251797, -3.034065, Brush Teeth
1418395555.687000, 0.778531, 0.159642, -3.138602, Brush Teeth
1418395555.770000, 0.758182, 0.079217, -3.644553, Brush Teeth
1418395555.855000, 0.801054, 0.033712, -4.690224, Brush Teeth
1418395555.936000, 0.853403, 0.050757, -5.582788, Brush Teeth
1418395556.019000, 0.869184, 0.124385, -5.354051, Brush Teeth
