Time(s), X, Y, Z, Gesture
95386.348000, -0.681594, 0.188495, -5.383525, Raise Hand
95386.597000, -0.848751, 0.303356, -8.188813, Raise Hand
95386.763000, -0.737654, 0.373511, -9.398085, Raise Hand
95386.846000, -0.478838, 0.370977, -9.354652, Raise Hand
95386.929000, -0.250102, 0.320012, -9.000103, Raise Hand
95387.016000, -0.098275, 0.279294, -8.829464, Raise Hand
95387.095000, 0.063352, 0.282659, -8.631289, Raise Hand
95387.345000, 0.307727, 0.300521, -8.062324, Raise Hand
95387.511000, 0.589451, 0.270823, -7.177731, Raise Hand
95387.677000, 0.799740, 0.170653, -6.304723, Raise Hand
95387.760000, 0.892917, 0.047709, -5.588657, Raise Hand
95387.843000, 0.921499, -0.026882, -4.897038, Raise Hand
95387.928000, 0.949709, -0.031700, -4.175452, Brush Teeth
95388.009000, 0.970668, -0.011126, -3.692884, Brush Teeth
95388.092000, 0.934104, -0.019767, -3.773823, Brush Teeth
95388.175000, 0.837545, -0.063825, -4.337631, Brush Teeth
95388.258000, 0.752477, -0.104954, -4.867343, Brush Teeth
95388.341000, 0.748185, -0.111639, -4.908728, Brush Teeth
95388.425000, 0.812044, -0.089542, -4.530587, Brush Teeth
95388.508000, 0.867784, -0.059733, -4.208528, Brush Teeth
95388.591000, 0.865910, -0.025987, -4.277680, Brush Teeth
95388.757000, 0.832770, 0.018692, -4.589505, Brush Teeth
95388.841000, 0.824905, 0.058862, -4.735892, Brush Teeth
95388.923000, 0.856219, 0.053842, -4.539273, Brush Teeth
95389.011000, 0.889938, -0.016148, -4.243683, Brush Teeth
95389.089000, 0.894203, -0.108510, -4.233466, Brush Teeth
95389.172000, 0.880152, -0.141878, -4.638669, Brush Teeth
95389.258000, 0.875633, -0.070903, -5.254055, Brush Teeth
95389.339000, 0.879400, 0.066104, -5.796417, Brush Teeth
95389.799000, 0.863013, 0.178434, -6.163196, Brush Teeth
95389.920000, 0.816406, 0.199684, -6.420565, Brush Teeth
95390.004000, 0.771192, 0.134220, -6.603178, Brush Teeth
95390.086000, 0.766969, 0.040240, -6.618034, Brush Teeth
95390.170000, 0.803715, -0.018270, -6.389405, Brush Teeth
95390.253000, 0.841348, -0.006176, -6.060270, Brush Teeth
95390.338000, 0.844923, 0.071053, -5.954799, Brush Teeth
95390.419000, 0.817992, 0.167894, -6.255845, Brush Teeth
95390.502000, 0.788837, 0.216862, -6.715367, Brush Teeth
95390.585000, 0.776835, 0.174787, -6.778644, Brush Teeth
95390.668000, 0.782582, 0.071344, -6.115016, Brush Teeth
95390.751000, 0.801826, 0.002185, -5.056716, Brush Teeth
95390.834000, 0.830197, 0.047996, -4.416263, Brush Teeth
95390.921000, 0.850605, 0.188136, -4.740052, Brush Teeth
95391.001000, 0.834181, 0.306624, -5.711725, Brush Teeth
95391.084000, 0.771972, 0.301478, -6.379958, Brush Teeth
95391.167000, 0.702098, 0.190044, -6.061633, Brush Teeth
95391.500000, 0.685923, 0.094281, -5.001924, Brush Teeth
95391.583000, 0.746415, 0.115368, -4.070125, Brush Teeth
95391.666000, 0.838483, 0.230119, -3.813295, Brush Teeth
95391.751000, 0.892516, 0.319680, -3.926121, Brush Teeth
95391.832000, 0.885170, 0.295983, -3.728709, Brush Teeth
95391.915000, 0.855745, 0.187761, -3.062209, Brush Teeth
95391.999000, 0.851857, 0.099716, -2.507873, Brush Teeth
95392.082000, 0.873873, 0.099739, -2.651918, Brush Teeth
95392.165000, 0.884673, 0.158618, -3.301404, Brush Teeth
95392.248000, 0.865212, 0.196486, -3.649766, Brush Teeth
95392.331000, 0.839867, 0.172505, -3.235099, Brush Teeth
95392.414000, 0.840377, 0.120154, -2.530250, Brush Teeth
95392.497000, 0.860485, 0.101872, -2.416934, Brush Teeth
95392.580000, 0.863942, 0.141140, -3.155349, Brush Teeth
95392.663000, 0.834845, 0.200608, -4.091208, Brush Teeth
95392.746000, 0.802105, 0.218891, -4.442137, Brush Teeth
95392.829000, 0.805077, 0.165183, -4.181413, Brush Teeth
95392.913000, 0.845429, 0.064525, -3.943135, Brush Teeth
95392.996000, 0.886486, -0.023028, -4.125178, Brush Teeth
95393.079000, 0.897093, -0.050675, -4.375864, Brush Teeth
95393.162000, 0.881584, -0.021957, -4.130613, Brush Teeth
95393.245000, 0.862807, 0.015635, -3.480915, Brush Teeth
95393.328000, 0.850399, 0.017776, -3.195963, Brush Teeth
95393.411000, 0.839581, -0.013131, -3.796699, Brush Teeth
95393.494000, 0.833504, -0.035613, -4.835350, Brush Teeth
95393.579000, 0.845510, -0.023635, -5.334775, Brush Teeth
95393.660000, 0.872178, -0.005535, -4.902117, Brush Teeth
