Time(s),  X,  Y,  Z, Gesture
1418395870.899000, -0.405224, 0.697967, 0.641041, Raise Hand
1418395870.982000, -0.544108, 1.000000, 0.700859, Raise Hand
1418395871.065000, -0.326316, 0.925537, 0.155983, Raise Hand
1418395871.148000, 0.138036, 0.543168, -0.690809, Raise Hand
1418395871.231000, 0.576357, 0.150838, -1.292972, Raise Hand
1418395871.565000, 0.822954, -0.009807, -1.349881, Raise Hand
1418395871.646000, 0.914783, 0.048191, -1.002912, Scratch Chin
1418395871.729000, 0.955765, 0.130951, -0.606994, Scratch Chin
1418395871.895000, 0.963708, 0.094991, -0.393384, Scratch Chin
1418395872.062000, 0.892753, -0.025167, -0.366315, Scratch Chin
1418395872.145000, 0.766395, -0.103243, -0.436070, Scratch Chin
1418395872.231000, 0.707338, -0.083817, -0.545536, Scratch Chin
1418395872.311000, 0.799148, -0.026726, -0.658957, Scratch Chin
1418395872.394000, 0.957629, -0.009287, -0.724052, Scratch Chin
1418395872.477000, 1.000000, -0.031064, -0.732247, Scratch Chin
1418395872.643000, 0.851425, -0.034507, -0.790534, Scratch Chin
1418395872.726000, 0.637022, 0.009751, -1.027019, Scratch Chin
1418395872.813000, 0.530539, 0.078652, -1.366630, Lower Hand
1418395872.896000, 0.531363, 0.157321, -1.465880, Lower Hand
1418395872.975000, 0.445669, 0.281078, -0.995664, Lower Hand
1418395873.059000, 0.111102, 0.481069, -0.045084, Lower Hand
1418395873.141000, -0.394526, 0.700634, 0.818807, Lower Hand
1418395873.224000, -0.812934, 0.811907, 1.000000, Lower Hand
1418395873.307000, -0.970269, 0.742403, 0.429575, Lower Hand
1418395873.391000, -0.937873, 0.565515, -0.354173, Lower Hand
1418395873.475000, -0.904637, 0.429109, -0.716319, Inactive
1418395873.557000, -0.925719, 0.390217, -0.508657, Inactive
1418395873.640000, -0.861577, 0.355561, -0.123648, Inactive
1418395873.723000, -0.585624, 0.216302, 0.004695, Inactive
