Time(s),  X,  Y,  Z, Gesture
1418395723.342000, -0.467943, 0.246566, -0.002638, Inactive
1418395723.507000, -0.739117, 0.402882, 0.128748, Inactive
1418395723.590000, -0.817806, 0.443112, 0.218008, Inactive
1418395723.673000, -0.708809, 0.428290, 0.340255, Inactive
1418395723.757000, -0.602019, 0.452072, 0.485641, Inactive
1418395723.841000, -0.668672, 0.531644, 0.510256, Inactive
1418395723.923000, -0.855219, 0.620980, 0.324516, Inactive
1418395724.008000, -0.917357, 0.701276, 0.071780, Raise Hand
1418395724.089000, -0.675606, 0.802661, 0.013091, Raise Hand
1418395724.173000, -0.217350, 0.924223, 0.210569, Raise Hand
1418395724.255000, 0.177991, 0.980514, 0.405313, Raise Hand
1418395724.421000, 0.308598, 0.878857, 0.282234, Raise Hand
1418395724.504000, 0.225208, 0.646589, -0.170760, Raise Hand
1418395724.587000, 0.142910, 0.434679, -0.642953, Comb Hair
1418395724.670000, 0.214073, 0.365558, -0.845960, Comb Hair
1418395724.756000, 0.410930, 0.396659, -0.802849, Comb Hair
1418395724.836000, 0.606175, 0.368968, -0.749001, Comb Hair
1418395724.919000, 0.716147, 0.190477, -0.815062, Comb Hair
1418395725.002000, 0.744504, -0.061127, -0.915443, Comb Hair
1418395725.087000, 0.724018, -0.234508, -0.946887, Comb Hair
1418395725.168000, 0.670854, -0.276656, -0.963916, Comb Hair
1418395725.251000, 0.605950, -0.273079, -1.054769, Comb Hair
1418395725.334000, 0.578071, -0.319492, -1.114831, Comb Hair
1418395725.417000, 0.622887, -0.396320, -0.918880, Comb Hair
1418395725.500000, 0.704018, -0.405082, -0.484605, Comb Hair
1418395725.583000, 0.732427, -0.317165, -0.227701, Comb Hair
1418395725.666000, 0.663965, -0.244066, -0.568343, Comb Hair
1418395725.750000, 0.558876, -0.333145, -1.362766, Comb Hair
1418395725.833000, 0.518838, -0.600639, -1.889275, Comb Hair
1418395725.916000, 0.568925, -0.885649, -1.548510, Comb Hair
1418395726.000000, 0.627785, -0.974269, -0.550880, Comb Hair
1418395726.083000, 0.604381, -0.770364, 0.226560, Comb Hair
1418395726.166000, 0.503872, -0.363628, 0.119649, Comb Hair
1418395726.249000, 0.417030, 0.038899, -0.664730, Comb Hair
1418395726.332000, 0.414850, 0.241572, -1.328131, Comb Hair
1418395726.415000, 0.481540, 0.161745, -1.334713, Comb Hair
1418395726.498000, 0.556600, -0.135292, -0.857133, Comb Hair
1418395726.581000, 0.612495, -0.474050, -0.397264, Comb Hair
1418395726.665000, 0.661718, -0.668649, -0.172466, Comb Hair
1418395726.748000, 0.700201, -0.639788, -0.045243, Comb Hair
1418395726.831000, 0.688460, -0.469483, 0.037286, Comb Hair
1418395726.914000, 0.612960, -0.339760, -0.172272, Comb Hair
1418395726.999000, 0.540719, -0.392192, -0.827498, Comb Hair
1418395727.080000, 0.568136, -0.617439, -1.522153, Comb Hair
1418395727.163000, 0.702788, -0.860267, -1.516811, Comb Hair
1418395727.246000, 0.825053, -0.930506, -0.564776, Comb Hair
1418395727.329000, 0.798370, -0.737115, 0.630719, Comb Hair
1418395727.412000, 0.615959, -0.360637, 1.000000, Comb Hair
1418395727.495000, 0.415465, -0.020580, 0.192812, Comb Hair
1418395727.578000, 0.340998, 0.056877, -1.036497, Comb Hair
1418395727.910000, 0.407117, -0.194171, -1.604450, Comb Hair
1418395727.994000, 0.508657, -0.599831, -1.187577, Comb Hair
1418395728.077000, 0.543705, -0.855426, -0.451361, Comb Hair
1418395728.160000, 0.496805, -0.776558, -0.260509, Comb Hair
1418395730.074000, 0.404484, -0.477359, -0.830696, Comb Hair
1418395730.236000, 0.281803, -0.276761, -1.708790, Comb Hair
1418395730.319000, 0.120811, -0.386571, -2.407850, Comb Hair
1418395730.402000, -0.048232, -0.687934, -2.831013, Comb Hair
1418395730.486000, -0.139657, -0.848219, -3.068205, Comb Hair
1418395730.568000, -0.086353, -0.674493, -3.032589, Comb Hair
1418395730.651000, 0.079910, -0.322808, -2.541062, Comb Hair
1418395730.734000, 0.247127, -0.125086, -1.724578, Comb Hair
1418395730.817000, 0.324067, -0.226211, -1.114772, Comb Hair
1418395730.900000, 0.305334, -0.447309, -1.153675, Comb Hair
1418395730.983000, 0.235361, -0.527054, -1.684317, Comb Hair
1418395731.066000, 0.138658, -0.441669, -2.094845, Comb Hair
1418395731.149000, 0.015424, -0.411330, -2.002142, Comb Hair
1418395731.232000, -0.105009, -0.589888, -1.665107, Comb Hair
1418395731.315000, -0.150806, -0.834003, -1.623562, Comb Hair
1418395731.398000, -0.075502, -0.855993, -2.007216, Comb Hair
1418395731.481000, 0.077130, -0.583195, -2.364581, Comb Hair
1418395731.564000, 0.207280, -0.273393, -2.217092, Comb Hair
1418395731.647000, 0.258324, -0.225759, -1.656000, Comb Hair
1418395731.730000, 0.252083, -0.431965, -1.261763, Comb Hair
1418395731.813000, 0.214588, -0.599171, -1.453840, Comb Hair
1418395731.896000, 0.106858, -0.521295, -2.035347, Comb Hair
1418395731.980000, -0.114986, -0.336771, -2.414706, Comb Hair
1418395732.063000, -0.366283, -0.344012, -2.184154, Comb Hair
1418395732.146000, -0.423070, -0.597680, -1.409698, Comb Hair
1418395732.229000, -0.116143, -0.794329, -0.443991, Comb Hair
1418395732.312000, 0.451024, -0.609304, 0.368817, Comb Hair
1418395732.395000, 0.925945, -0.087783, 0.765402, Comb Hair
1418395732.478000, 1.000000, 0.385619, 0.535253, Comb Hair
1418395732.561000, 0.688726, 0.508985, -0.334936, Comb Hair
1418395732.645000, 0.304691, 0.376961, -1.442980, Comb Hair
1418395732.727000, 0.148872, 0.325703, -2.086596, Comb Hair
1418395732.810000, 0.244232, 0.518053, -1.817629, Comb Hair
1418395732.893000, 0.373731, 0.775591, -0.930666, Comb Hair
1418395732.976000, 0.344337, 0.837804, -0.285391, Comb Hair
1418395733.062000, 0.173252, 0.700704, -0.527436, Comb Hair
1418395733.142000, 0.020987, 0.611189, -1.470871, Comb Hair
1418395733.225000, -0.004328, 0.740905, -2.287414, Comb Hair
1418395733.308000, 0.066661, 0.959351, -2.302048, Comb Hair
1418395733.391000, 0.152299, 0.985471, -1.572919, Comb Hair
