Time(s), X, Y, Z, 
95760.339000, -0.094411, 0.565314, -0.044182, Gesture
95760.421000, -0.217218, 0.770470, -0.048394, Inactive
95760.502000, -0.332643, 0.844391, -0.013857, Inactive
95760.585000, -0.386188, 0.828446, 0.026454, Inactive
95760.668000, -0.358548, 0.787663, 0.035054, Inactive
95760.751000, -0.287245, 0.760095, 0.009309, Inactive
95760.917000, -0.235662, 0.754469, -0.019626, Inactive
95761.000000, -0.232332, 0.773995, -0.019241, Inactive
95761.083000, -0.238573, 0.826061, 0.020692, Inactive
95761.166000, -0.179000, 0.906956, 0.090051, Raise Hand
95761.251000, -0.009679, 0.983809, 0.167075, Raise Hand
95761.333000, 0.236664, 1.000000, 0.218483, Raise Hand
95761.416000, 0.467439, 0.908203, 0.205160, Raise Hand
95761.499000, 0.594780, 0.708229, 0.109668, Raise Hand
95761.582000, 0.597756, 0.455725, -0.034172, Raise Hand
95761.752000, 0.537303, 0.226144, -0.150816, Comb Hair
95761.831000, 0.513178, 0.059431, -0.178146, Comb Hair
95761.914000, 0.590357, -0.062322, -0.119378, Comb Hair
95761.997000, 0.745256, -0.178658, -0.038656, Comb Hair
95762.080000, 0.876219, -0.295965, -0.005448, Comb Hair
95762.163000, 0.881869, -0.384105, -0.044526, Comb Hair
95762.246000, 0.753328, -0.436602, -0.132737, Comb Hair
95762.329000, 0.599142, -0.515204, -0.227100, Comb Hair
95762.412000, 0.564493, -0.695231, -0.286028, Comb Hair
95762.495000, 0.699533, -0.945561, -0.277261, Comb Hair
95762.578000, 0.894137, -1.089623, -0.194092, Comb Hair
95762.662000, 0.955352, -0.941649, -0.077824, Comb Hair
95762.744000, 0.777736, -0.514785, -0.007057, Comb Hair
95762.827000, 0.457037, -0.073166, -0.035365, Comb Hair
95762.911000, 0.229586, 0.073007, -0.130654, Comb Hair
95762.994000, 0.272518, -0.146344, -0.195273, Comb Hair
95763.077000, 0.538857, -0.489719, -0.167106, Comb Hair
95763.160000, 0.787570, -0.641638, -0.096872, Comb Hair
95763.243000, 0.797068, -0.525361, -0.102447, Comb Hair
95763.326000, 0.572634, -0.364435, -0.234475, Comb Hair
95763.409000, 0.348378, -0.428317, -0.400965, Comb Hair
95763.492000, 0.368980, -0.734286, -0.447066, Comb Hair
95763.575000, 0.650559, -1.020647, -0.313797, Comb Hair
95763.658000, 0.952946, -1.011178, -0.103599, Comb Hair
95763.741000, 1.000000, -0.687338, 0.020769, Comb Hair
95763.824000, 0.741031, -0.296686, -0.006717, Comb Hair
95763.907000, 0.398520, -0.115316, -0.110265, Comb Hair
95763.990000, 0.254206, -0.218393, -0.174671, Comb Hair
95764.073000, 0.386063, -0.462078, -0.167845, Comb Hair
95764.156000, 0.615976, -0.644184, -0.149698, Comb Hair
95764.239000, 0.709424, -0.664015, -0.176890, Comb Hair
95764.323000, 0.611054, -0.562419, -0.226899, Comb Hair
95764.405000, 0.474964, -0.463073, -0.223140, Comb Hair
95764.488000, 0.477897, -0.488307, -0.116079, Comb Hair
95764.571000, 0.633167, -0.684759, 0.076234, Comb Hair
95764.654000, 0.803367, -0.973780, 0.295324, Comb Hair
95764.737000, 0.873730, -1.168989, 0.482517, Comb Hair
95764.820000, 0.870927, -1.091681, 0.587607, Comb Hair
95764.904000, 0.893352, -0.718648, 0.568044, Comb Hair
95764.987000, 0.952967, -0.221438, 0.415015, Comb Hair
95765.070000, 0.933879, 0.168529, 0.183803, Comb Hair
95765.153000, 0.726569, 0.353527, -0.029871, Comb Hair
95766.131000, 0.379061, 0.425859, -0.167558, Comb Hair
95766.234000, 0.080704, 0.529088, -0.256505, Comb Hair
95766.315000, -0.010330, 0.681520, -0.360645, Comb Hair
95766.398000, 0.094803, 0.760674, -0.482316, Comb Hair
95766.481000, 0.254137, 0.659807, -0.537677, Comb Hair
95766.814000, 0.344092, 0.429574, -0.452346, Comb Hair
95766.897000, 0.341964, 0.242194, -0.274171, Comb Hair
95766.982000, 0.274654, 0.226402, -0.161468, Comb Hair
95767.063000, 0.142934, 0.362738, -0.238416, Comb Hair
95767.146000, -0.057055, 0.540298, -0.465177, Comb Hair
95767.229000, -0.252351, 0.682277, -0.663705, Comb Hair
95767.312000, -0.297435, 0.788211, -0.675349, Comb Hair
95767.395000, -0.108760, 0.870042, -0.491773, Comb Hair
95767.478000, 0.215154, 0.894735, -0.242262, Comb Hair
95767.561000, 0.454813, 0.817646, -0.074624, Comb Hair
95767.644000, 0.477499, 0.654238, -0.054079, Comb Hair
95767.727000, 0.368221, 0.484099, -0.149633, Comb Hair
95767.810000, 0.328307, 0.376375, -0.278029, Comb Hair
95767.893000, 0.449614, 0.331107, -0.351902, Comb Hair
95767.976000, 0.620599, 0.302617, -0.321513, Comb Hair
95768.061000, 0.668238, 0.256212, -0.213131, Comb Hair
95768.142000, 0.562626, 0.174793, -0.128471, Comb Hair
95768.225000, 0.441169, 0.025029, -0.164880, Comb Hair
95768.308000, 0.431068, -0.228617, -0.299460, Comb Hair
95768.391000, 0.492638, -0.539898, -0.362393, Comb Hair
95768.474000, 0.475447, -0.736857, -0.170463, Comb Hair
95768.557000, 0.313882, -0.627614, 0.280652, Comb Hair
95768.640000, 0.115955, -0.191867, 0.765452, Comb Hair
95768.723000, 0.031588, 0.348389, 1.000000, Comb Hair
95768.806000, 0.061014, 0.692038, 0.883597, Comb Hair
95768.889000, 0.041964, 0.715270, 0.571365, Lower Hand
95768.972000, -0.161186, 0.560204, 0.309197, Lower Hand
95769.055000, -0.489709, 0.466209, 0.209592, Lower Hand
95769.139000, -0.744932, 0.531530, 0.195400, Lower Hand
