Time(s),  X,  Y,  Z, Gesture
1418395822.398000, 0.691996, 0.452368, -0.721728, Draw
1418395822.484000, 0.968028, 0.658149, -1.024336, Draw
1418395822.564000, 1.000000, 0.743465, -1.014684, Draw
1418395822.649000, 0.836977, 0.746200, -0.733791, Draw
1418395822.730000, 0.637075, 0.757835, -0.382781, Draw
1418395822.813000, 0.518212, 0.825122, -0.149234, Draw
1418395822.979000, 0.473178, 0.909341, -0.095330, Draw
1418395823.062000, 0.418879, 0.941473, -0.173004, Draw
1418395823.145000, 0.309555, 0.905175, -0.296136, Draw
1418395823.394000, 0.188914, 0.853417, -0.391987, Draw
1418395823.481000, 0.134587, 0.845503, -0.427945, Draw
1418395823.563000, 0.167245, 0.882195, -0.430335, Draw
1418395823.648000, 0.228013, 0.912945, -0.468431, Draw
1418395823.731000, 0.245013, 0.900446, -0.580262, Draw
1418395823.811000, 0.209864, 0.862410, -0.702160, Draw
1418395823.893000, 0.178209, 0.844128, -0.705689, Draw
1418395823.976000, 0.198092, 0.861536, -0.538363, Draw
1418395824.059000, 0.252073, 0.886371, -0.314404, Draw
1418395824.142000, 0.280160, 0.887455, -0.221344, Draw
1418395824.225000, 0.254083, 0.871295, -0.319482, Draw
1418395824.308000, 0.212507, 0.869865, -0.466131, Draw
1418395824.394000, 0.213774, 0.894221, -0.474256, Draw
1418395824.474000, 0.263063, 0.916789, -0.333107, Draw
1418395824.557000, 0.304167, 0.906706, -0.224161, Draw
1418395824.640000, 0.289399, 0.872216, -0.301519, Draw
1418395824.723000, 0.244114, 0.853655, -0.498367, Draw
1418395824.806000, 0.244029, 0.873946, -0.601075, Draw
1418395824.890000, 0.326990, 0.909326, -0.506840, Draw
1418395824.973000, 0.443233, 0.918631, -0.348529, Draw
1418395825.056000, 0.506432, 0.894931, -0.329749, Draw
1418395825.222000, 0.487822, 0.873919, -0.474314, Draw
1418395825.307000, 0.442629, 0.887834, -0.603528, Draw
1418395825.388000, 0.439466, 0.923376, -0.567744, Draw
1418395825.475000, 0.481353, 0.937791, -0.434789, Draw
1418395825.554000, 0.514753, 0.913168, -0.391712, Draw
1418395825.637000, 0.509180, 0.879057, -0.486372, Draw
1418395825.720000, 0.498494, 0.872801, -0.550551, Draw
1418395825.803000, 0.526130, 0.887523, -0.421803, Draw
1418395825.886000, 0.568636, 0.877038, -0.190725, Draw
1418395825.969000, 0.551346, 0.817063, -0.142015, Draw
1418395826.052000, 0.453226, 0.748115, -0.424321, Draw
1418395826.136000, 0.366584, 0.741292, -0.832414, Draw
1418395826.220000, 0.410305, 0.819304, -0.979242, Draw
1418395826.302000, 0.574615, 0.922918, -0.688015, Draw
1418395826.385000, 0.685832, 0.965614, -0.175706, Draw
1418395826.468000, 0.565537, 0.919716, 0.166822, Draw
1418395826.551000, 0.231247, 0.841020, 0.147695, Draw
1418395826.634000, -0.087504, 0.807510, -0.092589, Draw
1418395826.717000, -0.157017, 0.841269, -0.284210, Draw
1418395826.800000, 0.037682, 0.895882, -0.303201, Draw
1418395826.883000, 0.288962, 0.914869, -0.231506, Draw
1418395826.969000, 0.381353, 0.891182, -0.200552, Draw
1418395827.049000, 0.292280, 0.865549, -0.241467, Draw
1418395827.976000, 0.174997, 0.874727, -0.294007, Draw
1418395828.050000, 0.168118, 0.912121, -0.307859, Draw
1418395828.137000, 0.255603, 0.940503, -0.289862, Draw
1418395828.212000, 0.318043, 0.935171, -0.265430, Draw
1418395828.295000, 0.287221, 0.907637, -0.239162, Draw
1418395828.378000, 0.214012, 0.888987, -0.209533, Draw
1418395828.461000, 0.186533, 0.897038, -0.194081, Draw
1418395828.544000, 0.218331, 0.922442, -0.211436, Draw
1418395828.627000, 0.244913, 0.942446, -0.247236, Draw
1418395828.710000, 0.218123, 0.942929, -0.265588, Draw
1418395828.793000, 0.169128, 0.927418, -0.257725, Draw
1418395828.876000, 0.163402, 0.909578, -0.253980, Draw
1418395828.959000, 0.213619, 0.900224, -0.273251, Draw
1418395829.042000, 0.263923, 0.900235, -0.282421, Draw
1418395829.125000, 0.260714, 0.903001, -0.235897, Draw
1418395829.208000, 0.215672, 0.902701, -0.150365, Draw
1418395829.291000, 0.184115, 0.900759, -0.104469, Draw
1418395829.375000, 0.193574, 0.903864, -0.146579, Draw
1418395829.458000, 0.215519, 0.914593, -0.229374, Draw
1418395829.541000, 0.209494, 0.925124, -0.269916, Draw
1418395829.625000, 0.175511, 0.923761, -0.263814, Draw
1418395829.708000, 0.148733, 0.909544, -0.291396, Draw
1418395829.875000, 0.152782, 0.897150, -0.389343, Draw
1418395829.960000, 0.178255, 0.902149, -0.460033, Draw
1418395830.040000, 0.208087, 0.921109, -0.370917, Draw
1418395830.123000, 0.242000, 0.932478, -0.145871, Draw
1418395830.206000, 0.279174, 0.922446, 0.011402, Draw
1418395830.289000, 0.290004, 0.906266, -0.054368, Draw
1418395830.372000, 0.236393, 0.913419, -0.220339, Draw
1418395830.455000, 0.134081, 0.946033, -0.166654, Draw
1418395830.541000, 0.075053, 0.959944, 0.262190, Draw
1418395830.621000, 0.155962, 0.902959, 0.810807, Draw
1418395830.705000, 0.372429, 0.780651, 1.000000, Draw
1418395830.787000, 0.598702, 0.676263, 0.591010, Draw
1418395830.871000, 0.690143, 0.686559, -0.162808, Draw
1418395830.954000, 0.608485, 0.823436, -0.752433, Draw
1418395831.037000, 0.440328, 0.978960, -0.882568, Draw
1418395831.120000, 0.297132, 1.000000, -0.679637, Draw
1418395831.203000, 0.213048, 0.812879, -0.461270, Draw
1418395831.286000, 0.146561, 0.485763, -0.377108, Draw
