Time(s),  X,  Y,  Z, Gesture
1418236325.288000, -0.677219, 0.213195, -0.201519, Inactive
1418236325.367000, -0.965774, 0.299453, -0.318109, Inactive
1418236325.439000, -1.062276, 0.351615, -0.391200, Inactive
1418236325.522000, -1.004199, 0.364639, -0.385379, Inactive
1418236325.605000, -0.918875, 0.340495, -0.320952, Inactive
1418236325.693000, -0.902685, 0.298167, -0.265885, Inactive
1418236325.771000, -0.951559, 0.271890, -0.272605, Inactive
1418236325.854000, -0.997074, 0.282354, -0.321934, Inactive
1418236325.937000, -0.992989, 0.309799, -0.342558, Inactive
1418236326.020000, -0.958431, 0.311643, -0.295192, Inactive
1418236326.103000, -0.944760, 0.277377, -0.230584, Inactive
1418236326.186000, -0.975656, 0.257264, -0.249479, Inactive
1418236326.436000, -1.026433, 0.319164, -0.399664, Raise Hand
1418236326.519000, -1.054441, 0.471651, -0.620297, Raise Hand
1418236326.602000, -1.037730, 0.641329, -0.795946, Raise Hand
1418236326.685000, -0.981172, 0.738321, -0.862708, Raise Hand
1418236326.768000, -0.894028, 0.742696, -0.853754, Raise Hand
1418236326.851000, -0.772971, 0.717261, -0.843652, Raise Hand
1418236326.934000, -0.609988, 0.734747, -0.863441, Raise Hand
1418236327.020000, -0.410657, 0.802689, -0.881131, Raise Hand
1418236327.101000, -0.197618, 0.865162, -0.856311, Raise Hand
1418236327.184000, 0.004908, 0.867323, -0.792406, Raise Hand
1418236327.267000, 0.186359, 0.802954, -0.725487, Raise Hand
1418236327.354000, 0.347975, 0.700969, -0.674922, Raise Hand
1418236327.433000, 0.489210, 0.587530, -0.624989, Raise Hand
1418236327.516000, 0.601287, 0.479336, -0.557039, Raise Hand
1418236327.599000, 0.676199, 0.404818, -0.480973, Raise Hand
1418236327.682000, 0.719243, 0.402661, -0.418617, Raise Hand
1418236327.765000, 0.748142, 0.480657, -0.362944, Raise Hand
1418236327.848000, 0.777740, 0.585756, -0.276795, Brush Teeth
1418236327.932000, 0.806950, 0.638709, -0.144144, Brush Teeth
1418236328.014000, 0.823024, 0.609407, -0.009754, Brush Teeth
1418236328.098000, 0.818944, 0.548740, 0.054575, Brush Teeth
1418236328.181000, 0.804538, 0.534057, 0.029588, Brush Teeth
1418236328.265000, 0.798472, 0.585420, -0.020349, Brush Teeth
1418236328.347000, 0.809441, 0.646861, -0.011602, Brush Teeth
1418236328.430000, 0.827221, 0.652431, 0.065655, Brush Teeth
1418236328.513000, 0.833552, 0.599085, 0.134519, Brush Teeth
1418236328.596000, 0.821036, 0.544255, 0.119321, Brush Teeth
1418236328.685000, 0.799809, 0.537187, 0.035860, Brush Teeth
1418236328.763000, 0.785951, 0.567860, -0.021978, Brush Teeth
1418236328.846000, 0.785890, 0.589130, 0.013452, Brush Teeth
1418236328.929000, 0.793905, 0.577760, 0.107696, Brush Teeth
1418236329.012000, 0.802804, 0.558896, 0.164366, Brush Teeth
1418236329.095000, 0.812168, 0.569490, 0.134546, Brush Teeth
1418236329.178000, 0.823632, 0.609930, 0.069589, Brush Teeth
1418236329.261000, 0.831419, 0.641620, 0.059347, Brush Teeth
1418236329.344000, 0.824049, 0.629659, 0.130395, Brush Teeth
1418236329.427000, 0.798561, 0.579716, 0.220290, Brush Teeth
1418236329.510000, 0.769710, 0.531167, 0.250511, Brush Teeth
1418236329.593000, 0.759294, 0.519292, 0.208419, Brush Teeth
1418236329.677000, 0.774368, 0.546615, 0.148367, Brush Teeth
1418236329.760000, 0.799183, 0.585689, 0.124173, Brush Teeth
1418236329.843000, 0.811956, 0.603647, 0.139882, Brush Teeth
1418236329.927000, 0.808281, 0.586432, 0.167956, Brush Teeth
1418236330.009000, 0.803881, 0.547925, 0.193953, Brush Teeth
1418236330.092000, 0.813436, 0.519614, 0.223211, Brush Teeth
1418236330.175000, 0.831518, 0.525674, 0.250669, Brush Teeth
1418236330.424000, 0.839511, 0.560456, 0.251681, Brush Teeth
1418236330.511000, 0.830085, 0.590576, 0.217813, Brush Teeth
1418236330.591000, 0.817799, 0.586065, 0.185383, Brush Teeth
1418236330.675000, 0.820903, 0.552971, 0.200398, Brush Teeth
1418236330.757000, 0.836314, 0.530358, 0.251114, Brush Teeth
1418236330.841000, 0.840848, 0.548787, 0.262736, Brush Teeth
1418236330.923000, 0.820505, 0.592883, 0.185553, Brush Teeth
1418236331.006000, 0.792890, 0.612400, 0.079830, Brush Teeth
1418236331.089000, 0.792282, 0.574694, 0.076333, Brush Teeth
1418236331.172000, 0.830626, 0.502813, 0.228867, Brush Teeth
1418236332.257000, 0.879201, 0.456129, 0.422889, Brush Teeth
