Time(s),  X,  Y,  Z, Gesture
1418236085.401000, -0.849578, 0.193164, -0.345404, Inactive
1418236085.484000, -1.220550, 0.272420, -0.562262, Inactive
1418236085.650000, -1.312018, 0.297317, -0.639356, Inactive
1418236085.733000, -1.214007, 0.280007, -0.619720, Inactive
1418236085.820000, -1.122003, 0.250549, -0.625334, Inactive
1418236085.899000, -1.139299, 0.232146, -0.721785, Inactive
1418236085.982000, -1.213327, 0.231620, -0.858338, Inactive
1418236086.066000, -1.241022, 0.244122, -0.934289, Inactive
1418236086.149000, -1.197173, 0.260338, -0.906100, Inactive
1418236086.315000, -1.144606, 0.271883, -0.824738, Inactive
1418236086.398000, -1.142794, 0.278508, -0.785658, Inactive
1418236086.481000, -1.181909, 0.295328, -0.860655, Inactive
1418236086.564000, -1.213813, 0.348992, -1.069371, Inactive
1418236086.651000, -1.219995, 0.457417, -1.380962, Inactive
1418236086.730000, -1.218926, 0.607124, -1.714417, Inactive
1418236086.814000, -1.207954, 0.752205, -1.948296, Raise Hand
1418236086.896000, -1.128441, 0.842298, -1.975914, Raise Hand
1418236086.983000, -0.914462, 0.857856, -1.791049, Raise Hand
1418236087.063000, -0.573782, 0.821090, -1.519836, Raise Hand
1418236087.146000, -0.200272, 0.773357, -1.334548, Raise Hand
1418236087.229000, 0.105015, 0.741555, -1.302958, Raise Hand
1418236087.312000, 0.317420, 0.724082, -1.316863, Raise Hand
1418236087.395000, 0.484950, 0.704181, -1.185955, Raise Hand
1418236087.478000, 0.650033, 0.671716, -0.819347, Raise Hand
1418236087.567000, 0.795025, 0.631303, -0.319661, Scratch Chin
1418236087.644000, 0.873523, 0.594230, 0.103322, Scratch Chin
1418236087.727000, 0.880719, 0.568266, 0.312022, Scratch Chin
1418236087.810000, 0.870544, 0.555936, 0.338215, Scratch Chin
1418236087.894000, 0.897806, 0.557547, 0.316702, Scratch Chin
1418236087.978000, 0.958219, 0.570593, 0.341813, Scratch Chin
1418236088.060000, 1.000000, 0.586473, 0.395461, Scratch Chin
1418236088.143000, 0.990416, 0.592997, 0.400854, Scratch Chin
1418236088.309000, 0.954432, 0.584457, 0.322982, Scratch Chin
1418236088.392000, 0.941195, 0.568607, 0.207598, Scratch Chin
1418236088.475000, 0.964571, 0.560135, 0.134568, Scratch Chin
1418236088.558000, 0.991667, 0.565493, 0.148363, Scratch Chin
1418236088.641000, 0.987742, 0.575843, 0.230149, Scratch Chin
1418236088.724000, 0.955302, 0.576878, 0.317879, Scratch Chin
1418236088.807000, 0.919264, 0.564758, 0.344922, Scratch Chin
1418236088.890000, 0.885063, 0.550277, 0.279313, Scratch Chin
1418236088.973000, 0.830323, 0.548046, 0.157838, Scratch Chin
1418236089.056000, 0.739383, 0.565561, 0.090058, Scratch Chin
1418236089.139000, 0.626044, 0.605132, 0.197189, Lower Hand
1418236089.222000, 0.504585, 0.671890, 0.500690, Lower Hand
1418236089.306000, 0.346568, 0.770305, 0.852365, Lower Hand
1418236089.389000, 0.093879, 0.886810, 1.000000, Lower Hand
1418236089.472000, -0.268898, 0.980052, 0.768813, Lower Hand
1418236089.555000, -0.667432, 1.000000, 0.210045, Lower Hand
1418236089.638000, -0.987198, 0.926397, -0.426842, Lower Hand
1418236089.721000, -1.176216, 0.789262, -0.882472, Lower Hand
1418236089.804000, -1.279836, 0.645671, -1.063492, Lower Hand
1418236089.887000, -1.356259, 0.531350, -1.049832, Lower Hand
1418236089.970000, -1.370112, 0.435090, -0.954808, Lower Hand
1418236090.053000, -1.206444, 0.322748, -0.805939, Inactive
1418236090.136000, -0.814391, 0.185087, -0.569680, Inactive
