Time(s),  X,  Y,  Z, Gesture
1418236114.933000, -0.651632, 0.456945, -0.809383, Raise Hand
1418236115.099000, -0.826426, 0.617969, -0.983067, Raise Hand
1418236115.182000, -0.770846, 0.657332, -1.952020, Raise Hand
1418236115.268000, -0.614828, 0.699472, -3.593015, Raise Hand
1418236115.348000, -0.500938, 0.838467, -5.202977, Raise Hand
1418236115.431000, -0.428906, 0.997352, -6.040146, Raise Hand
1418236115.514000, -0.284524, 1.000000, -5.797020, Raise Hand
1418236115.597000, -0.004359, 0.779903, -4.726997, Raise Hand
1418236115.680000, 0.323446, 0.473260, -3.513612, Raise Hand
1418236115.763000, 0.538790, 0.274699, -3.007604, Raise Hand
1418236115.846000, 0.575719, 0.224432, -3.819146, Comb Hair
1418236115.933000, 0.527249, 0.188279, -5.850875, Comb Hair
1418236116.013000, 0.541429, 0.059485, -8.150679, Comb Hair
1418236116.096000, 0.668139, -0.070943, -9.436907, Comb Hair
1418236116.179000, 0.819841, -0.005900, -9.066895, Comb Hair
1418236116.262000, 0.875345, 0.293323, -7.626044, Comb Hair
1418236116.345000, 0.805098, 0.593469, -6.490994, Comb Hair
1418236116.428000, 0.690432, 0.597655, -6.671166, Comb Hair
1418236116.511000, 0.633911, 0.265648, -8.001740, Comb Hair
1418236116.594000, 0.664815, -0.121410, -9.453435, Comb Hair
1418236116.677000, 0.728153, -0.246086, -10.194505, Comb Hair
1418236116.764000, 0.748646, -0.082526, -10.293836, Comb Hair
1418236116.843000, 0.696588, 0.098645, -10.405007, Comb Hair
1418236116.927000, 0.601871, 0.049845, -10.897792, Comb Hair
1418236117.010000, 0.520366, -0.177962, -11.439996, Comb Hair
1418236117.093000, 0.489048, -0.315684, -11.425394, Comb Hair
1418236117.176000, 0.501083, -0.206250, -10.661578, Comb Hair
1418236117.425000, 0.515468, 0.011399, -9.520001, Comb Hair
1418236117.508000, 0.498349, 0.081497, -8.478176, Comb Hair
1418236117.591000, 0.467587, -0.044328, -7.702027, Comb Hair
1418236117.674000, 0.493341, -0.132451, -7.158789, Comb Hair
1418236117.757000, 0.632881, 0.055605, -6.985611, Comb Hair
1418236117.840000, 0.848255, 0.451582, -7.487550, Comb Hair
1418236117.923000, 1.000000, 0.705343, -8.665472, Comb Hair
1418236118.255000, 0.955313, 0.538689, -9.892284, Comb Hair
1418236118.338000, 0.725207, 0.045176, -10.295432, Comb Hair
1418236118.422000, 0.485350, -0.391540, -9.563147, Comb Hair
1418236118.505000, 0.431682, -0.470822, -8.291346, Comb Hair
1418236118.588000, 0.596197, -0.243644, -7.422115, Comb Hair
1418236118.671000, 0.810802, -0.015321, -7.344111, Comb Hair
1418236118.754000, 0.868036, -0.020911, -7.629666, Comb Hair
1418236118.837000, 0.720503, -0.225620, -7.664921, Comb Hair
1418236118.920000, 0.513553, -0.423272, -7.413614, Comb Hair
1418236119.003000, 0.421731, -0.474713, -7.433108, Comb Hair
1418236119.086000, 0.470940, -0.418605, -8.164761, Comb Hair
1418236119.169000, 0.538196, -0.377557, -9.364201, Comb Hair
1418236119.252000, 0.515735, -0.411849, -10.326349, Comb Hair
1418236119.335000, 0.439840, -0.484751, -10.583514, Comb Hair
1418236119.418000, 0.432386, -0.534555, -10.215612, Comb Hair
1418236119.501000, 0.529351, -0.534004, -9.452247, Comb Hair
1418236119.667000, 0.609098, -0.478407, -8.170497, Comb Hair
1418236119.750000, 0.517832, -0.359757, -6.029961, Comb Hair
