Time(s),  X,  Y,  Z, Gesture
1418235995.910000, -7.569193, 0.522607, -4.725954, Inactive
1418235995.994000, -11.086114, 0.787282, -5.723479, Inactive
1418235996.325000, -12.249489, 0.895394, -5.271038, Inactive
1418235996.664000, -11.540569, 0.859976, -4.434173, Inactive
1418235996.741000, -10.565953, 0.795585, -4.119608, Inactive
1418235996.824000, -10.460839, 0.798602, -4.316733, Inactive
1418235996.907000, -11.088583, 0.860692, -4.506508, Inactive
1418235996.990000, -11.612042, 0.901422, -4.458223, Inactive
1418235997.073000, -11.541679, 0.872401, -4.384706, Inactive
1418235997.156000, -11.100555, 0.811219, -4.462885, Inactive
1418235997.239000, -10.747488, 0.789779, -4.545867, Draw
1418235997.322000, -10.634366, 0.826409, -4.467343, Draw
1418235997.412000, -10.620788, 0.868270, -4.397720, Draw
1418235997.488000, -10.634798, 0.860826, -4.630366, Draw
1418235997.571000, -10.786317, 0.815629, -5.062359, Draw
1418235997.654000, -11.103958, 0.792921, -5.190314, Draw
1418235997.737000, -11.345732, 0.822439, -4.784704, Draw
1418235997.820000, -11.229275, 0.862736, -4.365939, Draw
1418235997.903000, -10.812297, 0.852058, -4.683351, Draw
1418235997.987000, -10.491934, 0.789609, -5.684505, Draw
1418235998.070000, -10.561502, 0.744900, -6.323196, Draw
1418235998.153000, -10.857053, 0.777592, -5.689578, Draw
1418235998.236000, -10.951592, 0.860832, -4.238231, Draw
1418235998.319000, -10.679071, 0.903217, -3.512966, Draw
1418235998.402000, -10.346952, 0.850843, -4.441949, Draw
1418235998.568000, -10.371930, 0.753670, -6.122309, Draw
1418235998.651000, -10.782985, 0.716107, -6.674656, Draw
1418235998.734000, -11.190729, 0.782782, -5.377287, Draw
1418235998.817000, -11.237693, 0.886742, -3.628247, Draw
1418235998.900000, -10.966068, 0.919778, -3.466205, Draw
1418235998.983000, -10.684852, 0.848660, -5.216656, Draw
1418235999.066000, -10.569248, 0.750151, -6.997098, Draw
1418235999.149000, -10.529815, 0.727885, -6.781522, Draw
1418235999.233000, -10.473853, 0.802961, -4.733968, Draw
1418235999.316000, -10.528537, 0.895312, -3.095550, Draw
1418235999.399000, -10.861654, 0.911311, -3.672629, Draw
1418235999.482000, -11.336777, 0.840490, -5.776273, Draw
1418235999.565000, -11.541327, 0.760964, -7.001763, Draw
1418235999.648000, -11.259922, 0.754525, -5.976307, Draw
1418235999.731000, -10.809352, 0.824013, -3.915504, Draw
1418235999.814000, -10.722921, 0.894841, -3.198270, Draw
1418235999.897000, -11.088542, 0.892081, -4.618263, Draw
1418235999.980000, -11.385963, 0.813448, -6.483306, Draw
1418236000.064000, -11.136729, 0.731521, -6.566193, Draw
1418236000.147000, -10.618814, 0.728940, -4.616314, Draw
1418236000.230000, -10.652339, 0.825339, -2.554532, Draw
1418236000.313000, -11.507741, 0.953469, -2.213647, Draw
1418236000.562000, -12.176223, 1.000000, -3.297721, Draw
1418236000.645000, -11.061027, 0.882135, -3.867969, Draw
1418236000.731000, -7.599310, 0.608730, -2.662284, Draw
