Time(s),  X,  Y,  Z, Gesture
1418236041.923000, -5.628370, 0.519147, -4.335575, Draw
1418236042.006000, -7.910472, 0.797860, -5.321052, Draw
1418236042.172000, -8.768384, 0.918474, -5.140596, Draw
1418236042.338000, -8.429847, 0.879044, -4.575576, Draw
1418236042.426000, -7.747672, 0.776626, -4.470280, Draw
1418236042.504000, -7.470526, 0.711117, -4.973584, Draw
1418236042.591000, -7.726579, 0.709682, -5.591876, Draw
1418236042.670000, -8.110544, 0.734910, -5.868508, Draw
1418236042.753000, -8.213754, 0.746872, -5.867691, Draw
1418236042.836000, -8.046834, 0.744085, -5.959365, Draw
1418236042.919000, -7.948453, 0.748987, -6.254390, Draw
1418236043.007000, -8.130654, 0.770406, -6.423401, Draw
1418236043.086000, -8.406182, 0.791688, -6.125589, Draw
1418236043.169000, -8.423021, 0.792466, -5.506767, Draw
1418236043.252000, -8.119180, 0.771952, -5.125082, Draw
1418236043.335000, -7.825980, 0.746976, -5.350359, Draw
1418236043.418000, -7.868349, 0.732274, -5.933747, Draw
1418236043.501000, -8.152816, 0.728169, -6.268609, Draw
1418236043.584000, -8.284070, 0.726034, -6.057333, Draw
1418236043.667000, -8.092543, 0.720153, -5.618612, Draw
1418236043.750000, -7.895153, 0.712244, -5.490793, Draw
1418236043.833000, -8.104749, 0.707946, -5.808904, Draw
1418236043.918000, -8.644758, 0.712173, -6.178169, Draw
1418236044.000000, -8.944864, 0.726359, -6.156491, Draw
1418236044.083000, -8.607871, 0.746762, -5.741932, Draw
1418236044.166000, -7.953201, 0.765674, -5.297800, Draw
1418236044.250000, -7.710618, 0.777918, -5.062624, Draw
1418236044.333000, -8.164401, 0.787294, -4.887256, Draw
1418236044.416000, -8.781642, 0.802712, -4.516231, Draw
1418236044.499000, -8.823898, 0.824380, -4.018366, Draw
1418236044.582000, -8.234114, 0.836875, -3.779690, Draw
1418236044.665000, -7.712951, 0.823406, -4.037613, Draw
1418236044.748000, -7.874305, 0.789653, -4.536085, Draw
1418236044.831000, -8.515042, 0.766874, -4.755105, Draw
1418236044.914000, -8.899608, 0.782306, -4.471439, Draw
1418236044.997000, -8.684505, 0.825395, -4.007277, Draw
1418236045.080000, -8.297676, 0.851311, -3.898832, Draw
1418236045.330000, -8.295178, 0.825233, -4.379739, Draw
1418236045.413000, -8.557823, 0.761529, -5.220837, Draw
1418236045.496000, -8.426405, 0.712080, -5.991699, Draw
1418236045.579000, -7.651507, 0.713507, -6.369004, Draw
1418236045.662000, -6.904290, 0.751365, -6.226310, Draw
1418236045.745000, -7.069660, 0.781196, -5.621413, Draw
1418236045.828000, -8.107245, 0.780500, -4.849363, Draw
1418236045.911000, -8.935273, 0.770065, -4.419046, Draw
1418236045.994000, -8.616961, 0.781260, -4.719492, Draw
1418236046.077000, -7.486642, 0.812038, -5.564783, Draw
1418236046.160000, -6.813342, 0.827765, -6.197096, Draw
1418236046.243000, -7.319366, 0.806568, -5.978646, Draw
1418236046.327000, -8.299219, 0.772013, -5.139472, Draw
1418236046.410000, -8.437104, 0.769415, -4.658163, Draw
1418236046.493000, -7.409783, 0.811001, -5.221951, Draw
1418236046.576000, -6.385264, 0.855707, -6.364465, Draw
1418236046.659000, -6.780362, 0.851029, -6.859062, Draw
1418236046.742000, -8.658496, 0.791568, -6.063654, Draw
1418236048.137000, -10.568581, 0.727955, -4.711238, Draw
1418236048.489000, -10.991082, 0.715502, -4.151665, Draw
1418236048.569000, -9.798236, 0.758908, -4.833542, Draw
1418236048.652000, -8.226157, 0.811504, -5.788674, Draw
1418236048.735000, -7.552106, 0.825710, -5.778450, Draw
1418236048.818000, -7.964583, 0.798204, -4.787762, Draw
1418236048.901000, -8.673180, 0.765482, -4.074927, Draw
1418236048.984000, -8.871594, 0.762163, -4.672677, Draw
1418236049.067000, -8.431817, 0.789205, -6.120789, Draw
1418236049.150000, -7.780123, 0.819787, -6.985841, Draw
1418236049.233000, -7.355538, 0.828237, -6.575400, Draw
1418236049.316000, -7.285489, 0.810729, -5.753946, Draw
1418236049.399000, -7.437737, 0.784684, -5.799979, Draw
1418236049.482000, -7.605250, 0.776024, -6.645804, Draw
1418236049.565000, -7.645220, 0.805292, -6.707731, Draw
1418236049.648000, -7.576993, 0.874383, -4.697642, Draw
1418236049.731000, -7.594320, 0.956337, -1.393953, Draw
1418236049.814000, -7.873754, 1.000000, 0.761318, Draw
1418236049.898000, -8.286320, 0.958314, -0.045426, Draw
1418236049.981000, -8.402087, 0.826290, -3.269058, Draw
1418236050.064000, -7.965293, 0.655661, -6.674011, Draw
1418236050.313000, -7.370319, 0.525120, -8.559401, Draw
1418236050.396000, -7.426737, 0.483455, -9.059979, Inactive
1418236050.479000, -8.417046, 0.511251, -9.271310, Inactive
1418236050.562000, -9.435454, 0.534820, -9.501582, Inactive
1418236050.645000, -8.959787, 0.482795, -8.825217, Inactive
1418236050.728000, -6.321534, 0.340270, -6.397223, Inactive
