Time(s),  X,  Y,  Z, Gesture
1418221088.566000, -0.256152, 0.541267, -0.297129, Inactive
1418221088.715000, -0.347889, 0.766542, -0.517366, Inactive
1418221088.800000, -0.378557, 0.834155, -0.618241, Inactive
1418221088.882000, -0.366187, 0.788645, -0.565502, Inactive
1418221088.965000, -0.340355, 0.734313, -0.466565, Inactive
1418221089.048000, -0.322922, 0.737892, -0.468441, Inactive
1418221089.131000, -0.324374, 0.796355, -0.607815, Inactive
1418221089.214000, -0.341209, 0.876406, -0.774748, Inactive
1418221089.297000, -0.349312, 0.952719, -0.831902, Raise Hand
1418221089.380000, -0.308740, 1.000000, -0.758658, Raise Hand
1418221089.463000, -0.189168, 0.975824, -0.662862, Raise Hand
1418221089.547000, 0.003248, 0.846719, -0.655909, Raise Hand
1418221089.630000, 0.226360, 0.638265, -0.741214, Raise Hand
1418221089.796000, 0.431194, 0.436409, -0.839568, Raise Hand
1418221089.879000, 0.590007, 0.317039, -0.902842, Raise Hand
1418221089.966000, 0.698606, 0.276507, -0.963230, Raise Hand
1418221090.045000, 0.761694, 0.247535, -1.058257, Raise Hand
1418221090.128000, 0.786361, 0.185723, -1.142579, Raise Hand
1418221090.212000, 0.788685, 0.123081, -1.122677, Raise Hand
1418221090.295000, 0.793678, 0.123217, -0.987196, Brush Teeth
1418221090.378000, 0.817344, 0.195036, -0.860162, Brush Teeth
1418221090.461000, 0.849873, 0.274035, -0.878446, Brush Teeth
1418221090.544000, 0.865705, 0.294677, -1.018650, Brush Teeth
1418221090.876000, 0.854183, 0.262118, -1.093193, Brush Teeth
1418221090.959000, 0.834570, 0.234090, -0.955804, Brush Teeth
1418221091.043000, 0.834447, 0.240367, -0.695993, Brush Teeth
1418221091.126000, 0.855882, 0.246858, -0.581415, Brush Teeth
1418221091.209000, 0.871319, 0.210794, -0.781824, Brush Teeth
1418221091.292000, 0.855800, 0.151640, -1.172240, Brush Teeth
1418221091.375000, 0.816694, 0.138655, -1.445584, Brush Teeth
1418221091.458000, 0.784648, 0.203543, -1.422863, Brush Teeth
1418221091.541000, 0.777489, 0.287585, -1.221314, Brush Teeth
1418221091.627000, 0.781729, 0.295646, -1.098611, Brush Teeth
1418221091.708000, 0.773021, 0.198517, -1.159010, Brush Teeth
1418221091.791000, 0.747987, 0.064421, -1.259093, Brush Teeth
