Time(s),  X,  Y,  Z, Gesture
1418220876.543000, -0.156586, 0.418750, -0.478041, Inactive
1418220876.707000, -0.264389, 0.629606, -0.339220, Inactive
1418220876.790000, -0.315114, 0.828728, -0.144845, Inactive
1418220876.873000, -0.261768, 0.978872, -0.406980, Raise Hand
1418220876.956000, -0.107393, 1.000000, -1.197052, Raise Hand
1418220877.039000, 0.094300, 0.822226, -1.899503, Raise Hand
1418220877.122000, 0.273431, 0.469856, -1.787797, Raise Hand
1418220877.206000, 0.390726, 0.077759, -0.876085, Raise Hand
1418220877.289000, 0.462429, -0.198370, -0.072180, Raise Hand
1418220877.372000, 0.542036, -0.298497, -0.338848, Raise Hand
1418220877.458000, 0.669884, -0.284261, -1.672346, Raise Hand
1418220877.538000, 0.831139, -0.250941, -2.990278, Raise Hand
1418220877.621000, 0.961363, -0.224678, -3.109007, Scratch Chin
1418220877.954000, 1.000000, -0.155791, -1.845146, Scratch Chin
1418220878.037000, 0.946069, -0.005668, -0.143844, Scratch Chin
1418220878.120000, 0.862898, 0.181778, 0.843755, Scratch Chin
1418220878.203000, 0.824023, 0.310273, 0.758148, Scratch Chin
1418220878.287000, 0.850357, 0.327137, 0.152504, Scratch Chin
1418220878.370000, 0.899607, 0.273305, -0.224830, Scratch Chin
1418220878.453000, 0.917061, 0.232688, -0.129251, Scratch Chin
1418220878.536000, 0.893530, 0.243860, 0.165615, Scratch Chin
1418220878.619000, 0.869250, 0.274671, 0.353505, Scratch Chin
1418220878.702000, 0.881662, 0.278442, 0.414619, Scratch Chin
1418220878.785000, 0.916942, 0.253761, 0.461462, Scratch Chin
1418220878.868000, 0.920909, 0.235551, 0.451328, Scratch Chin
1418220879.037000, 0.857633, 0.239568, 0.219465, Scratch Chin
1418220879.117000, 0.748682, 0.242368, -0.210718, Lower Hand
1418220879.201000, 0.646240, 0.227900, -0.501380, Lower Hand
1418220879.284000, 0.568614, 0.236598, -0.304974, Lower Hand
1418220879.367000, 0.472068, 0.339161, 0.321479, Lower Hand
1418220879.450000, 0.295215, 0.549777, 0.903498, Lower Hand
1418220879.533000, 0.031338, 0.780221, 1.000000, Lower Hand
1418220879.616000, -0.249702, 0.903216, 0.631948, Lower Hand
1418220879.699000, -0.455819, 0.869798, 0.220340, Lower Hand
1418220879.782000, -0.547639, 0.754932, 0.125958, Lower Hand
1418220879.865000, -0.557728, 0.677284, 0.316161, Inactive
1418220879.948000, -0.539782, 0.676547, 0.493533, Inactive
1418220880.032000, -0.508281, 0.679118, 0.470745, Inactive
1418220880.115000, -0.434556, 0.585550, 0.333680, Inactive
1418220880.198000, -0.298319, 0.381509, 0.252027, Inactive
