Time(s),  X,  Y,  Z, Gesture
1418220817.498000, -0.186494, 0.404932, -0.483639, Inactive
1418220817.745000, -0.267126, 0.580588, -0.606903, Inactive
1418220817.911000, -0.289820, 0.646786, -0.589401, Inactive
1418220817.994000, -0.272568, 0.620554, -0.534609, Inactive
1418220818.160000, -0.259113, 0.573398, -0.553760, Inactive
1418220818.247000, -0.278905, 0.563961, -0.649592, Inactive
1418220818.327000, -0.328093, 0.592070, -0.725142, Inactive
1418220818.493000, -0.383034, 0.614822, -0.704821, Inactive
1418220818.825000, -0.424720, 0.601579, -0.629177, Inactive
1418220818.913000, -0.448841, 0.567088, -0.612703, Inactive
1418220818.992000, -0.458898, 0.549791, -0.709590, Inactive
1418220819.078000, -0.458076, 0.564468, -0.842381, Inactive
1418220819.158000, -0.450108, 0.585816, -0.882937, Inactive
1418220819.241000, -0.442788, 0.581564, -0.799578, Inactive
1418220819.324000, -0.443939, 0.554236, -0.698176, Inactive
1418220819.407000, -0.452572, 0.539319, -0.698589, Inactive
1418220819.573000, -0.458058, 0.559677, -0.784192, Inactive
1418220819.657000, -0.451985, 0.591735, -0.813012, Inactive
1418220819.740000, -0.440093, 0.590275, -0.703742, Inactive
1418220819.823000, -0.438087, 0.550231, -0.589602, Inactive
1418220819.906000, -0.452147, 0.532761, -0.728438, Inactive
1418220819.989000, -0.463855, 0.613031, -1.211233, Inactive
1418220820.072000, -0.437589, 0.792741, -1.767174, Raise Hand
1418220820.155000, -0.346381, 0.968559, -1.922393, Raise Hand
1418220820.239000, -0.193263, 1.000000, -1.426947, Raise Hand
1418220820.322000, -0.008958, 0.821368, -0.555014, Raise Hand
1418220820.407000, 0.171086, 0.495099, 0.050152, Raise Hand
1418220820.491000, 0.329639, 0.159171, -0.104105, Raise Hand
1418220820.571000, 0.472386, -0.077928, -0.936486, Raise Hand
1418220820.654000, 0.613406, -0.198173, -1.863141, Raise Hand
1418220820.737000, 0.755637, -0.248471, -2.304489, Raise Hand
1418220820.820000, 0.882480, -0.273828, -2.157177, Comb Hair
1418220820.903000, 0.967178, -0.283232, -1.804169, Comb Hair
1418220820.986000, 0.993645, -0.270728, -1.690032, Comb Hair
1418220821.069000, 0.973188, -0.248806, -1.899445, Comb Hair
1418220821.153000, 0.941951, -0.245756, -2.141433, Comb Hair
1418220821.236000, 0.936676, -0.271710, -2.112758, Comb Hair
1418220821.319000, 0.965535, -0.301152, -1.836505, Comb Hair
1418220821.402000, 1.000000, -0.300362, -1.622571, Comb Hair
1418220821.495000, 0.999155, -0.271076, -1.704812, Comb Hair
1418220821.568000, 0.947384, -0.256533, -1.946262, Comb Hair
1418220821.818000, 0.868988, -0.295631, -1.929674, Comb Hair
1418220821.901000, 0.801775, -0.371577, -1.354589, Comb Hair
1418220821.984000, 0.753268, -0.413654, -0.352711, Comb Hair
1418220822.069000, 0.685809, -0.357743, 0.585020, Lower Hand
1418220822.150000, 0.551796, -0.208794, 1.000000, Lower Hand
1418220822.233000, 0.348237, -0.043149, 0.814286, Lower Hand
