Time(s),  X,  Y,  Z, Gesture
1418220949.538000, -6.172096, 0.643999, -7.658974, Draw
1418220949.641000, -8.410900, 0.915850, -11.204434, Draw
1418220949.704000, -8.848625, 0.984921, -13.923261, Draw
1418220949.790000, -8.241275, 0.922872, -15.112650, Draw
1418220949.871000, -7.749519, 0.870190, -14.791329, Draw
1418220949.954000, -7.821492, 0.890793, -13.834741, Draw
1418220950.037000, -8.077773, 0.939326, -13.280146, Draw
1418220950.120000, -8.041086, 0.950781, -13.481382, Draw
1418220950.203000, -7.714045, 0.924818, -14.056587, Draw
1418220950.286000, -7.447572, 0.908785, -14.589369, Draw
1418220950.369000, -7.480395, 0.923093, -15.092647, Draw
1418220950.453000, -7.769997, 0.936346, -15.640988, Draw
1418220950.536000, -8.177512, 0.916975, -15.812671, Draw
1418220950.619000, -8.615768, 0.882937, -14.937638, Draw
1418220950.702000, -8.982288, 0.879708, -13.044014, Draw
1418220950.785000, -9.119595, 0.917986, -11.275503, Draw
1418220950.868000, -8.990398, 0.956422, -10.998687, Draw
1418220950.952000, -8.833923, 0.952802, -12.402021, Draw
1418220951.035000, -8.978855, 0.916575, -14.138970, Draw
1418220951.118000, -9.445581, 0.895704, -14.500730, Draw
1418220951.201000, -9.846871, 0.916803, -12.965472, Draw
1418220951.284000, -9.794592, 0.954649, -10.637842, Draw
1418220951.367000, -9.365547, 0.965405, -9.293921, Draw
1418220951.699000, -9.043022, 0.937651, -10.008523, Draw
1418220951.949000, -9.172806, 0.899658, -12.449082, Draw
1418220952.032000, -9.585718, 0.881923, -15.170351, Draw
1418220952.115000, -9.842730, 0.886353, -16.596905, Draw
1418220952.198000, -9.781198, 0.894903, -16.124252, Draw
1418220952.281000, -9.668915, 0.896050, -14.634322, Draw
1418220952.364000, -9.784705, 0.891987, -13.848800, Draw
1418220952.447000, -9.986232, 0.884736, -14.778871, Draw
1418220952.530000, -9.847154, 0.868936, -16.635191, Draw
1418220952.614000, -9.215484, 0.843061, -17.520987, Draw
1418220952.697000, -8.489255, 0.818946, -16.484994, Draw
1418220952.780000, -8.232795, 0.811242, -14.748286, Draw
1418220952.863000, -8.567958, 0.819956, -14.485744, Draw
1418220952.946000, -9.065741, 0.831820, -16.291050, Draw
1418220953.029000, -9.269836, 0.839643, -18.272705, Draw
1418220953.112000, -9.220290, 0.851613, -18.106328, Draw
