Time(s),  X,  Y,  Z, Gesture
1418318374.969000, 0.238081, 0.568815, -0.142143, Brush Teeth
1418318375.052000, 0.342883, 0.867267, -1.603199, Brush Teeth
1418318375.218000, 0.430514, 1.000000, -2.162055, Brush Teeth
1418318375.301000, 0.510679, 0.970808, -1.548215, Brush Teeth
1418318375.384000, 0.576587, 0.863573, -0.699066, Brush Teeth
1418318375.470000, 0.593451, 0.732767, -0.649158, Brush Teeth
1418318375.550000, 0.536519, 0.557824, -1.363901, Brush Teeth
1418318375.633000, 0.441512, 0.307045, -1.873921, Brush Teeth
1418318375.716000, 0.399612, 0.024153, -1.488616, Brush Teeth
1418318375.965000, 0.481728, -0.175099, -0.603462, Brush Teeth
1418318376.048000, 0.661887, -0.202428, -0.176704, Brush Teeth
1418318376.131000, 0.826132, -0.086708, -0.583572, Brush Teeth
1418318376.214000, 0.870310, 0.044154, -1.242402, Brush Teeth
1418318376.298000, 0.793456, 0.073847, -1.384786, Brush Teeth
1418318376.381000, 0.692758, -0.006536, -0.960904, Brush Teeth
1418318376.464000, 0.666856, -0.103759, -0.612937, Brush Teeth
1418318376.547000, 0.727142, -0.114402, -0.858383, Brush Teeth
1418318376.634000, 0.801725, -0.014998, -1.526238, Brush Teeth
1418318376.921000, 0.815856, 0.123641, -2.047322, Brush Teeth
1418318377.045000, 0.759955, 0.198805, -2.119691, Brush Teeth
1418318377.128000, 0.684413, 0.156690, -1.930975, Brush Teeth
1418318377.211000, 0.643891, 0.029656, -1.802733, Brush Teeth
1418318377.294000, 0.655255, -0.091585, -1.820287, Brush Teeth
1418318377.377000, 0.699444, -0.124764, -1.872963, Brush Teeth
1418318377.460000, 0.745447, -0.051892, -1.903663, Brush Teeth
1418318377.543000, 0.766720, 0.074350, -1.959728, Brush Teeth
1418318377.626000, 0.748736, 0.174353, -2.035295, Brush Teeth
1418318377.709000, 0.698823, 0.199056, -2.025359, Brush Teeth
1418318377.792000, 0.650168, 0.157056, -1.894539, Brush Teeth
1418318377.875000, 0.641050, 0.095464, -1.781748, Brush Teeth
1418318377.958000, 0.677811, 0.057418, -1.831288, Brush Teeth
1418318378.041000, 0.722570, 0.054250, -1.969998, Brush Teeth
1418318378.125000, 0.730100, 0.071003, -1.976925, Brush Teeth
1418318378.208000, 0.699614, 0.092002, -1.783317, Brush Teeth
1418318378.291000, 0.679240, 0.118169, -1.575788, Brush Teeth
1418318378.374000, 0.710048, 0.159579, -1.522135, Brush Teeth
1418318378.457000, 0.771508, 0.211625, -1.493040, Brush Teeth
1418318378.540000, 0.796854, 0.240030, -1.214850, Brush Teeth
1418318378.625000, 0.747452, 0.195806, -0.704910, Brush Teeth
1418318378.706000, 0.661571, 0.056858, -0.389977, Brush Teeth
1418318378.789000, 0.617775, -0.136110, -0.660369, Brush Teeth
1418318378.872000, 0.652007, -0.288995, -1.362721, Brush Teeth
1418318378.955000, 0.722498, -0.317178, -1.885182, Brush Teeth
1418318379.038000, 0.760001, -0.217737, -1.789055, Brush Teeth
1418318379.121000, 0.741102, -0.083454, -1.264400, Brush Teeth
1418318379.204000, 0.700514, -0.032567, -0.899248, Brush Teeth
1418318379.287000, 0.678009, -0.107588, -1.069770, Brush Teeth
1418318379.370000, 0.674165, -0.236259, -1.640615, Brush Teeth
1418318379.453000, 0.668736, -0.297286, -2.193865, Brush Teeth
1418318379.541000, 0.667079, -0.233265, -2.385821, Brush Teeth
1418318379.619000, 0.701910, -0.103566, -2.060426, Brush Teeth
1418318379.702000, 0.780797, -0.026854, -1.233521, Brush Teeth
1418318379.785000, 0.850617, -0.071903, -0.191204, Brush Teeth
1418318380.869000, 0.838167, -0.204152, 0.460618, Brush Teeth
1418318381.031000, 0.730194, -0.333961, 0.159491, Brush Teeth
1418318381.123000, 0.597898, -0.407334, -0.989289, Brush Teeth
1418318381.197000, 0.530158, -0.442476, -2.076896, Brush Teeth
1418318381.280000, 0.548076, -0.481561, -2.165695, Brush Teeth
1418318381.363000, 0.596679, -0.521024, -1.292538, Brush Teeth
1418318381.446000, 0.617205, -0.503825, -0.517943, Brush Teeth
1418318381.529000, 0.609096, -0.385103, -0.799438, Brush Teeth
1418318381.612000, 0.610610, -0.199266, -1.896084, Brush Teeth
1418318381.695000, 0.632982, -0.051622, -2.611564, Brush Teeth
1418318381.778000, 0.639617, -0.035240, -2.161867, Brush Teeth
1418318381.862000, 0.598286, -0.151557, -1.083160, Brush Teeth
1418318381.944000, 0.535041, -0.311047, -0.600446, Brush Teeth
1418318382.027000, 0.513227, -0.411898, -1.214467, Brush Teeth
1418318382.110000, 0.557926, -0.420750, -2.195545, Brush Teeth
1418318382.193000, 0.620401, -0.383278, -2.541226, Brush Teeth
1418318382.276000, 0.631032, -0.365616, -2.165807, Brush Teeth
1418318382.359000, 0.578835, -0.392716, -1.866801, Brush Teeth
1418318382.442000, 0.520862, -0.441686, -2.197028, Brush Teeth
1418318382.525000, 0.511023, -0.481987, -2.732464, Brush Teeth
1418318382.608000, 0.537425, -0.505992, -2.660347, Brush Teeth
1418318382.691000, 0.545145, -0.515050, -1.890378, Brush Teeth
1418318382.940000, 0.513434, -0.488017, -1.233107, Brush Teeth
1418318383.023000, 0.488367, -0.384667, -1.408411, Brush Teeth
1418318383.106000, 0.528456, -0.192567, -2.149037, Brush Teeth
1418318383.189000, 0.629421, 0.035167, -2.532244, Brush Teeth
1418318383.272000, 0.719995, 0.205116, -2.110283, Brush Teeth
1418318383.355000, 0.734141, 0.258713, -1.424366, Brush Teeth
1418318383.438000, 0.675723, 0.224057, -1.293927, Brush Teeth
1418318383.521000, 0.606266, 0.189780, -1.800624, Brush Teeth
1418318383.604000, 0.579108, 0.226015, -2.214006, Brush Teeth
1418318383.687000, 0.597169, 0.329468, -1.898017, Brush Teeth
1418318383.771000, 0.629571, 0.438532, -1.063713, Brush Teeth
1418318383.854000, 0.650201, 0.491077, -0.504288, Brush Teeth
1418318383.937000, 0.650998, 0.465670, -0.706341, Brush Teeth
1418318384.020000, 0.632435, 0.381711, -1.386208, Brush Teeth
1418318384.103000, 0.603116, 0.280545, -1.873282, Brush Teeth
1418318384.186000, 0.590145, 0.211412, -1.779513, Brush Teeth
1418318384.269000, 0.627126, 0.216917, -1.236514, Brush Teeth
1418318384.352000, 0.711996, 0.307076, -0.631699, Brush Teeth
1418318384.684000, 0.784048, 0.440449, -0.279789, Brush Teeth
1418318384.767000, 0.768895, 0.545061, -0.306610, Brush Teeth
1418318384.850000, 0.660285, 0.573986, -0.650173, Brush Teeth
1418318384.933000, 0.544230, 0.541286, -1.073760, Brush Teeth
1418318385.016000, 0.520040, 0.495146, -1.292669, Brush Teeth
1418318385.265000, 0.594305, 0.457262, -1.241122, Brush Teeth
1418318385.348000, 0.670981, 0.403882, -1.190137, Brush Teeth
1418318385.431000, 0.660369, 0.316700, -1.445710, Brush Teeth
1418318385.514000, 0.588366, 0.239652, -1.879603, Brush Teeth
1418318385.597000, 0.575599, 0.257524, -1.910518, Brush Teeth
1418318385.686000, 0.700063, 0.401923, -1.124809, Brush Teeth
1418318385.763000, 0.894770, 0.588622, 0.102951, Brush Teeth
1418318386.436000, 1.000000, 0.672370, 0.788107, Brush Teeth
1418318386.511000, 0.919572, 0.578780, 0.256424, Brush Teeth
1418318386.677000, 0.715621, 0.379889, -1.154116, Brush Teeth
1418318386.760000, 0.545574, 0.231660, -2.393222, Brush Teeth
1418318386.843000, 0.514950, 0.234655, -2.679798, Brush Teeth
1418318386.926000, 0.598097, 0.355252, -2.120637, Brush Teeth
1418318387.009000, 0.690248, 0.474563, -1.409271, Brush Teeth
1418318387.092000, 0.714165, 0.500642, -1.092031, Brush Teeth
1418318387.175000, 0.669995, 0.430394, -1.226339, Brush Teeth
1418318387.258000, 0.603591, 0.319620, -1.611155, Brush Teeth
1418318387.341000, 0.555652, 0.217352, -2.089144, Brush Teeth
1418318387.424000, 0.546049, 0.138173, -2.540238, Brush Teeth
1418318387.507000, 0.582022, 0.083512, -2.770636, Brush Teeth
1418318387.590000, 0.654472, 0.065942, -2.637559, Brush Teeth
1418318387.673000, 0.726439, 0.099933, -2.279697, Brush Teeth
1418318387.922000, 0.749357, 0.173107, -2.027221, Brush Teeth
1418318388.005000, 0.709601, 0.238667, -1.977804, Brush Teeth
1418318388.088000, 0.653675, 0.246144, -1.794738, Brush Teeth
1418318388.171000, 0.648822, 0.185128, -1.116902, Brush Teeth
1418318388.254000, 0.710576, 0.099932, -0.156143, Brush Teeth
1418318388.337000, 0.778659, 0.056734, 0.326736, Brush Teeth
1418318388.420000, 0.776779, 0.087404, -0.204495, Brush Teeth
1418318388.503000, 0.696220, 0.159675, -1.387441, Brush Teeth
1418318388.587000, 0.610598, 0.205388, -2.236163, Brush Teeth
1418318388.670000, 0.602293, 0.185148, -2.132326, Brush Teeth
1418318388.753000, 0.678025, 0.126027, -1.425508, Brush Teeth
1418318388.839000, 0.762427, 0.089120, -0.968642, Brush Teeth
1418318388.919000, 0.773947, 0.097932, -1.152412, Brush Teeth
1418318389.002000, 0.703089, 0.109458, -1.550128, Brush Teeth
1418318389.085000, 0.617215, 0.068685, -1.511878, Brush Teeth
1418318389.168000, 0.594745, -0.012515, -0.938047, Brush Teeth
1418318389.251000, 0.656688, -0.052227, -0.344353, Brush Teeth
1418318389.334000, 0.755187, 0.010850, -0.244943, Brush Teeth
1418318389.417000, 0.819549, 0.134190, -0.639984, Brush Teeth
1418318389.500000, 0.813208, 0.203787, -1.136823, Brush Teeth
1418318389.583000, 0.755594, 0.158254, -1.421550, Brush Teeth
1418318389.666000, 0.697564, 0.062061, -1.482706, Brush Teeth
1418318389.750000, 0.675424, 0.034370, -1.442321, Brush Teeth
1418318389.833000, 0.683006, 0.111951, -1.352230, Brush Teeth
1418318389.916000, 0.685518, 0.210867, -1.226480, Brush Teeth
1418318389.999000, 0.661580, 0.235430, -1.154520, Brush Teeth
1418318390.082000, 0.630043, 0.199639, -1.238639, Brush Teeth
1418318390.165000, 0.629211, 0.207035, -1.426800, Brush Teeth
1418318390.248000, 0.666742, 0.312215, -1.525647, Brush Teeth
1418318390.331000, 0.698358, 0.441085, -1.431402, Brush Teeth
1418318390.414000, 0.670032, 0.476624, -1.271790, Brush Teeth
1418318390.497000, 0.585583, 0.405053, -1.240723, Brush Teeth
1418318390.580000, 0.520544, 0.334634, -1.334767, Brush Teeth
1418318390.666000, 0.552429, 0.359072, -1.359379, Brush Teeth
1418318390.746000, 0.673220, 0.439215, -1.211743, Brush Teeth
1418318390.830000, 0.782398, 0.457189, -1.052787, Brush Teeth
1418318390.913000, 0.779443, 0.374173, -1.114522, Brush Teeth
1418318390.996000, 0.664238, 0.283722, -1.388637, Brush Teeth
1418318391.079000, 0.538559, 0.284648, -1.622898, Brush Teeth
1418318391.162000, 0.505523, 0.336987, -1.646977, Brush Teeth
1418318391.245000, 0.573244, 0.297863, -1.597051, Brush Teeth
1418318391.328000, 0.661166, 0.106044, -1.730146, Brush Teeth
1418318392.118000, 0.692865, -0.117387, -2.065768, Brush Teeth
1418318392.409000, 0.669052, -0.192786, -2.332443, Brush Teeth
1418318392.490000, 0.647359, -0.089985, -2.301234, Brush Teeth
1418318392.573000, 0.665413, 0.034289, -2.078534, Brush Teeth
1418318392.656000, 0.700829, 0.020225, -1.980671, Brush Teeth
1418318392.739000, 0.707294, -0.111871, -2.152067, Brush Teeth
1418318392.822000, 0.674127, -0.199522, -2.406847, Brush Teeth
1418318392.905000, 0.636853, -0.143771, -2.471465, Brush Teeth
1418318392.988000, 0.632580, -0.026320, -2.302741, Brush Teeth
1418318393.071000, 0.658846, -0.000420, -2.100868, Brush Teeth
1418318393.154000, 0.682688, -0.101139, -2.053522, Brush Teeth
1418318393.237000, 0.682075, -0.210972, -2.155790, Brush Teeth
1418318393.320000, 0.667411, -0.210883, -2.281801, Brush Teeth
1418318393.408000, 0.662515, -0.116731, -2.338307, Brush Teeth
1418318393.486000, 0.674805, -0.035662, -2.293958, Brush Teeth
1418318393.569000, 0.690906, -0.016840, -2.133759, Brush Teeth
1418318393.652000, 0.696545, 0.000652, -1.897644, Brush Teeth
1418318393.735000, 0.691321, 0.080479, -1.755233, Brush Teeth
1418318393.818000, 0.682536, 0.174886, -1.906648, Brush Teeth
1418318393.901000, 0.672712, 0.163945, -2.312986, Brush Teeth
1418318393.984000, 0.660241, 0.005897, -2.593230, Brush Teeth
1418318394.067000, 0.649394, -0.189567, -2.341879, Brush Teeth
1418318394.150000, 0.650651, -0.258934, -1.607299, Brush Teeth
1418318394.400000, 0.666776, -0.140850, -0.964912, Brush Teeth
1418318394.483000, 0.683113, 0.081435, -1.002803, Brush Teeth
1418318394.566000, 0.678702, 0.277956, -1.724453, Brush Teeth
1418318394.649000, 0.648544, 0.383738, -2.522582, Brush Teeth
1418318394.732000, 0.610892, 0.415187, -2.761140, Brush Teeth
1418318394.815000, 0.589117, 0.414713, -2.336539, Brush Teeth
1418318394.898000, 0.587500, 0.411166, -1.658831, Brush Teeth
1418318394.981000, 0.588026, 0.421856, -1.177157, Brush Teeth
1418318395.064000, 0.571787, 0.453506, -1.025360, Brush Teeth
1418318395.147000, 0.541180, 0.485252, -1.094352, Brush Teeth
1418318395.230000, 0.518554, 0.475616, -1.283152, Brush Teeth
1418318395.313000, 0.522710, 0.413939, -1.559973, Brush Teeth
1418318395.396000, 0.548240, 0.355768, -1.840635, Brush Teeth
1418318395.479000, 0.569794, 0.374330, -1.970360, Brush Teeth
1418318395.562000, 0.567963, 0.466550, -1.895338, Brush Teeth
1418318395.645000, 0.550991, 0.534408, -1.768815, Brush Teeth
1418318395.728000, 0.548912, 0.487222, -1.785186, Brush Teeth
1418318395.811000, 0.582866, 0.352754, -1.924899, Brush Teeth
1418318395.894000, 0.638612, 0.253968, -1.959694, Brush Teeth
1418318395.977000, 0.673378, 0.266410, -1.742246, Brush Teeth
1418318396.060000, 0.654637, 0.327824, -1.413069, Brush Teeth
1418318396.143000, 0.595051, 0.317237, -1.245602, Brush Teeth
1418318396.226000, 0.546204, 0.210224, -1.320258, Brush Teeth
1418318396.392000, 0.552569, 0.115643, -1.445499, Brush Teeth
1418318396.475000, 0.609902, 0.143491, -1.421476, Brush Teeth
1418318396.558000, 0.671209, 0.266167, -1.298101, Brush Teeth
1418318396.641000, 0.694701, 0.345749, -1.299781, Brush Teeth
1418318396.724000, 0.682543, 0.293315, -1.531755, Brush Teeth
1418318396.807000, 0.669521, 0.165028, -1.852173, Brush Teeth
1418318396.890000, 0.677806, 0.085105, -2.051012, Brush Teeth
1418318396.973000, 0.692461, 0.101960, -2.075868, Brush Teeth
1418318397.056000, 0.685805, 0.154036, -2.021947, Brush Teeth
1418318398.868000, 0.658021, 0.168058, -1.951321, Brush Teeth
1418318398.966000, 0.640761, 0.146278, -1.822848, Brush Teeth
1418318399.132000, 0.657055, 0.133582, -1.618994, Brush Teeth
1418318399.464000, 0.687863, 0.128504, -1.457446, Brush Teeth
1418318399.547000, 0.690638, 0.074055, -1.501806, Brush Teeth
1418318399.630000, 0.651145, -0.055740, -1.779050, Brush Teeth
1418318399.713000, 0.605288, -0.196651, -2.140780, Brush Teeth
1418318399.796000, 0.600811, -0.250958, -2.401283, Brush Teeth
1418318399.879000, 0.641901, -0.190914, -2.465502, Brush Teeth
1418318399.962000, 0.682999, -0.077099, -2.333601, Brush Teeth
1418318400.045000, 0.680440, 0.024068, -2.077954, Brush Teeth
1418318400.128000, 0.640913, 0.107037, -1.875226, Brush Teeth
1418318400.211000, 0.609698, 0.194064, -1.969857, Brush Teeth
1418318400.294000, 0.615002, 0.265285, -2.445301, Brush Teeth
1418318400.377000, 0.637429, 0.266480, -3.002498, Brush Teeth
1418318400.460000, 0.640576, 0.191511, -3.125145, Brush Teeth
1418318400.543000, 0.621382, 0.117050, -2.628267, Brush Teeth
1418318400.628000, 0.613736, 0.122154, -2.003534, Brush Teeth
1418318400.709000, 0.638372, 0.187558, -2.021234, Brush Teeth
1418318400.792000, 0.662773, 0.212743, -2.879291, Brush Teeth
1418318400.875000, 0.627748, 0.139918, -3.861700, Brush Teeth
1418318400.958000, 0.517795, 0.026323, -4.024981, Brush Teeth
1418318401.041000, 0.394939, -0.034400, -3.233520, Brush Teeth
1418318401.125000, 0.350978, -0.041879, -2.343858, Brush Teeth
1418318401.208000, 0.422701, -0.094368, -2.252013, Brush Teeth
1418318401.293000, 0.556778, -0.252754, -2.869951, Brush Teeth
1418318401.374000, 0.658900, -0.437570, -3.237260, Brush Teeth
1418318401.457000, 0.675040, -0.502647, -2.653105, Brush Teeth
1418318401.540000, 0.625885, -0.405813, -1.493450, Brush Teeth
1418318401.623000, 0.571070, -0.266479, -0.756029, Brush Teeth
1418318401.706000, 0.550795, -0.234302, -0.906708, Brush Teeth
1418318401.789000, 0.563674, -0.325304, -1.415383, Brush Teeth
1418318401.872000, 0.589769, -0.418837, -1.486322, Brush Teeth
1418318401.955000, 0.620028, -0.407805, -1.029851, Brush Teeth
1418318402.038000, 0.657713, -0.313354, -0.692376, Brush Teeth
1418318402.121000, 0.698778, -0.235847, -0.986473, Brush Teeth
1418318402.205000, 0.723279, -0.224404, -1.658623, Brush Teeth
1418318402.288000, 0.712362, -0.234553, -2.050511, Brush Teeth
1418318402.371000, 0.671182, -0.210809, -1.916896, Brush Teeth
1418318402.454000, 0.629360, -0.167838, -1.639225, Brush Teeth
1418318402.541000, 0.616053, -0.161651, -1.631876, Brush Teeth
1418318402.620000, 0.635103, -0.200232, -1.793768, Brush Teeth
1418318402.703000, 0.664964, -0.221250, -1.735693, Brush Teeth
1418318402.786000, 0.680841, -0.166318, -1.430637, Brush Teeth
1418318402.869000, 0.674672, -0.050711, -1.357061, Brush Teeth
1418318402.952000, 0.655168, 0.059402, -1.891882, Brush Teeth
1418318403.035000, 0.634545, 0.122960, -2.734894, Brush Teeth
1418318403.119000, 0.620673, 0.152329, -3.148040, Brush Teeth
1418318403.201000, 0.620663, 0.172189, -2.762473, Brush Teeth
1418318403.284000, 0.643146, 0.183508, -1.977935, Brush Teeth
1418318403.367000, 0.688385, 0.183783, -1.481417, Brush Teeth
1418318403.455000, 0.736654, 0.196787, -1.489130, Brush Teeth
1418318403.533000, 0.756514, 0.246448, -1.609959, Brush Teeth
1418318403.616000, 0.734745, 0.302930, -1.420501, Brush Teeth
