Time(s),  X,  Y,  Z, Gesture
1418317782.451000, -0.250416, 0.147713, -2.840012, Inactive
1418317782.535000, -0.379572, 0.201960, -4.119104, Inactive
1418317782.698000, -0.413840, 0.209428, -4.497595, Inactive
1418317782.864000, -0.373503, 0.193505, -4.191318, Inactive
1418317782.950000, -0.332922, 0.184797, -3.843066, Inactive
1418317783.032000, -0.336325, 0.190650, -3.857472, Inactive
1418317783.114000, -0.360339, 0.199389, -4.096746, Inactive
1418317783.196000, -0.360386, 0.202974, -4.189590, Inactive
1418317783.279000, -0.334194, 0.203085, -4.018766, Inactive
1418317783.362000, -0.321838, 0.199533, -3.828961, Inactive
1418317783.445000, -0.348776, 0.191537, -3.897821, Inactive
1418317783.528000, -0.388877, 0.200386, -4.192145, Inactive
1418317783.778000, -0.390760, 0.276169, -4.370221, Inactive
1418317783.861000, -0.326475, 0.455487, -4.069573, Raise Hand
1418317783.944000, -0.201378, 0.701338, -3.172441, Raise Hand
1418317784.027000, -0.027274, 0.899656, -1.868032, Raise Hand
1418317784.110000, 0.188594, 0.939221, -0.553942, Raise Hand
1418317784.193000, 0.420031, 0.806132, 0.335630, Raise Hand
1418317784.276000, 0.609856, 0.595882, 0.542639, Raise Hand
1418317784.359000, 0.709562, 0.428633, 0.161226, Raise Hand
1418317784.442000, 0.734175, 0.355386, -0.390004, Raise Hand
1418317784.525000, 0.756696, 0.345555, -0.664311, Raise Hand
1418317784.608000, 0.832117, 0.349566, -0.532130, Raise Hand
1418317784.691000, 0.934777, 0.352100, -0.236250, Raise Hand
1418317784.774000, 0.987595, 0.361470, -0.093988, Raise Hand
1418317784.857000, 0.952516, 0.370118, -0.181062, Lower Hand
1418317784.940000, 0.872967, 0.352473, -0.355203, Lower Hand
1418317785.023000, 0.815183, 0.304877, -0.559423, Lower Hand
1418317785.106000, 0.780112, 0.266615, -0.990025, Lower Hand
1418317785.189000, 0.695207, 0.282134, -1.880867, Lower Hand
1418317785.272000, 0.498125, 0.345009, -3.149940, Lower Hand
1418317785.356000, 0.213749, 0.395898, -4.353486, Lower Hand
1418317785.439000, -0.062565, 0.383991, -5.036221, Lower Hand
1418317785.522000, -0.249711, 0.322056, -5.097229, Lower Hand
