Time(s),  X,  Y,  Z, Gesture
1418317865.988000, 0.173623, 0.371271, -0.922898, Inactive
1418317866.072000, 0.092583, 0.501826, -1.472715, Inactive
1418317866.238000, -0.111762, 0.513714, -1.583404, Inactive
1418317866.321000, -0.331480, 0.451122, -1.324141, Inactive
1418317866.404000, -0.452737, 0.398121, -1.058560, Inactive
1418317866.495000, -0.444472, 0.395683, -1.062447, Inactive
1418317866.572000, -0.366053, 0.418287, -1.276302, Inactive
1418317866.653000, -0.300558, 0.423252, -1.442177, Inactive
1418317866.736000, -0.287037, 0.404275, -1.423744, Inactive
1418317866.819000, -0.308744, 0.387962, -1.325095, Inactive
1418317866.902000, -0.329151, 0.390277, -1.306552, Inactive
1418317866.989000, -0.329293, 0.396506, -1.370268, Inactive
1418317867.074000, -0.316623, 0.388910, -1.390938, Inactive
1418317867.151000, -0.310676, 0.378700, -1.322892, Inactive
1418317867.234000, -0.323907, 0.394154, -1.284348, Inactive
1418317867.317000, -0.348497, 0.438880, -1.394992, Inactive
1418317867.408000, -0.354778, 0.478748, -1.581731, Raise Hand
1418317867.484000, -0.307088, 0.481439, -1.620478, Raise Hand
1418317867.566000, -0.192441, 0.462291, -1.380461, Raise Hand
1418317867.650000, -0.038271, 0.475799, -0.975230, Raise Hand
1418317867.736000, 0.104536, 0.555542, -0.639182, Raise Hand
1418317867.816000, 0.204948, 0.669197, -0.487640, Raise Hand
1418317867.899000, 0.279822, 0.740972, -0.446956, Raise Hand
1418317867.982000, 0.374307, 0.718482, -0.407240, Raise Hand
1418317868.231000, 0.511444, 0.614430, -0.371463, Raise Hand
1418317868.314000, 0.662779, 0.486439, -0.409408, Raise Hand
1418317868.397000, 0.770211, 0.385910, -0.507653, Raise Hand
1418317868.480000, 0.794793, 0.329800, -0.549211, Raise Hand
1418317868.563000, 0.743269, 0.310706, -0.469938, Comb Hair
1418317868.646000, 0.653371, 0.316571, -0.380245, Comb Hair
1418317868.729000, 0.563687, 0.333355, -0.464845, Comb Hair
1418317868.812000, 0.500304, 0.338340, -0.758702, Comb Hair
1418317868.978000, 0.480756, 0.307243, -1.072712, Comb Hair
1418317869.066000, 0.513418, 0.236260, -1.173669, Comb Hair
1418317869.146000, 0.585770, 0.153367, -1.018148, Comb Hair
1418317869.227000, 0.661416, 0.098717, -0.779004, Comb Hair
1418317869.310000, 0.701863, 0.086291, -0.652905, Comb Hair
1418317869.393000, 0.697169, 0.081640, -0.679889, Comb Hair
1418317869.476000, 0.672830, 0.020506, -0.756396, Comb Hair
1418317869.559000, 0.663966, -0.139076, -0.777388, Comb Hair
1418317869.643000, 0.683856, -0.367072, -0.721935, Comb Hair
1418317869.725000, 0.717773, -0.556007, -0.620193, Comb Hair
1418317869.808000, 0.742020, -0.578071, -0.502795, Comb Hair
1418317869.891000, 0.742705, -0.376863, -0.414539, Comb Hair
