Time(s),  X,  Y,  Z, Gesture
1418318006.952000, 0.456547, 0.251051, -6.438712, Draw
1418318007.033000, 0.664716, 0.345882, -8.862925, Draw
1418318007.187000, 0.729993, 0.398756, -9.362823, Draw
1418318007.270000, 0.668198, 0.390143, -9.062401, Draw
1418318007.353000, 0.570535, 0.316674, -9.292954, Draw
1418318007.436000, 0.521573, 0.213309, -10.100148, Draw
1418318007.519000, 0.538687, 0.137015, -10.528820, Draw
1418318007.602000, 0.580360, 0.112907, -10.071665, Draw
1418318007.685000, 0.602391, 0.105894, -9.321328, Draw
1418318007.768000, 0.601166, 0.065661, -9.099120, Draw
1418318007.851000, 0.605437, 0.003615, -9.360298, Draw
1418318007.934000, 0.634413, 0.007281, -9.327693, Draw
1418318008.020000, 0.672082, 0.159274, -8.549459, Draw
1418318008.100000, 0.684248, 0.441151, -7.389954, Draw
1418318008.189000, 0.654216, 0.730632, -6.391656, Draw
1418318008.267000, 0.593395, 0.902900, -5.572345, Draw
1418318008.350000, 0.517608, 0.932771, -4.725484, Draw
1418318008.433000, 0.426564, 0.895661, -4.200174, Draw
1418318008.516000, 0.321432, 0.877236, -4.779580, Draw
1418318008.599000, 0.240707, 0.894259, -6.507701, Draw
1418318008.682000, 0.255615, 0.902946, -8.018912, Draw
1418318008.765000, 0.403547, 0.868027, -7.626703, Draw
1418318008.848000, 0.620184, 0.807322, -5.232684, Draw
1418318008.931000, 0.757894, 0.768631, -2.798037, Draw
1418318009.014000, 0.699550, 0.775742, -2.563460, Draw
1418318009.097000, 0.467671, 0.806031, -4.828114, Draw
1418318009.180000, 0.215437, 0.817357, -7.709487, Draw
1418318009.263000, 0.098049, 0.788750, -9.098796, Draw
1418318009.350000, 0.145830, 0.734009, -8.617056, Draw
1418318009.429000, 0.259032, 0.682741, -7.565588, Draw
1418318009.512000, 0.318368, 0.653824, -7.254518, Draw
1418318009.595000, 0.292278, 0.645349, -7.754585, Draw
1418318009.680000, 0.240583, 0.644233, -8.266339, Draw
1418318009.761000, 0.232270, 0.641983, -8.282903, Draw
1418318009.927000, 0.276383, 0.641586, -8.042699, Draw
1418318010.010000, 0.329802, 0.650850, -7.960373, Draw
1418318010.093000, 0.352770, 0.670651, -8.012460, Draw
1418318010.176000, 0.343140, 0.691740, -7.871624, Draw
1418318010.259000, 0.323568, 0.704478, -7.452292, Draw
1418318010.342000, 0.312914, 0.709934, -7.057707, Draw
1418318010.425000, 0.316535, 0.717244, -6.985364, Draw
1418318010.508000, 0.333244, 0.728882, -7.185017, Draw
1418318010.591000, 0.358253, 0.733493, -7.393763, Draw
1418318010.674000, 0.379460, 0.719260, -7.477860, Draw
1418318010.759000, 0.381853, 0.693465, -7.506080, Draw
1418318010.840000, 0.362233, 0.681045, -7.546966, Draw
1418318010.927000, 0.335879, 0.698260, -7.554796, Draw
1418318011.006000, 0.323448, 0.731240, -7.483281, Draw
1418318011.089000, 0.332700, 0.747959, -7.381856, Draw
1418318011.172000, 0.356003, 0.732673, -7.301919, Draw
1418318011.255000, 0.381294, 0.702409, -7.204578, Draw
1418318011.338000, 0.397610, 0.685700, -7.077190, Draw
1418318011.421000, 0.392813, 0.690567, -7.069349, Draw
1418318011.505000, 0.362542, 0.701769, -7.311519, Draw
1418318011.587000, 0.333281, 0.708802, -7.535962, Draw
1418318011.670000, 0.364718, 0.726002, -7.070441, Draw
1418318011.753000, 0.501115, 0.776882, -5.453464, Draw
1418318055.970000, 0.705807, 0.861758, -3.092889, Draw
1418318056.053000, 0.860826, 0.948684, -1.153081, Draw
1418318056.136000, 0.862670, 0.996759, -0.658166, Draw
1418318056.219000, 0.730680, 0.981707, -1.715118, Draw
1418318056.305000, 0.603461, 0.898103, -3.628443, Draw
1418318056.386000, 0.604990, 0.749219, -5.645172, Draw
1418318056.469000, 0.712236, 0.548955, -7.433780, Draw
1418318056.552000, 0.771809, 0.332544, -8.910220, Draw
1418318056.635000, 0.657752, 0.148874, -9.911729, Draw
1418318056.718000, 0.404181, 0.028823, -10.286555, Draw
1418318056.801000, 0.170209, -0.036591, -10.218207, Draw
1418318056.967000, 0.079231, -0.077872, -10.177207, Draw
1418318057.133000, 0.109542, -0.108344, -10.426837, Draw
1418318057.216000, 0.145557, -0.114834, -10.723654, Draw
1418318057.299000, 0.114261, -0.090186, -10.670234, Draw
1418318057.382000, 0.047523, -0.061005, -10.288189, Draw
1418318057.466000, 0.015499, -0.065963, -10.029589, Draw
1418318057.549000, 0.030992, -0.107242, -10.183980, Draw
1418318057.632000, 0.043231, -0.141122, -10.484418, Draw
1418318057.715000, 0.014935, -0.128366, -10.475173, Draw
1418318057.805000, -0.025756, -0.084709, -10.157338, Draw
