Average X, Average Y, Average Z, Number of Peaks X, Number of Peaks Y, Number of Peaks Z, Average Slope X, Average Slope Y, Average Slope Z, Average XY, Average XZ, Average YZ , Activity
-516,835.2,364,3,5,3,47.0915115,1.984709307,25.92038157,-1351.2,-880,471.2,Inactive
-530.4,837.6,360.8,5,4,3,-66.23599149,-19.97784065,-56.62489332,-1368,-891.2,476.8,Inactive
1.6,836,4,1,4,8,1857.050697,-427.6105619,-1190.293413,-834.4,-2.4,832,Raise Arm
764,309.6,-450.4,5,4,5,330.0372717,138.5954197,-178.0014933,454.4,1214.4,760,Brush Teeth
770.4,53.6,-561.6,4,5,4,-343.752404,270.6742032,-962.2954345,716.8,1332,615.2,Brush Teeth
783.2,217.6,-549.6,5,5,4,54.35605119,-788.8899803,-182.2343285,565.6,1332.8,767.2,Brush Teeth
720.8,24.8,-648,3,5,5,184.7329329,387.0387106,548.5935908,696,1368.8,672.8,Brush Teeth
743.2,-43.2,-664,4,3,3,182.6954659,496.3318587,810.8582571,786.4,1407.2,620.8,Brush Teeth
699.2,312,-643.2,5,5,4,53.31717458,-91.89500262,-0.806086028,387.2,1342.4,955.2,Brush Teeth
729.6,132,-648,6,4,5,-185.4056652,-66.3148613,-320.2048678,597.6,1377.6,780,Brush Teeth
691.2,116,-661.6,5,4,4,-336.8591127,76.95028081,-446.8952015,575.2,1352.8,777.6,Brush Teeth
700.8,-15.2,-670.4,4,5,6,-327.6165255,-291.0976425,-416.8913268,716,1371.2,655.2,Brush Teeth
712,276.8,-626.4,5,3,3,-135.0341703,629.181848,468.3607381,435.2,1338.4,903.2,Brush Teeth
716,325.6,-617.6,5,5,4,-422.660958,-880.3407764,-715.1979919,390.4,1333.6,943.2,Brush Teeth
686.4,187.2,-694.4,5,4,5,53.08636874,-272.6463176,-207.0610689,499.2,1380.8,881.6,Brush Teeth
723.2,111.2,-651.2,3,4,5,96.29433559,692.7053736,576.4872805,612,1374.4,762.4,Brush Teeth
752,354.4,-510.4,4,5,4,112.4498542,131.9563854,-382.0948077,397.6,1262.4,864.8,Brush Teeth
729.6,292,-598.4,5,4,5,251.2815163,263.2345333,153.0596985,437.6,1328,890.4,Brush Teeth
724.8,-252.8,-594.4,4,5,5,288.2565148,-503.0742941,-56.86636569,977.6,1319.2,341.6,Brush Teeth
764,-162.4,-556.8,5,3,5,-235.4157958,-408.8835096,-749.3462994,926.4,1320.8,394.4,Brush Teeth
638.4,-91.2,-782.4,5,6,4,26.56849385,-293.0342215,-171.1292341,729.6,1420.8,691.2,Brush Teeth
746.4,-125.6,-664,5,4,5,229.9444792,-141.1254528,588.1866264,872,1410.4,538.4,Brush Teeth
725.6,178.4,-531.2,3,4,4,117.5818927,592.9798505,297.2101533,547.2,1256.8,709.6,Brush Teeth
671.2,124.8,-696.8,5,4,4,-149.4075628,-423.6238646,-130.9975851,546.4,1368,821.6,Brush Teeth
652,-64.8,-711.2,5,4,5,-108.2072641,-611.394371,200.2842647,716.8,1363.2,646.4,Brush Teeth
692.8,-14.4,-633.6,5,6,4,-408.6560345,117.9065277,-217.9261749,707.2,1326.4,619.2,Brush Teeth
780,77.6,-641.6,5,4,5,34.49290727,89.34344559,-505.8249105,702.4,1421.6,719.2,Brush Teeth
712,123.2,-695.2,5,5,6,-472.3878211,279.4284515,-429.1615503,588.8,1407.2,818.4,Brush Teeth
632,-8,-708.8,4,6,4,-143.800479,-1665.527847,-186.3540117,640,1340.8,700.8,Brush Teeth
704.8,-143.2,-693.6,4,5,5,-390.6142009,-206.6905137,97.94297864,848,1398.4,550.4,Brush Teeth
720.8,157.6,-672,5,6,4,-67.15588116,374.4084212,-616.0522225,563.2,1392.8,829.6,Brush Teeth
702.4,53.6,-670.4,3,4,4,115.7949273,133.2853799,-219.6441498,648.8,1372.8,724,Brush Teeth
528,200.8,-421.6,6,4,3,-857.9069044,4.688320855,319.2116726,327.2,949.6,622.4,Lower Arm
-426.4,920.8,460.8,6,5,4,-496.3741975,-118.0360509,149.5033428,-1347.2,-887.2,460,Inactive
-456,872,624,1,0,0,-60.31744936,115.3438944,82.53966755,-1328,-1080,248,Inactive
-579.2,772.8,385.6,5,5,2,-43.35590241,26.58388749,59.81501668,-1352,-964.8,387.2,Inactive
-232,848.8,197.6,2,3,5,1778.416173,-525.4025206,-879.5818138,-1080.8,-429.6,651.2,Brush Teeth
788,244.8,-513.6,4,5,4,54.28473961,-631.9557993,108.6990501,543.2,1301.6,758.4,Brush Teeth
780,146.4,-576.8,4,5,5,-578.3105621,0.001384341,-1081.651065,633.6,1356.8,723.2,Brush Teeth
857.6,170.4,-548,4,5,6,-627.4869759,-892.4637995,-1464.406181,687.2,1405.6,718.4,Brush Teeth
792.8,0.8,-528,3,4,5,379.7467292,46.80874334,272.1748796,792,1320.8,528.8,Brush Teeth
758.4,178.4,-565.6,4,4,3,104.8025224,420.7321598,572.963704,580,1324,744,Brush Teeth
768.8,277.6,-535.2,5,4,3,529.2131829,-29.17192073,522.0052861,491.2,1304,812.8,Brush Teeth
795.2,38.4,-589.6,5,3,3,524.7679251,74.96676734,471.2203967,756.8,1384.8,628,Brush Teeth
772.8,257.6,-488,6,4,4,-180.657742,320.267079,-288.3853814,515.2,1260.8,745.6,Brush Teeth
856,292.8,-359.2,5,6,4,-291.8328109,-646.5846584,-1350.730887,563.2,1215.2,652,Brush Teeth
855.2,-123.2,-465.6,4,3,5,195.7582013,658.4727854,302.7624995,978.4,1320.8,342.4,Brush Teeth
797.6,151.2,-529.6,4,3,5,-117.8059221,524.7641105,286.4769898,646.4,1327.2,680.8,Brush Teeth
822.4,343.2,-306.4,5,5,5,-58.91411699,79.51855272,982.5868552,479.2,1128.8,649.6,Brush Teeth
836.8,300.8,-364.8,3,4,2,-21.41791617,53.55042008,1028.111474,536,1201.6,665.6,Brush Teeth
859.2,212.8,-475.2,4,5,4,22.05623037,-265.9532705,183.5920571,646.4,1334.4,688,Brush Teeth
868,105.6,-463.2,4,4,4,171.0422616,532.6504305,582.8764836,762.4,1331.2,568.8,Brush Teeth
863.2,165.6,-458.4,6,4,4,-74.96735184,182.0605627,-149.9339961,697.6,1321.6,624,Brush Teeth
875.2,148,-404.8,4,5,3,-64.31169332,-104.6972364,-407.5107023,727.2,1280,552.8,Brush Teeth
881.6,61.6,-485.6,5,5,5,195.4493699,602.9211875,368.4580471,820,1367.2,547.2,Brush Teeth
896.8,89.6,-380.8,4,4,5,25.40837278,749.0491859,-32.18240413,807.2,1277.6,470.4,Brush Teeth
855.2,144.8,-436,5,4,5,-36.28772611,488.4253761,173.4671251,710.4,1291.2,580.8,Brush Teeth
813.6,392.8,-307.2,4,4,3,276.1487584,-93.17303656,245.0547949,420.8,1120.8,700,Brush Teeth
804.8,126.4,-542.4,4,6,4,75.34026538,-443.1602395,-177.9673424,678.4,1347.2,668.8,Brush Teeth
749.6,134.4,-608.8,5,5,3,286.60807,517.119155,877.0336799,615.2,1358.4,743.2,Brush Teeth
744.8,154.4,-652.8,5,5,5,85.67480253,-321.2858469,267.7351499,590.4,1397.6,807.2,Brush Teeth
729.6,90.4,-661.6,5,5,5,-96.38603709,-621.1524548,-492.6382514,639.2,1391.2,752,Brush Teeth
758,90,-679,3,2,4,51.81755234,-110.6885451,-83.66060176,668,1437,769,Brush Teeth
-947.2,529.6,217.6,4,4,5,190.8330662,803.0383779,900.5612405,-1476.8,-1164.8,312,Raise Arm
288,627.2,-62.4,1,5,8,1710.11068,-1392.204674,-1530.445544,-339.2,350.4,689.6,Scratch Chin
800,460.8,-364,4,4,5,-9.296962088,7.737055167,-70.784126,339.2,1164,824.8,Scratch Chin
822.4,464,-127.2,5,3,5,-69.14645587,158.4095618,505.22543,358.4,949.6,591.2,Scratch Chin
-509.6,500.8,32,7,4,5,-2328.807325,-86.69692355,-20.01712578,-1010.4,-541.6,468.8,Scratch Chin
-944,328,136,1,0,0,-140.2258048,48.7225254,20.20202273,-1272,-1080,192,Scratch Chin
-817.6,236,-11.2,6,4,3,-1357.16898,406.1214409,843.4003808,-1053.6,-806.4,247.2,Inactive
-142.4,566.4,24,0,5,7,3086.217243,-598.9734458,-1491.977359,-708.8,-166.4,542.4,Raise Arm
855.2,404.8,-209.6,4,4,4,10.70963488,74.96664428,7.38E-04,450.4,1064.8,614.4,Scratch Chin
851.2,418.4,-116,6,4,3,-32.00108109,-170.2048536,162.6820704,432.8,967.2,534.4,Scratch Chin
867.2,456,35.2,4,3,5,-129.5103037,-148.6879389,-767.4733192,411.2,832,420.8,Scratch Chin
788,468,-112,0,0,1,218.9496644,126.1340502,254.6476554,320,900,580,Scratch Chin
-490.4,763.2,-274.4,3,4,1,506.1746018,624.2445513,781.0378395,-1253.6,-216,1037.6,Drawing
-413.6,914.4,-197.6,4,4,5,-120.0710157,-169.3801798,-168.933625,-1328,-216,1112,Drawing
-447.2,909.6,-136.8,5,4,4,-74.71124332,64.25802459,252.4417104,-1356.8,-310.4,1046.4,Drawing
-456.8,900,-239.2,4,4,5,-10.70914266,32.12893539,246.3185873,-1356.8,-217.6,1139.2,Drawing
-443.2,926.4,-204.8,4,5,5,-1.533046639,-65.43144039,-309.161304,-1369.6,-238.4,1131.2,Drawing
-430.4,931.2,-233.6,5,4,4,-52.02019713,-127.0042657,-205.0234497,-1361.6,-196.8,1164.8,Drawing
-368.8,947.2,-64,5,3,5,8.248229782,86.16817256,-24.17143149,-1316,-304.8,1011.2,Drawing
-342.4,972.8,12,4,4,4,55.07774123,-51.76234664,175.9409725,-1315.2,-354.4,960.8,Drawing
-358.4,961.6,-32,4,5,4,102.9401932,-97.44511589,197.5611648,-1320,-326.4,993.6,Drawing
-351.2,966.4,64,5,5,5,52.72973322,5.527721469,-57.47457236,-1317.6,-415.2,902.4,Drawing
-334.4,981.6,58.4,5,3,5,26.48401077,155.6069717,-208.910939,-1316,-392.8,923.2,Drawing
-366.4,992.8,119.2,4,5,4,-81.65984595,-41.49939004,77.64309742,-1359.2,-485.6,873.6,Drawing
-508,770,-282,4,3,4,-418.1932768,-202.1310544,-592.5491556,-1278,-226,1052,Drawing
-335.2,880,-419.2,4,5,5,-7.591110196,-145.4449253,-402.885781,-1215.2,84,1299.2,Drawing
-344,879.2,-420,3,4,3,-39.40728809,-43.13317485,44.18908172,-1223.2,76,1299.2,Drawing
-332,871.2,-440.8,3,4,4,16.49801253,213.6475128,597.2249285,-1203.2,108.8,1312,Drawing
-347.2,859.2,-448,4,5,5,53.54725148,-74.9667981,-64.25790154,-1206.4,100.8,1307.2,Drawing
-330.4,896.8,-376,4,4,5,-20.91207283,-119.7394961,-292.6564454,-1227.2,45.6,1272.8,Drawing
-314.4,883.2,-380.8,5,5,4,-32.37464965,120.7926664,-28.48559193,-1197.6,66.4,1264,Drawing
-338.4,884.8,-448.8,3,4,4,-21.14753878,-65.47374956,153.0291126,-1223.2,110.4,1333.6,Drawing
-328.8,893.6,-385.6,4,5,5,-45.76560512,53.04325069,0.650345875,-1222.4,56.8,1279.2,Drawing
-354.4,894.4,-382.4,5,6,4,-21.81391574,-202.8553049,-158.471121,-1248.8,28,1276.8,Drawing
-340,875.2,-428.8,5,5,4,38.47938318,-134.7483067,-71.83772599,-1215.2,88.8,1304,Drawing
-339.2,911.2,-401.6,5,4,5,-54.95635356,69.77024571,132.8572032,-1250.4,62.4,1312.8,Drawing
-353.6,929.6,-364.8,3,2,2,-19.0390687,241.5587116,556.8944063,-1283.2,11.2,1294.4,Drawing
-421.6,859.2,-425.6,5,2,4,-37.29306167,-1.369781232,65.21928515,-1280.8,4,1284.8,Drawing
-408.8,804,-497.6,4,4,6,-6.650895466,-129.5303318,-352.2482421,-1212.8,88.8,1301.6,Drawing
-428.8,792,-504.8,5,4,4,85.67618687,-117.8039225,-331.9943128,-1220.8,76,1296.8,Drawing
-397.6,744,-511.2,5,5,4,48.66319583,21.92896052,508.9342083,-1141.6,113.6,1255.2,Drawing
-425.6,823.2,-531.2,3,4,4,73.52440424,209.8826005,365.8683398,-1248.8,105.6,1354.4,Drawing
-401.6,800,-525.6,4,4,5,-54.66182694,-46.93489678,-77.62945448,-1201.6,124,1325.6,Drawing
-402.4,781.6,-560.8,5,3,6,16.06439848,-32.12801249,-369.4780425,-1184,158.4,1342.4,Drawing
-406.4,794.4,-548,3,4,4,142.7200506,117.9725748,24.1289988,-1200.8,141.6,1342.4,Drawing
-380,781.6,-536,5,4,4,27.9215392,-71.26787355,134.5089347,-1161.6,156,1317.6,Drawing
-320.8,902.4,-326.4,3,6,3,60.7721176,94.45618523,232.0941903,-1223.2,5.6,1228.8,Drawing
-292,938.4,-328.8,4,6,4,77.09981504,-67.57072525,487.9832013,-1230.4,36.8,1267.2,Drawing
-291.2,927.2,-245.6,5,4,4,-53.54749759,149.9327656,-235.6093216,-1218.4,-45.6,1172.8,Drawing
-288,959.2,-250.4,4,5,5,-84.1538366,84.84215309,1.362564175,-1247.2,-37.6,1209.6,Drawing
-285.6,948,-252.8,4,4,4,-16.46239589,82.1866156,120.1053218,-1233.6,-32.8,1200.8,Drawing
-276.8,964,-197.6,5,4,4,10.70917343,-21.41871601,246.3165262,-1240.8,-79.2,1161.6,Drawing
-285.6,976.8,-233.6,3,5,4,64.25719399,-139.2247612,192.7739507,-1262.4,-52,1210.4,Drawing
-453.6,641.6,-448,5,6,5,359.4627825,-10.762915,249.0643128,-1095.2,-5.6,1089.6,Drawing
