Time(s), X, Y, Z,Gesture
1418329257,-552,840,312,Inactive
1418329257,-520,824,376,Inactive
1418329257,-520,840,336,Inactive
1418329257,-528,832,352,Inactive
1418329258,-504,840,368,Inactive
1418329258,-496,832,384,Inactive
1418329258,-504,848,352,Inactive
1418329258,-496,824,376,Inactive
1418329258,-528,840,400,Inactive
1418329258,-512,832,384,Inactive
1418329258,-512,840,376,Inactive
1418329258,-536,856,392,Inactive
1418329258,-536,840,392,Inactive
1418329258,-544,808,344,Inactive
1418329259,-456,872,376,Inactive
1418329259,-528,816,344,Inactive
1418329259,-552,824,376,Inactive
1418329259,-552,840,336,Inactive
1418329259,-536,848,336,Inactive
1418329259,-552,832,336,Inactive
1418329259,-664,888,400,Inactive
1418329259,-824,1008,376,Hand Raise
1418329259,-640,1184,528,Hand Raise
1418329259,-224,1272,432,Hand Raise
1418329260,80,920,24,Hand Raise
1418329260,208,640,-240,Hand Raise
1418329260,320,744,-256,Hand Raise
1418329260,448,648,-336,Hand Raise
1418329260,568,488,-384,Hand Raise
1418329260,744,568,-504,Hand Raise
1418329260,696,576,-152,Hand Raise
1418329260,624,144,-432,Hand Raise
1418329260,744,592,-432,Hand Raise
1418329260,664,-32,-792,Brush Teeth
1418329261,1000,552,200,Brush Teeth
1418329261,664,16,-1072,Brush Teeth
1418329261,872,224,-272,Brush Teeth
1418329261,856,584,-328,Brush Teeth
1418329261,608,136,-776,Brush Teeth
1418329261,912,304,-448,Brush Teeth
1418329261,1008,104,-40,Brush Teeth
1418329261,648,-256,-984,Brush Teeth
1418329261,728,-232,-480,Brush Teeth
1418329261,800,232,-440,Brush Teeth
1418329261,440,-112,-1144,Brush Teeth
1418329261,1096,320,200,Brush Teeth
1418329261,560,40,-1256,Brush Teeth
1418329262,832,-32,-360,Brush Teeth
1418329262,776,352,-728,Brush Teeth
1418329262,816,120,-384,Brush Teeth
1418329262,792,520,-576,Brush Teeth
1418329262,632,80,-832,Brush Teeth
1418329262,936,704,168,Brush Teeth
1418329263,664,-88,-1000,Brush Teeth
1418329263,952,440,80,Brush Teeth
1418329263,664,-32,-1128,Brush Teeth
1418329263,648,152,-880,Brush Teeth
1418329263,912,448,-344,Brush Teeth
1418329263,784,16,-216,Brush Teeth
1418329263,848,-64,-768,Brush Teeth
1418329263,752,-304,-600,Brush Teeth
1418329263,816,176,-608,Brush Teeth
1418329263,528,-336,-816,Brush Teeth
1418329263,960,-16,-288,Brush Teeth
1418329263,592,-120,-1120,Brush Teeth
1418329264,616,-248,-648,Brush Teeth
1418329264,640,256,-976,Brush Teeth
1418329264,480,104,-528,Brush Teeth
1418329264,864,400,-560,Brush Teeth
1418329264,960,336,-336,Brush Teeth
1418329264,632,-104,-1064,Brush Teeth
1418329264,816,-24,-424,Brush Teeth
1418329264,776,192,-680,Brush Teeth
1418329265,560,-176,-776,Brush Teeth
1418329265,1016,352,-352,Brush Teeth
1418329265,560,-296,-1000,Brush Teeth
1418329265,632,-376,-848,Brush Teeth
