Time(s), X, Y, Z,Gesture
1418329624,832,240,-480,Inactive
1418329624,-968,208,0,Inactive
1418329624,-1008,160,-16,Inactive
1418329624,-976,152,40,Inactive
1418329624,-984,200,-72,Inactive
1418329624,-1000,216,48,Inactive
1418329624,-984,184,56,Inactive
1418329625,-1008,224,-8,Inactive
1418329625,-992,248,-8,Inactive
1418329625,-1088,528,328,Raise Hand
1418329625,-1488,752,584,Raise Hand
1418329625,-1408,960,-104,Raise Hand
1418329625,-824,1408,1288,Raise Hand
1418329625,-512,512,312,Raise Hand
1418329625,-80,328,192,Raise Hand
1418329625,296,496,32,Raise Hand
1418329625,344,208,-512,Raise Hand
1418329626,632,360,-568,Scratch Chin
1418329626,800,344,-464,Scratch Chin
1418329626,816,296,-520,Scratch Chin
1418329626,824,360,-232,Scratch Chin
1418329626,784,384,-320,Scratch Chin
1418329626,856,400,-328,Scratch Chin
1418329626,872,392,-232,Scratch Chin
1418329626,872,368,-192,Scratch Chin
1418329626,888,400,-176,Scratch Chin
1418329626,904,424,-80,Scratch Chin
1418329626,880,416,-192,Scratch Chin
1418329626,840,488,-112,Scratch Chin
1418329627,832,416,-232,Scratch Chin
1418329627,880,496,-144,Scratch Chin
1418329627,792,440,-216,Scratch Chin
1418329627,784,368,-344,Scratch Chin
1418329627,744,384,-248,Scratch Chin
1418329627,848,432,-72,Scratch Chin
1418329627,928,504,-72,Scratch Chin
1418329627,896,352,-64,Scratch Chin
1418329627,896,400,0,Scratch Chin
1418329628,888,416,-8,Scratch Chin
1418329628,856,392,8,Scratch Chin
1418329628,864,448,96,Scratch Chin
1418329628,904,440,48,Scratch Chin
1418329628,880,464,120,Scratch Chin
1418329628,888,464,152,Scratch Chin
1418329628,880,424,24,Scratch Chin
1418329628,824,456,136,Scratch Chin
1418329628,848,472,64,Scratch Chin
1418329628,856,480,168,Scratch Chin
1418329628,968,584,40,Scratch Chin
1418329628,760,328,-496,Scratch Chin
1418329629,752,448,-208,Scratch Chin
1418329629,824,488,-16,
