Time(s), X, Y, Z,Gesture
1418329499.909,-720,424,-608,Draw
1418329499.994,-752,408,-584,Draw
1418329500.147,-720,736,-584,Draw
1418329500.230,-696,808,-512,Draw
1418329500.313,-528,680,-336,Draw
1418329500.396,-328,640,-192,Draw
1418329500.479,-240,816,-56,Draw
1418329500.562,-296,1000,64,Draw
1418329500.645,-296,1080,88,Draw
1418329500.728,-328,1040,-24,Draw
1418329500.811,-352,1048,-8,Draw
1418329500.895,-400,888,-232,Draw
1418329500.978,-360,888,-152,Draw
1418329501.060,-488,968,-208,Draw
1418329501.143,-448,776,-376,Draw
1418329501.226,-376,936,-80,Draw
1418329501.309,-448,840,-568,Draw
1418329501.392,-376,976,72,Draw
1418329501.475,-448,904,-304,Draw
1418329501.566,-440,920,-120,Draw
1418329501.641,-400,920,-104,Draw
1418329501.724,-496,832,-296,Draw
1418329501.807,-400,1016,152,Draw
1418329501.890,-456,888,-376,Draw
1418329501.974,-472,888,-88,Draw
1418329502.057,-432,1000,-64,Draw
1418329502.140,-472,880,-288,Draw
1418329502.223,-424,920,32,Draw
1418329502.306,-464,784,-424,Draw
1418329502.389,-456,968,88,Draw
1418329502.472,-440,808,-600,Draw
1418329502.555,-448,976,152,Draw
1418329502.638,-456,848,-536,Draw
1418329502.721,-456,920,-24,Draw
1418329502.804,-408,976,-152,Draw
1418329502.887,-496,832,-352,Draw
1418329502.970,-440,968,8,Draw
1418329503.053,-528,880,-560,Draw
1418329503.136,-448,960,88,Draw
1418329503.219,-448,832,-416,Draw
1418329503.302,-456,936,-40,Draw
1418329503.385,-440,968,-176,Draw
1418329503.468,-472,960,-288,Draw
1418329503.552,-392,904,-136,Draw
1418329503.635,-448,864,-520,Draw
1418329503.718,-408,1040,328,Draw
1418329503.801,-456,840,-568,Draw
1418329503.884,-456,904,-80,Draw
1418329503.968,-448,960,-296,Draw
1418329504.050,-456,888,-272,Draw
1418329504.133,-400,968,-144,Draw
1418329504.216,-432,864,-408,Draw
1418329504.299,-440,1032,56,Draw
1418329504.382,-472,848,-656,Draw
1418329504.465,-432,1008,120,Draw
1418329504.548,-416,856,-392,Draw
1418329504.631,-440,888,-200,Draw
1418329505.213,-432,952,-152,Draw
1418329505.296,-408,968,-304,Draw
1418329505.379,-432,928,-256,Draw
1418329505.462,-384,888,-184,Draw
1418329505.545,-456,888,-408,Draw
1418329505.628,-424,928,-296,Draw
1418329505.711,-432,936,-552,Draw
1418329505.794,-192,936,632,Draw
1418329505.877,-280,1032,440,Draw
1418329505.960,-408,976,-88,Draw
1418329506.047,-368,968,-8,Draw
1418329506.126,-368,968,24,Draw
1418329506.209,-376,952,-200,Draw
1418329506.292,-368,952,120,Draw
1418329506.375,-328,976,-248,Draw
1418329506.458,-384,984,-120,Draw
1418329506.541,-240,936,-32,Draw
1418329506.625,-392,1040,-192,Draw
1418329506.708,-264,808,368,Draw
1418329506.791,-376,1104,-136,Draw
1418329506.875,-320,888,408,Draw
1418329506.958,-424,1128,-304,Draw
1418329507.041,-328,912,256,Draw
1418329507.124,-400,1008,-296,Draw
1418329507.291,-320,904,24,Draw
1418329507.373,-344,1040,-96,Draw
1418329507.456,-328,872,112,Draw
1418329507.539,-392,984,-88,Draw
1418329507.622,-352,832,240,Draw
1418329507.705,-368,1016,-32,Draw
1418329508.037,-408,1048,-104,Draw
1418329508.120,-360,1008,-40,Draw
1418329508.204,-312,904,-40,Draw
1418329508.287,-400,1072,-48,Draw
1418329508.370,-352,872,280,Draw
1418329508.453,-360,984,-8,Draw
1418329508.536,-336,792,368,Draw
1418329508.619,-376,1096,56,Draw
1418329508.702,-304,920,304,Draw
1418329508.785,-400,1000,-288,Draw
1418329508.868,-304,936,152,Draw
1418329508.953,-320,920,-80,Draw
1418329509.034,-360,1072,-96,Draw
1418329509.117,-344,888,232,Draw
1418329509.200,-352,1000,8,Draw
1418329509.283,-320,744,368,Draw
1418329509.367,-328,1104,32,Draw
1418329509.532,-368,1120,-144,Draw
1418329509.615,-288,968,320,Draw
1418329509.698,-392,984,-192,Draw
1418329509.781,-312,1016,8,Draw
1418329509.865,-296,976,-32,Draw
1418329509.948,-344,1016,-16,Draw
1418329510.031,-368,976,-72,Draw
1418329510.114,-352,1040,-64,Draw
1418329510.197,-304,880,104,Draw
1418329510.861,-280,888,376,Draw
1418329510.944,-400,1176,-112,Draw
1418329511.027,-328,848,216,Draw
1418329511.110,-360,1096,40,Draw
1418329511.193,-424,1040,248,Draw
1418329511.276,-440,1032,232,Draw
1418329511.359,-408,952,224,Draw
1418329511.443,-408,896,-40,Draw
1418329511.525,-440,760,-256,Draw
1418329511.608,-536,752,-400,Draw
1418329511.691,-648,672,-432,Draw
