Time(s), X, Y, Z,
1418282902.604,136,744,-648,Inactive
1418282902.768,-32,448,-848,Inactive
1418282902.851,128,472,-888,Inactive
1418282903.017,328,432,-888,Inactive
1418282903.100,408,456,-792,Inactive
1418282903.184,392,384,-728,Inactive
1418282903.267,424,408,-680,Inactive
1418282903.350,456,424,-704,Inactive
1418282903.433,544,416,-824,Inactive
1418282903.516,560,408,-704,Inactive
1418282903.599,528,360,-872,Inactive
1418282903.682,664,424,-872,Brush Teeth
1418282903.765,576,392,-768,Brush Teeth
1418282903.852,360,80,-768,Brush Teeth
1418282903.931,768,448,-1248,Brush Teeth
1418282904.015,568,200,-648,Brush Teeth
1418282904.098,232,-48,-784,Brush Teeth
1418282904.181,648,536,-1200,Brush Teeth
1418282904.264,424,48,-720,Brush Teeth
1418282904.347,40,-224,-1064,Brush Teeth
1418282904.596,-24,-208,-872,Brush Teeth
1418282904.679,960,280,-1240,Brush Teeth
1418282904.767,144,-304,-264,Brush Teeth
1418282904.846,552,-48,-1144,Brush Teeth
1418282904.929,744,136,-744,Brush Teeth
1418282905.012,80,-96,-784,Brush Teeth
1418282905.095,984,568,-1392,Brush Teeth
1418282905.178,424,-104,-488,Brush Teeth
1418282905.261,176,-64,-936,Brush Teeth
1418282905.344,1000,296,-1072,Brush Teeth
1418282905.427,120,-336,-560,Brush Teeth
1418282905.510,800,-88,-1152,Brush Teeth
1418282905.593,464,-216,-440,Brush Teeth
1418282905.677,320,216,-1064,Brush Teeth
1418282905.760,808,600,-896,Brush Teeth
1418282905.843,304,16,-304,Brush Teeth
1418282905.926,864,584,-1392,Brush Teeth
1418282906.014,416,-136,-168,Brush Teeth
1418282906.092,496,48,-1040,Brush Teeth
1418282906.175,832,688,-896,Brush Teeth
1418282906.258,328,112,-152,Brush Teeth
1418282906.341,896,960,-1760,Brush Teeth
1418282906.427,416,40,-56,Brush Teeth
1418282906.591,888,872,-1008,Brush Teeth
1418282906.674,232,40,-120,Brush Teeth
1418282906.757,816,656,-1512,Brush Teeth
1418282906.840,536,152,-288,Brush Teeth
1418282906.925,296,-192,-600,Brush Teeth
1418282907.006,968,520,-1256,Brush Teeth
1418282907.089,320,-232,16,Brush Teeth
1418282907.172,600,72,-1200,Brush Teeth
1418282907.255,872,424,-784,Brush Teeth
1418282907.338,304,-24,-224,Brush Teeth
1418282907.424,992,976,-1560,Brush Teeth
