Time(s), X, Y, Z,Gesture
1418260121.214,504,816,-88,Inactive
1418260121.376,904,408,-184,Inactive
1418260121.454,904,408,-152,Inactive
1418260121.537,888,416,-136,Inactive
1418260121.620,888,440,-128,Raise Hand
1418260121.703,920,560,-144,Raise Hand
1418260121.789,912,744,-56,Raise Hand
1418260121.870,920,976,0,Raise Hand
1418260121.953,864,1256,104,Raise Hand
1418260122.036,656,1424,336,Raise Hand
1418260122.285,-144,152,-176,Raise Hand
1418260122.368,-368,64,-776,Scratch Chin
1418260122.451,-616,392,-584,Scratch Chin
1418260122.617,-784,232,-216,Scratch Chin
1418260122.700,-832,336,-408,Scratch Chin
1418260122.783,-760,264,-568,Scratch Chin
1418260122.870,-824,360,-600,Scratch Chin
1418260122.949,-872,384,-424,Scratch Chin
1418260123.032,-856,272,-456,Scratch Chin
1418260123.116,-848,312,-464,Scratch Chin
1418260123.199,-864,304,-424,Scratch Chin
1418260123.282,-816,392,-432,Scratch Chin
1418260123.365,-752,448,-216,Scratch Chin
1418260123.448,-840,240,-512,Scratch Chin
1418260123.531,-896,152,-400,Scratch Chin
1418260123.615,-848,184,-472,Scratch Chin
1418260123.697,-800,360,-624,Scratch Chin
1418260123.780,-888,376,-312,Scratch Chin
1418260123.863,-856,232,-560,Scratch Chin
1418260123.947,-848,336,-376,Scratch Chin
1418260124.030,-792,312,-576,Scratch Chin
1418260124.113,-896,288,-592,Scratch Chin
1418260124.196,-880,192,-272,Scratch Chin
1418260124.279,-872,232,-632,Scratch Chin
1418260124.362,-880,312,-288,Scratch Chin
1418260124.445,-808,288,-640,Scratch Chin
1418260124.528,-784,336,-488,Scratch Chin
1418260124.611,-832,248,-544,Scratch Chin
1418260124.697,-824,344,-512,Scratch Chin
1418260124.777,-816,376,-320,Scratch Chin
1418260124.860,-856,424,-536,Scratch Chin
1418260124.943,-832,424,-496,Scratch Chin
1418260125.026,-824,440,-544,Scratch Chin
1418260125.110,-872,440,-464,Scratch Chin
1418260125.193,-872,248,-312,Scratch Chin
1418260125.276,-832,176,-512,Scratch Chin
1418260125.359,-856,384,-456,Scratch Chin
1418260125.442,-792,248,-736,Scratch Chin
1418260125.525,-816,344,-480,Scratch Chin
1418260125.608,-760,208,-528,Scratch Chin
1418260125.691,-640,-32,-456,Lower Hand
1418260125.774,-456,16,-384,Lower Hand
1418260125.857,-200,248,-288,Lower Hand
1418260125.940,272,464,-368,Lower Hand
