Time(s), X, Y, Z,Gesture
1418260226.257,-264,880,-448,Draw
1418260226.410,-256,848,-464,Draw
1418260226.497,-240,880,-464,Draw
1418260226.577,-256,880,-504,Draw
1418260226.661,-248,896,-456,Draw
1418260226.750,-240,880,-464,Draw
1418260226.825,-240,880,-480,Draw
1418260226.909,-256,896,-464,Draw
1418260226.992,-264,872,-496,Draw
1418260227.075,-240,888,-472,Draw
1418260227.161,-256,864,-536,Draw
1418260227.241,-248,888,-472,Draw
1418260227.324,-248,872,-480,Draw
1418260227.407,-272,896,-544,Draw
1418260227.498,-272,896,-496,Draw
1418260227.573,-248,864,-488,Draw
1418260227.656,-256,840,-576,Draw
1418260227.739,-280,840,-584,Draw
1418260227.822,-256,848,-584,Draw
1418260227.905,-264,808,-576,Draw
1418260227.988,-304,848,-536,Draw
1418260228.071,-272,848,-592,Draw
1418260228.154,-280,784,-576,Draw
1418260228.237,-280,856,-504,Draw
1418260228.320,-288,800,-616,Draw
1418260228.403,-328,824,-488,Draw
1418260228.486,-280,824,-560,Draw
1418260228.569,-288,752,-632,Draw
1418260228.652,-272,880,-472,Draw
1418260228.735,-272,808,-584,Draw
1418260228.818,-272,864,-544,Draw
1418260228.901,-264,864,-488,Draw
1418260228.984,-240,840,-544,Draw
1418260229.068,-240,904,-368,Draw
1418260229.151,-272,864,-648,Draw
1418260229.234,-272,872,-536,Draw
1418260229.317,-256,880,-400,Draw
1418260229.400,-296,832,-560,Draw
1418260229.483,-272,848,-464,Draw
1418260229.566,-248,760,-680,Draw
1418260229.649,-264,816,-624,Draw
1418260229.732,-264,832,-464,Draw
1418260229.815,-296,832,-552,Draw
1418260229.904,-272,824,-464,Draw
1418260229.981,-288,792,-680,Draw
1418260230.230,-272,792,-640,Draw
1418260230.313,-304,872,-504,Draw
1418260230.396,-232,984,-488,Draw
1418260230.481,-136,928,-488,Draw
1418260230.562,-160,848,-496,Draw
1418260230.645,-216,864,-248,Draw
1418260230.728,-448,864,-192,Draw
1418260230.812,-504,896,-296,Draw
1418260230.899,-352,864,-608,Draw
1418260230.977,-136,968,-584,Draw
1418260231.060,-200,864,-632,Draw
1418260231.715,-384,864,-496,Draw
1418260231.809,-320,920,-480,Draw
1418260231.894,-320,864,-536,Draw
1418260231.973,-328,856,-464,Draw
1418260232.056,-344,880,-528,Draw
1418260232.139,-344,904,-544,Draw
1418260232.222,-328,808,-336,Draw
1418260232.305,-328,912,-432,Draw
1418260232.392,-296,888,-424,Draw
1418260232.471,-360,920,-520,Draw
1418260232.557,-320,920,-512,Draw
1418260232.638,-336,840,-320,Draw
1418260232.720,-328,944,-480,Draw
1418260232.803,-304,856,-384,Draw
1418260232.886,-328,888,-536,Draw
1418260232.969,-288,904,-536,Draw
1418260233.052,-288,840,-264,Draw
1418260233.135,-312,936,-472,Draw
1418260233.218,-296,880,-440,Draw
1418260233.301,-352,904,-544,Draw
1418260233.384,-288,944,-560,Draw
1418260233.468,-304,880,-272,Draw
1418260233.550,-256,936,-496,Draw
1418260233.634,-272,848,-360,Draw
1418260233.717,-336,880,-648,Draw
1418260233.800,-272,904,-512,Draw
1418260233.883,-352,816,-384,Draw
1418260233.968,-312,880,-552,Draw
1418260234.052,-328,784,-376,Draw
1418260234.132,-336,864,-504,Draw
1418260234.215,-248,848,-352,Draw
1418260234.298,-336,904,-656,Draw
1418260234.382,-288,912,-568,Draw
1418260234.463,-328,832,-504,Draw
1418260234.547,-288,912,-512,Draw
1418260234.629,-288,784,-168,Draw
1418260234.878,-312,848,-608,Draw
1418260234.966,-272,816,-168,Draw
1418260235.044,-336,824,-784,Draw
1418260235.127,-392,816,-512,Draw
1418260235.210,-368,1000,-320,Draw
1418260235.296,-312,1056,-96,Draw
1418260235.376,-208,1000,-144,Draw
1418260235.459,-192,936,-224,Draw
1418260235.543,-144,960,-208,Draw
1418260235.626,-144,1040,-272,Draw
1418260235.709,-208,992,-232,Draw
1418260235.791,-232,920,-304,Draw
