"Time(s)"," X"," Y"," Z"
"1418209684.609","-808","616","16"
"1418209684.763","-840","640","72"
"1418209684.928","-808","632","72"
"1418209685.094","-888","616","48"
"1418209685.177","-880","656","80"
"1418209685.261","-952","712","216"
"1418209685.344","-1008","808","136"
"1418209685.427","-944","976","32"
"1418209685.510","-728","1032","-8"
"1418209685.599","-576","1016","-152"
"1418209685.759","-248","1088","-376"
"1418209685.844","-96","880","-440"
"1418209685.925","88","456","-400"
"1418209686.014","224","304","-496"
"1418209686.091","352","232","-616"
"1418209686.180","440","72","-800"
"1418209686.590","456","-40","-1016"
"1418209686.673","616","184","-760"
"1418209686.756","944","488","-640"
"1418209686.840","336","48","-936"
"1418209686.928","1160","680","216"
"1418209687.006","344","104","-1440"
"1418209687.089","872","208","136"
"1418209687.172","736","184","-976"
"1418209687.255","672","-16","-576"
"1418209687.338","1016","488","-344"
"1418209687.421","512","120","-936"
"1418209687.508","1008","472","0"
"1418209687.587","504","-320","-736"
"1418209687.674","776","-448","-776"
"1418209687.753","992","-32","-392"
"1418209687.839","984","-40","-296"
"1418209687.920","808","-632","-328"
"1418209688.169","1032","272","-1312"
"1418209688.261","600","-624","40"
"1418209688.336","920","-32","-1296"
"1418209688.418","648","-424","-32"
"1418209688.502","880","-304","-1008"
"1418209688.596","816","-112","-248"
"1418209688.668","672","-712","-32"
"1418209688.751","936","-80","-704"
"1418209688.834","672","-680","88"
"1418209688.917","960","-152","-976"
"1418209689.000","760","-488","208"
"1418209689.083","952","-192","-1176"
"1418209689.167","568","-424","112"
"1418209689.250","984","-184","-920"
"1418209689.333","976","-368","-248"
"1418209689.416","536","-664","-128"
"1418209690.608","800","-536","-592"
"1418209690.663","888","-416","-936"
"1418209690.746","672","-456","-560"
"1418209690.829","392","-568","-520"
"1418209690.912","768","40","-272"
"1418209690.995","824","272","-616"
"1418209691.079","456","-304","-896"
"1418209691.328","968","424","112"
"1418209691.494","800","120","-600"
"1418209691.577","816","328","-1016"
"1418209691.660","680","-24","-528"
"1418209691.749","800","160","-608"
"1418209691.826","584","-48","-944"
"1418209691.910","968","200","-32"
"1418209691.995","616","-112","-960"
"1418209692.076","936","352","-64"
