Time(s), X, Y, Z,Gesture
1418209850.614,512,-112,-992,Inactive
1418209850.780,520,-88,-880,Inactive
1418209850.863,536,-112,-904,Inactive
1418209850.951,512,-128,-864,Inactive
1418209851.195,544,-120,-888,Inactive
1418209851.278,496,-80,-872,Inactive
1418209851.361,488,-96,-928,Inactive
1418209851.444,496,-80,-888,Inactive
1418209851.531,496,-104,-904,Inactive
1418209851.614,432,-144,-984,Inactive
1418209851.693,432,-192,-1088,Brush Teeth
1418209851.777,424,-48,-760,Brush Teeth
1418209851.859,624,64,-1048,Brush Teeth
1418209851.942,632,24,-864,Brush Teeth
1418209852.026,424,168,-704,Brush Teeth
1418209852.109,720,280,-408,Brush Teeth
1418209852.192,984,176,-264,Brush Teeth
1418209852.275,552,88,-984,Brush Teeth
1418209852.358,632,208,-616,Brush Teeth
1418209852.441,1040,448,-256,Brush Teeth
1418209852.524,496,-16,-1064,Brush Teeth
1418209852.609,624,-56,-600,Brush Teeth
1418209852.690,928,448,-168,Brush Teeth
1418209852.773,552,272,-1032,Brush Teeth
1418209852.856,552,352,-536,Brush Teeth
1418209852.939,1040,816,-16,Brush Teeth
1418209853.188,904,864,-48,Brush Teeth
1418209853.271,824,608,-496,Brush Teeth
1418209853.356,496,384,-672,Brush Teeth
1418209853.437,800,552,-144,Brush Teeth
1418209853.520,904,728,-304,Brush Teeth
1418209853.603,512,392,-960,Brush Teeth
1418209853.686,648,584,-320,Brush Teeth
1418209853.769,936,672,-152,Brush Teeth
1418209853.852,576,272,-688,Brush Teeth
1418209853.935,640,96,-848,Brush Teeth
1418209854.018,552,-128,-688,Brush Teeth
1418209854.101,888,40,-848,Brush Teeth
1418209854.184,1064,48,-480,Brush Teeth
1418209854.267,864,-104,-496,Brush Teeth
1418209854.350,672,-152,-424,Brush Teeth
1418209854.433,616,-328,-600,Brush Teeth
1418209854.516,784,232,-1392,Brush Teeth
1418209854.599,568,-336,-304,Brush Teeth
1418209854.682,664,-96,-1368,Brush Teeth
1418209854.765,576,144,-768,Brush Teeth
1418209854.848,536,-416,-184,Brush Teeth
1418209854.932,648,256,-1320,Brush Teeth
1418209855.015,528,-80,-648,Brush Teeth
1418209855.182,520,-16,-1008,Brush Teeth
1418209855.264,560,-48,-928,Brush Teeth
1418209855.347,584,48,-840,Brush Teeth
1418209855.928,656,-80,-1104,Brush Teeth
1418209856.094,560,56,-880,Brush Teeth
1418209856.177,416,112,-856,Brush Teeth
1418209856.260,280,-296,-1032,Brush Teeth
1418209856.343,304,160,-704,Brush Teeth
1418209856.426,552,520,-616,Brush Teeth
1418209856.509,688,520,-576,Brush Teeth
1418209856.596,336,504,-1024,Brush Teeth
1418209856.675,720,560,-200,Brush Teeth
1418209856.758,512,456,-848,Brush Teeth
1418209856.841,352,496,-736,Brush Teeth
1418209856.929,664,632,-208,Brush Teeth
1418209857.007,456,496,-808,Brush Teeth
1418209857.090,312,672,-792,Brush Teeth
1418209857.173,624,792,-280,Brush Teeth
1418209857.505,776,744,-40,Brush Teeth
1418209857.588,352,792,-1032,Brush Teeth
1418209857.671,344,704,-512,Brush Teeth
1418209857.754,664,840,96,Brush Teeth
1418209857.837,440,680,-888,Brush Teeth
1418209857.920,368,696,-592,Brush Teeth
1418209858.086,280,672,-944,Brush Teeth
1418209858.169,504,640,-400,Brush Teeth
1418209858.253,632,664,-352,Brush Teeth
1418209858.336,312,640,-960,Brush Teeth
1418209858.419,616,632,-80,Brush Teeth
1418209858.502,528,616,-624,Brush Teeth
1418209858.585,280,576,-664,Brush Teeth
1418209858.668,608,760,-168,Brush Teeth
1418209858.751,608,720,-552,Brush Teeth
1418209858.834,376,712,-760,Brush Teeth
1418209858.917,632,824,-216,Brush Teeth
1418209859.000,640,752,-360,Brush Teeth
1418209859.083,232,664,-944,Brush Teeth
1418209859.166,528,824,-192,Brush Teeth
1418209859.250,672,824,-448,Brush Teeth
1418209859.334,248,616,-912,Brush Teeth
1418209859.416,464,792,-312,Brush Teeth
1418209859.501,736,776,-152,Brush Teeth
1418209859.582,352,688,-944,Brush Teeth
1418209859.665,304,672,-512,Brush Teeth
1418209859.748,736,872,88,Brush Teeth
