Time(s), X, Y, Z,Gesture
1418210050.593,368,-16,-1032,Inactive
1418210050.676,344,-16,-992,Inactive
1418210050.759,344,-24,-984,Inactive
1418210050.842,336,-16,-968,Inactive
1418210050.925,328,-16,-984,Inactive
1418210051.008,344,-16,-1000,Inactive
1418210051.092,344,-16,-984,Inactive
1418210051.174,328,-24,-1000,Inactive
1418210051.258,352,-8,-960,Inactive
1418210051.340,328,8,-968,Inactive
1418210051.423,320,-8,-1032,Inactive
1418210051.506,344,16,-968,Raise Hand
1418210051.589,272,8,-1104,Raise Hand
1418210051.673,208,32,-1240,Raise Hand
1418210051.756,184,128,-1296,Raise Hand
1418210051.839,280,200,-1128,Raise Hand
1418210051.922,432,424,-736,Raise Hand
1418210052.005,496,376,-832,Scratch Chin
1418210052.088,352,128,-816,Scratch Chin
1418210052.175,280,-216,-776,Scratch Chin
1418210052.254,304,-328,-816,Scratch Chin
1418210052.337,328,-104,-976,Scratch Chin
1418210052.420,416,-264,-1096,Scratch Chin
1418210052.503,608,-200,-952,Scratch Chin
1418210052.586,576,-264,-736,Scratch Chin
1418210052.669,504,-200,-928,Scratch Chin
1418210052.752,488,-264,-960,Scratch Chin
1418210052.835,528,-152,-760,Scratch Chin
1418210052.918,528,-200,-920,Scratch Chin
1418210053.001,496,-272,-792,Scratch Chin
1418210053.089,512,-160,-944,Scratch Chin
1418210053.167,544,-224,-952,Scratch Chin
1418210053.252,552,-280,-536,Scratch Chin
1418210053.333,544,-152,-1000,Scratch Chin
1418210053.416,528,-168,-712,Scratch Chin
1418210053.500,360,-288,-704,Scratch Chin
1418210053.583,328,-352,-912,Scratch Chin
1418210053.666,312,-200,-1024,Scratch Chin
1418210053.833,80,8,-936,Lower Hand
1418210053.915,16,192,-992,Lower Hand
1418210053.999,-176,216,-1360,Lower Hand
1418210054.082,-512,840,-1960,Lower Hand
1418210054.165,-24,336,-904,Inactive
1418210054.248,-104,208,-1024,Inactive
1418210054.331,-80,128,-1016,Inactive
