Time(s), X, Y, Z,Gesture
1418209955.627,-32,512,1152,Inactive
1418209955.710,-32,544,760,Inactive
1418209955.793,-80,600,904,Inactive
1418209955.876,-64,464,824,Inactive
1418209955.959,-112,584,688,Inactive
1418209956.042,-48,512,344,Comb Hair
1418209956.125,-304,936,272,Comb Hair
1418209956.208,-432,1016,448,Comb Hair
1418209956.297,-480,984,440,Comb Hair
1418209956.375,-536,872,336,Comb Hair
1418209956.458,-520,752,408,Comb Hair
1418209956.541,-488,704,296,Comb Hair
1418209956.707,-648,984,312,Comb Hair
1418209956.790,-624,1048,152,Comb Hair
1418209956.873,-696,1000,-72,Comb Hair
1418209956.956,-680,800,-280,Comb Hair
1418209957.039,-648,712,-368,Comb Hair
1418209957.122,-552,456,-472,Comb Hair
1418209957.288,-472,680,-856,Comb Hair
1418209957.371,-536,480,-584,Comb Hair
1418209957.454,-744,192,-656,Comb Hair
1418209957.537,-824,40,-776,Comb Hair
1418209957.620,-808,192,-888,Comb Hair
1418209957.703,-816,304,-32,Comb Hair
1418209957.786,-672,408,-448,Comb Hair
1418209957.870,-1072,1208,-464,Comb Hair
1418209957.953,-1072,648,-320,Comb Hair
1418209958.036,-816,744,184,Comb Hair
1418209958.119,-600,1752,528,Comb Hair
1418209958.202,-192,1736,504,Comb Hair
1418209958.285,88,1392,344,Comb Hair
1418209958.368,232,600,224,Comb Hair
1418209958.452,216,24,-296,Comb Hair
1418209958.534,376,248,-584,Comb Hair
1418209958.617,280,256,-400,Comb Hair
1418209958.700,328,-248,72,Comb Hair
1418209958.783,464,-744,-520,Comb Hair
1418209958.866,1056,-560,-88,Comb Hair
1418209958.949,1392,-248,-568,Comb Hair
1418209959.032,1160,216,-592,Comb Hair
1418209959.115,600,584,-704,Comb Hair
1418209959.201,576,256,-432,Comb Hair
1418209959.281,592,48,-320,Comb Hair
1418209959.364,552,-512,-264,Comb Hair
1418209959.447,616,-520,-776,Comb Hair
1418209959.530,928,-824,-600,Comb Hair
1418209959.613,888,-584,72,Comb Hair
1418209959.862,-56,-1560,-296,Comb Hair
1418209959.945,344,-968,-176,Comb Hair
1418209960.028,384,-104,-280,Comb Hair
1418209960.111,32,-288,-768,Comb Hair
1418209960.194,-136,-1232,-864,Comb Hair
1418209960.277,-256,-1760,-952,Comb Hair
1418209960.360,376,-1352,-464,Comb Hair
1418209960.443,640,-672,176,Comb Hair
