"Time(s)"," X"," Y"," Z"
"1418209996.600","-1040","432","-424"
"1418209996.764","240","536","-120"
"1418209996.847","416","680","512"
"1418209996.930","472","264","-72"
"1418209997.013","608","8","120"
"1418209997.096","976","40","312"
"1418209997.179","1224","464","104"
"1418209997.262","1032","728","-224"
"1418209997.345","808","704","-408"
"1418209997.428","960","832","0"
"1418209997.514","896","624","248"
"1418209997.594","728","432","576"
"1418209997.677","616","192","288"
"1418209997.760","648","64","304"
"1418209997.843","936","72","24"
"1418209997.926","1192","504","-400"
"1418209998.009","1088","912","-280"
"1418209998.094","784","992","248"
"1418209998.175","664","792","232"
"1418209998.258","608","584","296"
"1418209998.341","720","112","144"
"1418209998.429","848","176","-176"
"1418209998.718","1040","-56","-536"
"1418209998.839","1072","-168","-224"
"1418209998.922","1016","88","-328"
"1418209999.010","928","-64","-272"
"1418209999.088","552","-296","-152"
"1418209999.172","336","152","-784"
"1418209999.256","472","216","-704"
"1418209999.338","408","208","-728"
"1418209999.421","528","128","-1272"
"1418209999.504","1104","24","-904"
"1418209999.587","1392","-256","-552"
"1418209999.670","976","-216","-344"
"1418209999.753","528","-352","-304"
"1418209999.919","256","-688","-288"
"1418210000.002","-352","-1224","-1016"
"1418210000.086","-392","-928","-784"
"1418210000.168","-120","-848","160"
"1418210000.251","592","-296","-392"
"1418210000.334","1144","144","-608"
"1418210000.417","1064","632","-800"
"1418210000.500","320","176","-1560"
"1418210000.583","528","480","-528"
"1418210000.666","424","320","-608"
"1418210000.750","320","160","-640"
"1418210000.833","368","-224","-272"
"1418210000.916","736","-376","-592"
"1418210001.006","1200","-200","-496"
"1418210001.082","1240","232","-848"
"1418210001.165","968","432","-552"
"1418210001.248","840","688","-624"
"1418210001.331","728","424","-648"
"1418210001.414","744","376","-440"
"1418210002.188","160","248","-696"
"1418210002.327","400","176","-1040"
"1418210002.410","504","504","-1472"
"1418210002.493","792","256","-936"
"1418210002.659","960","-80","-8"
"1418210002.742","376","-312","-56"
"1418210002.825","-320","-16","-1384"
"1418210002.908","-8","64","-960"
"1418210002.991","432","-232","-1472"
"1418210003.074","1224","-248","-992"
"1418210003.157","1160","-320","-176"
"1418210003.240","576","-496","-72"
"1418210003.323","-72","-536","-272"
"1418210003.406","-184","-784","-320"
"1418210003.491","-456","-928","-832"
"1418210003.572","-280","-1048","-480"
"1418210003.655","688","-848","-536"
"1418210003.738","1424","-24","-168"
"1418210003.821","896","144","272"
"1418210003.904","-32","616","-800"
"1418210003.987","-120","432","-1168"
"1418210004.070","520","248","-784"
"1418210004.153","1352","120","-672"
"1418210004.236","848","232","-688"
"1418210004.319","96","528","-448"
"1418210004.402","112","280","-1072"
"1418210004.485","1064","208","-344"
"1418210004.651","384","496","-440"
"1418210004.734","296","48","-752"
"1418210004.817","800","-264","-696"
"1418210004.900","944","-416","-312"
"1418210004.983","888","8","-360"
"1418210005.067","912","-168","-640"
"1418210005.156","1008","-280","-584"
"1418210005.232","1288","-400","-792"
"1418210005.318","1128","-280","-304"
"1418210005.398","480","-432","368"
"1418210005.483","16","-16","-664"
"1418210005.564","240","-272","-760"
"1418210005.647","168","-912","-680"
"1418210005.730","-40","-1168","-1000"
"1418210005.813","504","-1080","-16"
"1418210005.896","560","-680","-304"
"1418210005.979","24","48","-592"
"1418210006.062","168","-824","-440"
"1418210006.145","-312","-1352","-248"
"1418210006.477","1072","-448","-448"
"1418210006.560","736","-32","-496"
"1418210006.643","416","-344","-1184"
"1418210006.726","528","-264","-496"
"1418210006.809","776","-944","-624"
"1418210006.893","696","-528","-424"
"1418210006.979","544","-352","-904"
"1418210007.058","416","-664","-680"
"1418210007.146","680","-1016","-160"
"1418210007.823","80","1120","-80"
"1418210007.971","-1232","1376","32"
"1418210008.054","-1144","832","-280"
"1418210008.137","-1024","592","0"
"1418210008.220","-976","576","-56"
"1418210008.303","-920","552","-80"
"1418210008.386","-872","544","-104"
"1418210008.469","-904","528","-72"
"1418210008.552","-912","512","-112"
"1418210008.635","-888","488","-40"
"1418210008.718","-856","520","-64"
