Time(s), X, Y, Z,Gesture
1418395723.342,-936,232,-328,Inactive
1418395723.507,-856,528,216,Inactive
1418395723.590,-872,552,200,Inactive
1418395723.673,-872,552,128,Inactive
1418395723.757,-864,544,152,Inactive
1418395723.841,-944,616,136,Inactive
1418395723.923,-992,752,176,Inactive
1418395724.008,-1032,880,128,Raise Hand
1418395724.089,-856,976,16,Raise Hand
1418395724.173,-432,1176,48,Raise Hand
1418395724.255,200,1144,32,Raise Hand
1418395724.421,504,1080,200,Raise Hand
1418395724.504,376,720,56,Raise Hand
1418395724.587,80,680,-248,Comb Hair
1418395724.670,168,392,-640,Comb Hair
1418395724.756,576,456,-160,Comb Hair
1418395724.836,832,424,-368,Comb Hair
1418395724.919,936,232,-240,Comb Hair
1418395725.002,792,48,-512,Comb Hair
1418395725.087,1000,-416,-376,Comb Hair
1418395725.168,816,-248,-376,Comb Hair
1418395725.251,744,-432,-528,Comb Hair
1418395725.334,776,-352,-464,Comb Hair
1418395725.417,800,-472,-320,Comb Hair
1418395725.500,856,-408,-160,Comb Hair
1418395725.583,856,-544,-160,Comb Hair
1418395725.666,864,-200,-520,Comb Hair
1418395725.750,744,-432,-344,Comb Hair
1418395725.833,752,-888,-440,Comb Hair
1418395725.916,608,-720,-1016,Comb Hair
1418395726.000,600,-1360,-688,Comb Hair
1418395726.083,976,-1160,696,Comb Hair
1418395726.166,736,-320,112,Comb Hair
1418395726.249,424,240,-520,Comb Hair
1418395726.332,376,232,-648,Comb Hair
1418395726.415,672,32,-544,Comb Hair
1418395726.498,800,-152,-200,Comb Hair
1418395726.581,776,-456,-288,Comb Hair
1418395726.665,776,-856,40,Comb Hair
1418395726.748,856,-744,-104,Comb Hair
1418395726.831,832,-560,-96,Comb Hair
1418395726.914,800,-624,16,Comb Hair
1418395726.999,800,-360,-416,Comb Hair
1418395727.080,704,-648,-184,Comb Hair
1418395727.163,744,-1008,-1120,Comb Hair
1418395727.246,904,-1288,-616,Comb Hair
1418395727.329,1296,-1008,944,Comb Hair
1418395727.412,856,-392,464,Comb Hair
1418395727.495,296,256,-240,Comb Hair
1418395727.578,304,40,-464,Comb Hair
1418395727.910,736,-560,-728,Comb Hair
1418395727.994,624,-776,-352,Comb Hair
1418395728.077,656,-776,-32,Comb Hair
1418395728.160,744,-768,-184,Comb Hair
1418395730.074,256,-816,-592,Comb Hair
1418395730.236,304,-496,-1024,Comb Hair
1418395730.319,424,-496,-424,Comb Hair
1418395730.402,184,-728,-704,Comb Hair
1418395730.486,-736,-360,-2608,Comb Hair
1418395730.568,-144,-1712,-952,Comb Hair
1418395730.651,528,-512,-528,Comb Hair
1418395730.734,288,328,-936,Comb Hair
1418395730.817,224,-24,-656,Comb Hair
1418395730.900,304,-912,-512,Comb Hair
1418395730.983,392,-840,-600,Comb Hair
1418395731.066,208,-400,-1064,Comb Hair
1418395731.149,112,-296,-648,Comb Hair
1418395731.232,-272,-888,-560,Comb Hair
1418395731.315,-144,-744,-984,Comb Hair
1418395731.398,-272,-1472,-1288,Comb Hair
1418395731.481,368,-728,-128,Comb Hair
1418395731.564,208,-72,-1280,Comb Hair
1418395731.647,304,32,-832,Comb Hair
1418395731.730,152,-1048,-624,Comb Hair
1418395731.813,440,-776,-424,Comb Hair
1418395731.896,64,-528,-976,Comb Hair
1418395731.980,-32,16,-904,Comb Hair
1418395732.063,-520,-800,-936,Comb Hair
1418395732.146,-584,-848,-800,Comb Hair
1418395732.229,-232,-816,-160,Comb Hair
1418395732.312,736,-688,232,Comb Hair
1418395732.395,1216,-136,512,Comb Hair
1418395732.478,1144,432,96,Comb Hair
1418395732.561,816,672,-336,Comb Hair
1418395732.645,376,368,-632,Comb Hair
1418395732.727,272,416,-520,Comb Hair
1418395732.810,432,712,-912,Comb Hair
1418395732.893,336,968,-496,Comb Hair
1418395732.976,256,1000,-240,Comb Hair
1418395733.062,376,664,-192,Comb Hair
1418395733.142,152,872,-312,Comb Hair
1418395733.225,-64,1136,-1040,Comb Hair
1418395733.308,-24,928,-1384,Comb Hair
1418395733.391,136,1128,-560,Comb Hair
1418395733.474,440,1056,80,Comb Hair
1418395733.557,464,416,-352,Comb Hair
1418395733.640,504,104,-280,Comb Hair
1418395733.723,624,280,-64,Comb Hair
1418395733.806,536,488,-144,Comb Hair
1418395733.889,400,304,-424,Comb Hair
1418395733.972,112,848,-336,Comb Hair
1418395734.055,-80,1096,-192,Comb Hair
1418395734.221,-144,1168,-792,Comb Hair
1418395734.304,-64,1144,-512,Comb Hair
1418395734.387,40,968,-552,Comb Hair
1418395734.470,88,960,-560,Comb Hair
1418395734.553,104,936,-424,Comb Hair
1418395734.636,152,864,-240,Comb Hair
1418395734.969,88,1072,-160,Comb Hair
1418395735.052,96,1064,-136,Comb Hair
