Time(s),X,Y,Z,
95760.339,40,1024,-88,Gesture
95760.421,-368,1000,-56,Inactive
95760.502,-384,1016,-48,Inactive
95760.585,-336,984,64,Inactive
95760.668,-320,976,24,Inactive
95760.751,-328,1056,16,Inactive
95760.917,-312,976,16,Inactive
95761.000,-224,968,-8,Inactive
95761.083,-192,968,-40,Inactive
95761.166,-232,1104,88,Raise Hand
95761.251,24,1456,488,Raise Hand
95761.333,264,1208,376,Raise Hand
95761.416,368,1016,256,Raise Hand
95761.499,664,920,136,Raise Hand
95761.582,792,728,232,Raise Hand
95761.752,408,232,-472,Comb Hair
95761.831,472,32,-368,Comb Hair
95761.914,688,-184,-200,Comb Hair
95761.997,856,-64,88,Comb Hair
95762.080,864,-296,-88,Comb Hair
95762.163,832,-688,-200,Comb Hair
95762.246,832,-528,-168,Comb Hair
95762.329,680,-672,-440,Comb Hair
95762.412,568,-632,-344,Comb Hair
95762.495,720,-1408,-488,Comb Hair
95762.578,840,-1456,-936,Comb Hair
95762.662,1096,-1104,392,Comb Hair
95762.744,872,-616,160,Comb Hair
95762.827,384,-32,-368,Comb Hair
95762.911,160,-24,-424,Comb Hair
95762.994,360,-304,-216,Comb Hair
95763.077,712,-328,-24,Comb Hair
95763.160,648,-1040,-320,Comb Hair
95763.243,808,-536,-256,Comb Hair
95763.326,608,-512,-616,Comb Hair
95763.409,472,-528,-688,Comb Hair
95763.492,424,-1088,-176,Comb Hair
95763.575,488,-1096,-1072,Comb Hair
95763.658,984,-1216,-592,Comb Hair
95763.741,1192,-1032,576,Comb Hair
95763.824,832,-464,72,Comb Hair
95763.907,264,-48,-400,Comb Hair
95763.990,184,-208,-512,Comb Hair
95764.073,576,-416,96,Comb Hair
95764.156,632,-1184,-744,Comb Hair
95764.239,672,-936,112,Comb Hair
95764.323,656,-288,-528,Comb Hair
95764.405,488,-584,-456,Comb Hair
95764.488,512,-928,-280,Comb Hair
95764.571,592,-896,-112,Comb Hair
95764.654,976,-1008,1376,Comb Hair
95764.737,888,-1504,280,Comb Hair
95764.820,760,-1424,872,Comb Hair
95764.904,960,-976,1368,Comb Hair
95764.987,1120,-240,744,Comb Hair
95765.070,984,224,376,Comb Hair
95765.153,688,360,-120,Comb Hair
95766.131,256,720,-496,Comb Hair
95766.234,168,752,-496,Comb Hair
95766.315,208,440,24,Comb Hair
95766.398,-32,1016,-1536,Comb Hair
95766.481,104,1448,-904,Comb Hair
95766.814,392,88,-912,Comb Hair
95766.897,544,184,40,Comb Hair
95766.982,264,416,-664,Comb Hair
95767.063,40,536,-568,Comb Hair
95767.146,-136,784,-856,Comb Hair
95767.229,-136,720,-736,Comb Hair
95767.312,-256,848,-1568,Comb Hair
95767.395,-184,1272,-1016,Comb Hair
95767.478,176,1224,-280,Comb Hair
95767.561,512,1000,-96,Comb Hair
95767.644,528,672,-104,Comb Hair
95767.727,336,664,-368,Comb Hair
95767.810,376,584,-448,Comb Hair
95767.893,496,424,-688,Comb Hair
95767.976,600,264,-544,Comb Hair
95768.061,648,352,-328,Comb Hair
95768.142,616,280,-256,Comb Hair
95768.225,576,56,-400,Comb Hair
95768.308,424,-392,-600,Comb Hair
95768.391,320,-624,-576,Comb Hair
95768.474,568,-1064,208,Comb Hair
95768.557,472,-424,-264,Comb Hair
95768.640,120,-544,1152,Comb Hair
95768.723,-120,216,3024,Comb Hair
95768.806,32,1256,944,Comb Hair
95768.889,184,1104,744,Lower Hand
95768.972,-168,216,800,Lower Hand
95769.055,-512,608,512,Lower Hand
95769.139,-880,968,432,Lower Hand
95769.221,-808,808,32,Lower Hand
95769.304,-712,816,0,Inactive
95769.387,-688,672,-16,Inactive
95769.471,-752,712,32,Inactive
95769.554,-760,656,-56,Inactive
95769.637,-752,696,40,Inactive
