"Time(s)"," X"," Y"," Z"
"1418395822.398","400","696","-608"
"1418395822.484","408","688","-592"
"1418395822.564","376","800","-528"
"1418395822.649","344","792","-440"
"1418395822.730","272","744","-264"
"1418395822.813","224","1008","-80"
"1418395822.979","192","1008","-72"
"1418395823.062","192","968","-64"
"1418395823.145","96","928","-216"
"1418395823.394","80","1008","-160"
"1418395823.481","88","896","-328"
"1418395823.563","48","984","-272"
"1418395823.648","96","960","-216"
"1418395823.731","104","968","-360"
"1418395823.811","88","944","-384"
"1418395823.893","56","960","-472"
"1418395823.976","128","888","-352"
"1418395824.059","56","976","-176"
"1418395824.142","136","984","48"
"1418395824.225","120","920","-352"
"1418395824.308","56","936","-344"
"1418395824.394","120","1000","-176"
"1418395824.474","80","1008","-248"
"1418395824.557","160","976","80"
"1418395824.640","112","904","-440"
"1418395824.723","56","920","-336"
"1418395824.806","152","1040","-160"
"1418395824.890","136","984","-344"
"1418395824.973","168","912","-136"
"1418395825.056","200","936","-440"
"1418395825.222","208","1080","-136"
"1418395825.307","208","960","-376"
"1418395825.388","144","928","-168"
"1418395825.475","256","1024","-424"
"1418395825.554","160","960","-408"
"1418395825.637","208","1088","40"
"1418395825.720","248","864","-464"
"1418395825.803","200","960","-256"
"1418395825.886","264","936","-48"
"1418395825.969","176","896","-280"
"1418395826.052","176","872","-24"
"1418395826.136","224","768","-584"
"1418395826.220","168","888","-584"
"1418395826.302","200","968","-368"
"1418395826.385","248","1056","-200"
"1418395826.468","240","1072","152"
"1418395826.551","264","912","160"
"1418395826.634","-216","776","-136"
"1418395826.717","-64","920","-168"
"1418395826.800","88","1080","-136"
"1418395826.883","104","976","-224"
"1418395826.969","184","888","-32"
"1418395827.049","64","968","-120"
"1418395827.976","72","968","-232"
"1418395828.050","112","1016","-224"
"1418395828.137","104","984","-176"
"1418395828.212","120","1016","24"
"1418395828.295","112","1008","-264"
"1418395828.378","72","944","-248"
"1418395828.461","112","984","48"
"1418395828.544","96","1008","-136"
"1418395828.627","80","1032","-184"
"1418395828.710","80","1008","-168"
"1418395828.793","80","984","-184"
"1418395828.876","96","1032","-8"
"1418395828.959","56","984","-304"
"1418395829.042","112","936","-200"
"1418395829.125","128","1000","32"
"1418395829.208","72","984","-144"
"1418395829.291","72","984","-200"
"1418395829.375","104","968","8"
"1418395829.458","72","992","-80"
"1418395829.541","96","1048","-192"
"1418395829.625","56","952","-224"
"1418395829.708","72","976","-104"
"1418395829.875","80","1024","-256"
"1418395829.960","56","992","-320"
"1418395830.040","80","960","-104"
"1418395830.123","112","992","-104"
"1418395830.206","120","1032","-88"
"1418395830.289","112","1008","-96"
"1418395830.372","104","984","48"
"1418395830.455","40","1040","-40"
"1418395830.541","56","928","16"
"1418395830.621","64","1064","328"
"1418395830.705","104","992","688"
"1418395830.787","320","544","696"
"1418395830.871","256","720","-328"
"1418395830.954","240","976","-760"
"1418395831.037","192","1184","-280"
"1418395831.120","128","936","-192"
"1418395831.203","88","768","-344"
"1418395831.286","72","824","-552"
