Time(s), X, Y, Z,Gesture
1418395839.843,96,1024,-192,Draw
1418395840.005,304,968,-120,Draw
1418395840.089,328,912,-152,Draw
1418395840.172,376,888,-96,Draw
1418395840.256,352,928,-200,Draw
1418395840.342,360,936,-168,Draw
1418395840.420,336,904,-136,Draw
1418395840.503,304,952,-152,Draw
1418395840.586,304,984,16,Draw
1418395840.669,312,984,-80,Draw
1418395840.752,264,952,-192,Draw
1418395840.839,320,888,56,Draw
1418395840.919,408,992,152,Draw
1418395841.002,360,872,32,Draw
1418395841.087,296,928,-80,Draw
1418395841.168,240,784,-248,Draw
1418395841.251,256,1008,64,Draw
1418395841.334,280,1008,-24,Draw
1418395841.417,312,1024,-48,Draw
1418395841.590,200,928,-312,Draw
1418395841.666,272,960,-232,Draw
1418395841.750,256,976,-408,Draw
1418395841.833,256,776,-552,Draw
1418395841.916,288,888,-200,Draw
1418395841.999,232,696,-688,Draw
1418395842.082,280,920,-120,Draw
1418395842.165,296,944,-680,Draw
1418395842.248,296,856,-400,Draw
1418395842.332,312,904,-168,Draw
1418395842.415,304,632,-800,Draw
1418395842.497,288,1120,272,Draw
1418395842.581,312,704,-928,Draw
1418395842.664,272,904,-216,Draw
1418395842.747,296,880,-656,Draw
1418395842.832,336,728,-520,Draw
1418395842.913,344,992,-240,Draw
1418395842.996,336,544,-832,Draw
1418395843.079,312,1120,88,Draw
1418395843.162,360,632,-928,Draw
1418395843.245,336,832,-312,Draw
1418395843.328,352,848,-696,Draw
1418395843.411,328,768,-448,Draw
1418395843.743,384,800,-792,Draw
1418395843.826,344,720,-472,Draw
1418395843.910,360,832,-464,Draw
1418395843.993,344,528,-744,Draw
1418395844.076,344,1136,-24,Draw
1418395844.159,312,640,-952,Draw
1418395844.242,312,696,-368,Draw
1418395844.325,352,784,-560,Draw
1418395844.408,296,536,-736,Draw
1418395844.491,360,1088,-32,Draw
1418395844.574,328,560,-936,Draw
1418395844.657,336,936,-168,Draw
1418395845.951,424,824,-8,Draw
1418395846.069,240,896,-112,Draw
1418395846.152,152,896,-96,Draw
1418395846.235,144,912,-136,Draw
1418395846.318,144,968,-160,Draw
1418395846.401,128,984,-168,Draw
1418395846.484,128,992,-336,Draw
1418395846.567,144,1000,-120,Draw
1418395846.650,128,976,-312,Draw
1418395846.733,128,976,-272,Draw
1418395846.817,128,1008,-72,Draw
1418395846.983,112,1016,-152,Draw
1418395847.066,96,992,-400,Draw
1418395847.149,80,992,-256,Draw
1418395847.232,112,1024,-64,Draw
1418395847.315,72,1000,-144,Draw
1418395847.398,104,968,-256,Draw
1418395847.481,80,968,-304,Draw
1418395847.564,56,1000,-232,Draw
1418395847.647,72,1024,-152,Draw
1418395847.730,64,976,-320,Draw
1418395847.813,40,912,-296,Draw
1418395847.896,80,960,-48,Draw
1418395847.979,64,984,-80,Draw
1418395848.062,96,1024,-152,Draw
1418395848.145,80,944,-304,Draw
1418395848.228,48,944,-360,Draw
1418395848.315,80,976,-72,Draw
1418395848.395,72,1008,-192,Draw
1418395848.478,80,992,-200,Draw
1418395848.561,80,976,-352,Draw
1418395848.644,112,984,-240,Draw
1418395848.727,80,1024,-64,Draw
1418395848.810,80,1032,-112,Draw
1418395848.976,72,1032,-336,Draw
1418395849.059,88,1000,-272,Draw
1418395849.142,88,1032,-120,Draw
1418395849.225,80,1000,-216,Draw
1418395849.308,48,992,-208,Draw
1418395849.391,80,992,-392,Draw
1418395849.474,56,1000,-272,Draw
1418395849.557,72,968,-448,Draw
1418395849.640,64,992,-192,Draw
1418395849.723,136,992,-168,Draw
1418395849.807,56,928,16,Draw
1418395849.889,-16,1000,112,Draw
1418395849.973,56,1000,504,Raise Hand
1418395850.056,288,640,344,Raise Hand
1418395850.139,480,840,184,Raise Hand
1418395850.222,344,976,-328,Raise Hand
1418395850.305,232,752,-608,Raise Hand
1418395850.388,200,448,-704,Raise Hand
1418395850.471,192,600,-920,Raise Hand
1418395850.554,232,576,-920,Raise Hand
