Time(s), X, Y, Z,Gesture
1418236325.288,-1008,304,-224,Inactive
1418236325.367,-928,296,-128,Inactive
1418236325.439,-936,296,-280,Inactive
1418236325.522,-984,320,-176,Inactive
1418236325.605,-944,336,-240,Inactive
1418236325.693,-936,296,-144,Inactive
1418236325.771,-936,264,-184,Inactive
1418236325.854,-944,264,-208,Inactive
1418236325.937,-976,272,-152,Inactive
1418236326.020,-960,280,-200,Inactive
1418236326.103,-960,280,-176,Inactive
1418236326.186,-984,296,-152,Inactive
1418236326.436,-968,248,-208,Raise Hand
1418236326.519,-1024,424,-352,Raise Hand
1418236326.602,-1064,608,-552,Raise Hand
1418236326.685,-992,752,-512,Raise Hand
1418236326.768,-864,696,-496,Raise Hand
1418236326.851,-752,632,-504,Raise Hand
1418236326.934,-600,680,-552,Raise Hand
1418236327.020,-408,792,-544,Raise Hand
1418236327.101,-224,848,-488,Raise Hand
1418236327.184,8,784,-504,Raise Hand
1418236327.267,208,736,-440,Raise Hand
1418236327.354,360,680,-424,Raise Hand
1418236327.433,456,552,-344,Raise Hand
1418236327.516,584,472,-352,Raise Hand
1418236327.599,672,392,-320,Raise Hand
1418236327.682,728,336,-264,Raise Hand
1418236327.765,768,432,-144,Raise Hand
1418236327.848,736,616,-232,Brush Teeth
1418236327.932,744,640,-80,Brush Teeth
1418236328.014,912,456,16,Brush Teeth
1418236328.098,768,592,-48,Brush Teeth
1418236328.181,784,464,152,Brush Teeth
1418236328.265,832,600,-40,Brush Teeth
1418236328.347,720,632,-168,Brush Teeth
1418236328.430,904,504,224,Brush Teeth
1418236328.513,792,664,40,Brush Teeth
1418236328.596,784,464,-8,Brush Teeth
1418236328.685,864,536,168,Brush Teeth
1418236328.763,688,560,-200,Brush Teeth
1418236328.846,832,488,160,Brush Teeth
1418236328.929,792,560,24,Brush Teeth
1418236329.012,744,552,24,Brush Teeth
1418236329.095,888,576,272,Brush Teeth
1418236329.178,720,528,-232,Brush Teeth
1418236329.261,872,536,280,Brush Teeth
1418236329.344,816,712,-32,Brush Teeth
1418236329.427,784,536,120,Brush Teeth
1418236329.510,784,416,232,Brush Teeth
1418236329.593,688,560,56,Brush Teeth
1418236329.677,808,512,72,Brush Teeth
1418236329.760,832,488,200,Brush Teeth
1418236329.843,720,680,-96,Brush Teeth
1418236329.927,856,456,288,Brush Teeth
1418236330.009,792,568,24,Brush Teeth
1418236330.092,760,472,32,Brush Teeth
1418236330.175,864,488,360,Brush Teeth
1418236330.424,864,544,88,Brush Teeth
1418236330.511,728,592,16,Brush Teeth
1418236330.591,880,464,224,Brush Teeth
1418236330.675,792,600,96,Brush Teeth
1418236330.757,816,456,144,Brush Teeth
1418236330.841,880,544,248,Brush Teeth
1418236330.923,736,584,-88,Brush Teeth
1418236331.006,832,488,192,Brush Teeth
1418236331.089,800,624,112,Brush Teeth
1418236331.172,768,448,-8,Brush Teeth
1418236332.257,912,448,288,Brush Teeth
1418236332.348,888,416,360,Brush Teeth
1418236332.444,816,504,104,Brush Teeth
1418236332.502,856,592,120,Brush Teeth
1418236332.585,760,584,-168,Brush Teeth
1418236332.668,840,480,144,Brush Teeth
1418236332.751,800,656,24,Brush Teeth
1418236333.084,824,472,160,Brush Teeth
1418236333.167,824,592,40,Brush Teeth
1418236333.250,696,584,-296,Brush Teeth
1418236333.337,856,576,304,Brush Teeth
1418236333.416,792,624,-192,Brush Teeth
1418236333.500,752,560,152,Brush Teeth
1418236333.583,896,552,136,Brush Teeth
1418236333.832,832,600,-40,Brush Teeth
1418236333.916,768,488,-120,Brush Teeth
1418236334.005,864,568,168,Brush Teeth
1418236334.082,760,520,-216,Brush Teeth
1418236334.165,856,504,120,Brush Teeth
1418236334.248,832,568,0,Brush Teeth
1418236334.331,736,480,-136,Brush Teeth
1418236334.414,856,584,232,Brush Teeth
1418236334.497,784,544,-192,Brush Teeth
1418236334.588,800,488,24,Brush Teeth
1418236334.663,840,600,200,Brush Teeth
1418236334.746,712,544,-416,Brush Teeth
1418236334.829,840,552,208,Brush Teeth
1418236334.916,808,560,-48,Brush Teeth
1418236334.996,736,480,-120,Brush Teeth
1418236335.079,840,600,328,Brush Teeth
1418236335.162,752,584,-344,Brush Teeth
1418236335.245,832,552,208,Brush Teeth
1418236335.328,776,624,-120,Brush Teeth
1418236335.411,752,528,-120,Brush Teeth
1418236335.496,880,560,344,Brush Teeth
1418236335.577,760,568,-136,Brush Teeth
1418236335.663,840,496,216,Brush Teeth
1418236335.910,888,520,472,Brush Teeth
1418236335.993,776,592,-32,Brush Teeth
1418236336.076,760,432,120,Brush Teeth
1418236336.159,832,560,152,Brush Teeth
1418236336.250,696,568,-184,Brush Teeth
1418236336.325,864,552,416,Brush Teeth
1418236336.409,776,632,72,Brush Teeth
1418236336.491,728,464,240,Brush Teeth
1418236336.574,848,600,296,Brush Teeth
1418236336.657,720,496,-208,Brush Teeth
1418236336.740,832,536,240,Brush Teeth
1418236336.823,848,672,152,Brush Teeth
1418236336.906,736,552,56,Brush Teeth
1418236336.990,864,560,328,Brush Teeth
1418236337.073,704,496,-240,Brush Teeth
1418236337.159,776,568,152,Brush Teeth
1418236337.244,824,616,96,Brush Teeth
1418236337.322,744,520,-32,Brush Teeth
1418236337.405,864,600,192,Brush Teeth
1418236337.489,680,432,-272,Brush Teeth
1418236337.571,664,504,16,Brush Teeth
1418236337.654,792,664,-32,Brush Teeth
1418236337.737,912,536,-24,Brush Teeth
1418236337.820,944,144,-200,Brush Teeth
1418236337.903,880,176,-776,Brush Teeth
1418236337.987,840,144,-680,Brush Teeth
1418236338.153,768,-160,-424,Brush Teeth
1418236338.236,888,80,-800,Brush Teeth
1418236338.319,720,-104,-352,Brush Teeth
1418236338.402,824,-40,-904,Brush Teeth
1418236338.485,816,136,-624,Brush Teeth
1418236338.568,744,-224,-400,Brush Teeth
1418236338.651,920,224,-920,Brush Teeth
1418236338.734,696,0,-384,Brush Teeth
1418236338.823,824,-72,-888,Brush Teeth
1418236338.901,872,184,-696,Brush Teeth
1418236338.986,712,-136,-424,Brush Teeth
1418236339.067,872,208,-992,Brush Teeth
1418236339.150,728,48,-432,Brush Teeth
1418236339.233,768,-104,-704,Brush Teeth
1418236339.316,840,144,-808,Brush Teeth
1418236339.399,672,-168,-384,Brush Teeth
1418236339.482,880,160,-1072,Brush Teeth
1418236339.565,736,24,-328,Brush Teeth
1418236339.648,704,-120,-600,Brush Teeth
1418236339.735,872,240,-936,Brush Teeth
1418236339.814,632,-120,-312,Brush Teeth
1418236339.897,864,0,-952,Brush Teeth
1418236339.980,888,152,-576,Brush Teeth
1418236340.068,696,-208,-408,Brush Teeth
1418236340.146,920,112,-1024,Brush Teeth
1418236340.230,752,56,-376,Brush Teeth
1418236340.313,672,-184,-512,Brush Teeth
1418236340.396,952,64,-760,Brush Teeth
1418236340.479,728,-48,-280,Brush Teeth
1418236340.562,688,-168,-512,Brush Teeth
1418236340.645,928,96,-792,Brush Teeth
1418236340.728,696,-104,-352,Brush Teeth
1418236340.811,696,-232,-720,Brush Teeth
1418236341.143,848,-16,-640,Brush Teeth
1418236341.226,680,-144,-544,Brush Teeth
1418236341.309,840,-152,-840,Brush Teeth
1418236341.393,864,-24,-568,Brush Teeth
1418236341.476,672,-120,-576,Brush Teeth
1418236341.561,728,-32,-568,Brush Teeth
1418236341.642,936,88,-384,Brush Teeth
1418236341.725,864,136,-336,Brush Teeth
1418236341.808,680,288,-400,Brush Teeth
1418236341.891,848,464,-360,Brush Teeth
1418236341.974,944,528,-296,Brush Teeth
1418236342.223,896,296,-424,Brush Teeth
1418236342.307,656,288,-256,Brush Teeth
1418236342.389,968,464,136,Brush Teeth
1418236342.473,848,312,-472,Brush Teeth
1418236342.556,752,240,-360,Brush Teeth
1418236342.639,1040,520,32,Brush Teeth
1418236342.722,784,272,-664,Brush Teeth
1418236342.805,744,256,-360,Brush Teeth
1418236342.888,1032,408,-128,Brush Teeth
1418236342.971,672,96,-592,Brush Teeth
1418236343.055,856,224,-152,Brush Teeth
1418236343.137,1000,424,-328,Brush Teeth
1418236343.220,688,304,-560,Brush Teeth
1418236343.304,904,336,-56,Brush Teeth
1418236343.386,984,480,-112,Brush Teeth
1418236343.470,672,360,-416,Brush Teeth
1418236343.553,992,440,168,Brush Teeth
1418236343.636,816,440,-264,Brush Teeth
1418236343.719,792,352,-120,Brush Teeth
1418236343.802,976,488,-56,Brush Teeth
1418236343.885,696,392,-416,Brush Teeth
1418236343.969,992,504,184,Brush Teeth
1418236344.051,880,416,-176,Brush Teeth
1418236344.134,680,248,-200,Brush Teeth
1418236344.217,1024,480,-72,Brush Teeth
1418236344.301,736,320,-448,Brush Teeth
1418236344.384,864,432,32,Brush Teeth
1418236344.467,984,552,16,Brush Teeth
1418236344.554,736,376,-256,Brush Teeth
1418236344.633,1000,584,280,Brush Teeth
1418236344.718,824,288,-320,Brush Teeth
1418236344.799,800,224,-88,Brush Teeth
1418236344.882,976,392,-64,Brush Teeth
1418236344.965,744,256,-400,Brush Teeth
1418236345.048,912,392,80,Brush Teeth
1418236345.131,888,520,-144,Brush Teeth
1418236345.215,768,320,-256,Brush Teeth
1418236345.298,968,592,216,Brush Teeth
1418236345.381,736,408,-488,Brush Teeth
1418236345.466,880,472,40,Brush Teeth
1418236345.547,952,664,-16,Brush Teeth
1418236345.630,712,320,-448,Brush Teeth
1418236345.713,968,536,368,Brush Teeth
1418236345.796,800,576,-96,Brush Teeth
1418236345.879,704,472,56,Brush Teeth
1418236345.962,896,696,360,Brush Teeth
1418236346.130,968,720,712,Brush Teeth
1418236346.211,656,392,-472,Brush Teeth
1418236346.294,864,504,608,Brush Teeth
1418236346.380,808,528,-144,Brush Teeth
1418236346.461,728,400,-48,Brush Teeth
1418236346.546,960,616,704,Brush Teeth
1418236346.627,672,320,-528,Brush Teeth
1418236346.710,840,456,432,Brush Teeth
1418236346.793,856,512,-8,Brush Teeth
1418236346.876,672,384,-40,Brush Teeth
1418236346.959,952,600,656,Brush Teeth
1418236347.042,712,384,-592,Brush Teeth
1418236347.126,848,536,456,Brush Teeth
1418236347.208,832,520,-152,Brush Teeth
1418236347.291,664,536,-256,Brush Teeth
1418236347.375,928,608,392,Brush Teeth
1418236347.458,1032,376,248,Brush Teeth
1418236347.541,712,152,-672,Brush Teeth
1418236347.625,880,400,112,Brush Teeth
1418236347.708,888,384,-432,Brush Teeth
1418236347.791,792,256,-120,Brush Teeth
1418236347.878,1008,384,8,Brush Teeth
1418236347.957,768,304,-560,Brush Teeth
1418236348.129,776,352,-816,Brush Teeth
1418236348.211,952,408,408,Brush Teeth
1418236348.290,824,320,-728,Brush Teeth
1418236348.373,848,256,-88,Brush Teeth
1418236348.456,960,352,-96,Brush Teeth
1418236348.540,816,224,-344,Brush Teeth
1418236348.622,984,272,272,Brush Teeth
1418236348.705,800,296,-632,Brush Teeth
1418236348.790,1008,376,464,Brush Teeth
1418236349.076,944,336,-120,Brush Teeth
1418236349.204,1080,344,576,Brush Teeth
1418236349.287,784,328,-1032,Brush Teeth
1418236349.370,888,376,368,Brush Teeth
1418236349.453,912,192,-392,Brush Teeth
1418236349.536,864,352,-136,Brush Teeth
1418236349.619,968,392,-48,Brush Teeth
1418236350.208,608,-392,-464,Brush Teeth
1418236350.283,800,-320,-728,Brush Teeth
1418236350.371,872,-264,-768,Brush Teeth
1418236350.450,560,-456,-528,Brush Teeth
1418236350.533,816,-248,-784,Brush Teeth
1418236350.616,824,-272,-720,Brush Teeth
1418236350.699,576,-376,-616,Brush Teeth
1418236350.865,832,-280,-616,Brush Teeth
1418236350.954,576,-440,-632,Brush Teeth
1418236351.031,832,-320,-824,Brush Teeth
1418236351.115,840,-336,-688,Brush Teeth
1418236351.198,592,-400,-528,Brush Teeth
1418236351.281,904,-344,-816,Brush Teeth
1418236351.364,720,-376,-400,Brush Teeth
1418236351.447,592,-376,-504,Brush Teeth
1418236351.530,936,-336,-712,Brush Teeth
1418236351.613,696,-368,-472,Brush Teeth
1418236351.696,688,-376,-440,Brush Teeth
1418236351.779,896,-288,-752,Brush Teeth
1418236351.863,584,-416,-288,Brush Teeth
1418236351.945,648,-392,-560,Brush Teeth
1418236352.028,800,-136,-880,Brush Teeth
1418236352.111,824,-112,-808,Brush Teeth
1418236352.194,800,-192,-800,Brush Teeth
1418236352.277,624,-336,-152,Brush Teeth
1418236352.360,864,-104,-1216,Brush Teeth
1418236352.443,792,-120,-528,Brush Teeth
1418236352.526,648,-320,-416,Brush Teeth
1418236352.610,880,-40,-1000,Brush Teeth
1418236352.693,720,-304,-256,Brush Teeth
1418236352.859,912,-72,-840,Brush Teeth
1418236352.942,680,-248,-336,Brush Teeth
1418236353.026,704,-288,-512,Brush Teeth
1418236353.108,896,-80,-688,Brush Teeth
1418236353.191,664,-328,-192,Brush Teeth
1418236353.274,752,-264,-544,Brush Teeth
1418236353.357,888,-96,-728,Brush Teeth
1418236353.440,624,-296,-328,Brush Teeth
1418236353.523,800,-192,-632,Brush Teeth
1418236353.606,824,-88,-736,Brush Teeth
1418236353.689,616,-184,-408,Brush Teeth
1418236353.772,768,-176,-624,Brush Teeth
1418236353.855,832,-128,-768,Brush Teeth
1418236353.939,712,-224,-440,Brush Teeth
1418236354.021,784,-96,-896,Brush Teeth
1418236354.105,712,-192,-616,Brush Teeth
1418236354.188,752,-120,-872,Brush Teeth
1418236354.271,736,-112,-760,Brush Teeth
1418236354.354,688,-304,-520,Brush Teeth
1418236354.440,928,-96,-840,Brush Teeth
1418236354.520,728,-336,-440,Brush Teeth
1418236354.612,784,-296,-656,Brush Teeth
1418236354.686,800,-152,-680,Brush Teeth
1418236354.769,592,-392,-456,Brush Teeth
1418236354.853,808,-248,-840,Brush Teeth
1418236354.936,664,-344,-704,Brush Teeth
1418236355.019,640,-312,-648,Brush Teeth
1418236355.102,816,-112,-768,Brush Teeth
1418236355.189,600,-272,-568,Brush Teeth
1418236355.853,776,-416,-576,Brush Teeth
1418236355.932,792,-128,-560,Brush Teeth
1418236356.016,712,-576,-600,Brush Teeth
1418236356.099,784,-208,-392,Brush Teeth
1418236356.182,712,-512,-616,Brush Teeth
1418236356.514,752,-592,-648,Brush Teeth
1418236356.597,848,-280,-472,Brush Teeth
1418236356.681,760,-512,-560,Brush Teeth
1418236356.763,888,-384,-720,Brush Teeth
1418236356.846,856,-416,-616,Brush Teeth
1418236356.929,848,-344,-440,Brush Teeth
1418236357.013,880,-152,-648,Brush Teeth
1418236357.096,768,-552,-376,Brush Teeth
1418236357.179,936,-120,-488,Brush Teeth
1418236357.262,824,-400,-688,Brush Teeth
1418236357.347,768,-528,-328,Brush Teeth
1418236357.428,808,-232,-480,Brush Teeth
1418236357.511,776,-624,-456,Brush Teeth
1418236357.594,912,-56,-512,Brush Teeth
1418236357.760,880,-304,-544,Brush Teeth
1418236357.843,824,-312,-560,Brush Teeth
1418236357.926,792,-336,-432,Brush Teeth
1418236358.012,864,-224,-544,Brush Teeth
1418236358.100,840,-312,-656,Brush Teeth
1418236358.176,800,-456,-456,Brush Teeth
1418236358.260,848,-392,-344,Brush Teeth
1418236358.342,800,-368,-504,Brush Teeth
1418236358.508,856,-328,-552,Brush Teeth
1418236358.674,776,-384,-560,Brush Teeth
1418236358.769,864,-400,-488,Brush Teeth
1418236358.841,720,-512,-352,Brush Teeth
1418236358.924,896,-256,-752,Brush Teeth
1418236359.007,736,-544,-336,Brush Teeth
1418236359.090,784,-176,-464,Brush Teeth
1418236359.173,776,-680,-616,Brush Teeth
1418236359.256,736,-144,-408,Brush Teeth
1418236359.339,712,-432,-616,Brush Teeth
1418236359.422,736,-280,-640,Brush Teeth
1418236359.506,736,-272,-776,Brush Teeth
1418236359.589,808,-376,-512,Brush Teeth
1418236359.672,752,-408,-640,Brush Teeth
1418236359.755,768,-336,-632,Brush Teeth
1418236359.838,760,-408,-480,Brush Teeth
1418236359.921,792,-304,-552,Brush Teeth
1418236360.004,824,-528,-360,Brush Teeth
1418236360.087,704,-352,-560,Brush Teeth
1418236360.170,744,-160,-568,Brush Teeth
1418236360.253,752,-448,-712,Brush Teeth
1418236360.336,776,-360,-520,Brush Teeth
1418236360.419,768,-336,-656,Brush Teeth
1418236360.502,744,-544,-824,Brush Teeth
1418236360.668,816,-152,-672,Brush Teeth
1418236360.834,712,-488,-616,Brush Teeth
1418236361.506,776,-384,-824,Brush Teeth
1418236361.583,672,-472,-528,Brush Teeth
1418236361.666,728,-96,-720,Brush Teeth
1418236361.749,712,-704,-640,Brush Teeth
1418236361.832,720,56,-576,Brush Teeth
1418236361.915,672,-560,-608,Brush Teeth
1418236361.998,760,-152,-688,Brush Teeth
1418236362.082,688,-496,-728,Brush Teeth
1418236362.165,688,-312,-616,Brush Teeth
1418236362.248,656,-280,-832,Brush Teeth
1418236362.331,648,-384,-656,Brush Teeth
1418236362.414,792,-192,-696,Brush Teeth
1418236362.497,816,-248,-792,Brush Teeth
1418236362.580,528,-296,-336,Brush Teeth
1418236362.663,800,-216,-920,Brush Teeth
1418236362.746,784,-272,-728,Brush Teeth
1418236362.829,576,-304,-408,Brush Teeth
1418236362.915,872,-176,-992,Brush Teeth
1418236362.995,664,-216,-560,Brush Teeth
1418236363.078,680,-296,-544,Brush Teeth
1418236363.161,800,-288,-904,Brush Teeth
1418236363.244,672,-152,-664,Brush Teeth
1418236363.327,824,-8,-448,Brush Teeth
1418236363.410,816,232,-264,Brush Teeth
1418236363.493,832,576,104,Brush Teeth
1418236363.576,624,432,-400,Brush Teeth
1418236363.660,848,616,416,Brush Teeth
1418236363.743,776,760,-48,Brush Teeth
1418236363.826,688,488,-200,Brush Teeth
1418236363.909,888,792,432,Brush Teeth
1418236363.992,672,392,-936,Brush Teeth
1418236364.075,880,592,344,Brush Teeth
1418236364.158,840,360,-600,Brush Teeth
1418236364.241,816,392,160,Brush Teeth
1418236364.573,784,352,-312,Brush Teeth
1418236364.656,856,424,-184,Brush Teeth
1418236364.739,768,384,-248,Brush Teeth
1418236364.822,832,448,-208,Brush Teeth
1418236364.905,784,376,-312,Brush Teeth
1418236364.988,840,448,-216,Brush Teeth
1418236365.071,800,368,-184,Brush Teeth
1418236365.154,832,432,-72,Brush Teeth
1418236365.237,784,400,-400,Brush Teeth
1418236365.320,880,328,256,Brush Teeth
1418236365.403,704,648,-608,Brush Teeth
1418236365.487,872,560,416,Brush Teeth
1418236365.570,752,584,-680,Brush Teeth
1418236365.653,912,584,720,Brush Teeth
1418236365.736,792,488,-472,Brush Teeth
1418236365.819,840,568,528,Brush Teeth
1418236365.902,848,448,-392,Brush Teeth
1418236365.985,896,568,400,Brush Teeth
1418236366.068,912,392,-264,Brush Teeth
1418236366.234,856,432,-280,Brush Teeth
1418236366.317,704,504,-96,Brush Teeth
1418236366.400,824,520,32,Brush Teeth
1418236367.075,744,456,-248,Brush Teeth
1418236367.148,880,424,-8,Brush Teeth
1418236367.231,744,368,-656,Brush Teeth
1418236367.314,928,432,72,Brush Teeth
1418236367.397,816,424,-432,Brush Teeth
1418236367.480,808,208,-392,Brush Teeth
1418236367.563,888,296,-136,Brush Teeth
1418236367.646,840,384,-472,Brush Teeth
1418236367.729,880,400,-88,Brush Teeth
1418236367.812,904,432,-240,Brush Teeth
1418236367.895,824,160,-568,Brush Teeth
1418236367.978,928,496,0,Brush Teeth
1418236368.066,880,496,-312,Brush Teeth
1418236368.145,856,96,-368,Brush Teeth
1418236368.228,976,544,104,Brush Teeth
1418236368.311,864,336,-528,Brush Teeth
1418236368.395,816,112,-256,Brush Teeth
1418236368.477,952,432,-64,Brush Teeth
1418236368.560,800,168,-792,Brush Teeth
1418236368.643,864,256,-240,Brush Teeth
1418236368.726,912,376,-272,Brush Teeth
1418236368.809,744,72,-632,Brush Teeth
