Time(s), X, Y, Z,Gesture
1418236085.401,-984,272,-96,Inactive
1418236085.484,-984,264,-112,Inactive
1418236085.650,-992,272,-152,Inactive
1418236085.733,-976,272,-160,Inactive
1418236085.820,-968,256,-128,Inactive
1418236085.899,-984,232,-168,Inactive
1418236085.982,-976,224,-184,Inactive
1418236086.066,-992,248,-240,Inactive
1418236086.149,-976,256,-208,Inactive
1418236086.315,-968,256,-168,Inactive
1418236086.398,-968,280,-184,Inactive
1418236086.481,-960,296,-216,Inactive
1418236086.564,-976,352,-232,Inactive
1418236086.651,-1000,448,-328,Inactive
1418236086.730,-1024,584,-384,Inactive
1418236086.814,-1016,744,-440,Raise Hand
1418236086.896,-912,840,-480,Raise Hand
1418236086.983,-736,872,-400,Raise Hand
1418236087.063,-488,784,-336,Raise Hand
1418236087.146,-152,744,-320,Raise Hand
1418236087.229,56,744,-320,Raise Hand
1418236087.312,280,736,-256,Raise Hand
1418236087.395,400,720,-288,Raise Hand
1418236087.478,544,600,-232,Raise Hand
1418236087.567,648,616,-48,Scratch Chin
1418236087.644,720,640,88,Scratch Chin
1418236087.727,712,568,-24,Scratch Chin
1418236087.810,728,520,128,Scratch Chin
1418236087.894,744,528,40,Scratch Chin
1418236087.978,800,568,112,Scratch Chin
1418236088.060,824,632,112,Scratch Chin
1418236088.143,776,576,48,Scratch Chin
1418236088.309,792,512,32,Scratch Chin
1418236088.392,824,592,144,Scratch Chin
1418236088.475,808,592,8,Scratch Chin
1418236088.558,752,536,8,Scratch Chin
1418236088.641,800,536,24,Scratch Chin
1418236088.724,832,600,120,Scratch Chin
1418236088.807,792,568,88,Scratch Chin
1418236088.890,712,528,64,Scratch Chin
1418236088.973,624,512,-32,Scratch Chin
1418236089.056,608,608,80,Scratch Chin
1418236089.139,584,592,56,Lower Hand
1418236089.222,432,632,96,Lower Hand
1418236089.306,232,768,168,Lower Hand
1418236089.389,48,880,280,Lower Hand
1418236089.472,-200,1000,136,Lower Hand
1418236089.555,-504,944,80,Lower Hand
1418236089.638,-816,928,-128,Lower Hand
1418236089.721,-992,768,-168,Lower Hand
1418236089.804,-1104,656,-272,Lower Hand
1418236089.887,-1112,536,-256,Lower Hand
1418236089.970,-1024,408,-176,Lower Hand
1418236090.053,-968,288,-184,Inactive
1418236090.136,-952,256,-200,Inactive
