Time(s), X, Y, Z,Gesture
1418235995.910,-416,784,-728,Inactive
1418235995.994,-376,760,-560,Inactive
1418235996.325,-424,760,-496,Inactive
1418235996.664,-424,832,-512,Inactive
1418235996.741,-408,848,-432,Inactive
1418235996.824,-400,816,-440,Inactive
1418235996.907,-400,840,-464,Inactive
1418235996.990,-424,848,-480,Inactive
1418235997.073,-416,840,-480,Inactive
1418235997.156,-424,816,-472,Inactive
1418235997.239,-416,832,-448,Draw
1418235997.322,-368,800,-464,Draw
1418235997.412,-400,824,-472,Draw
1418235997.488,-392,824,-536,Draw
1418235997.571,-400,824,-496,Draw
1418235997.654,-408,816,-544,Draw
1418235997.737,-440,824,-464,Draw
1418235997.820,-400,808,-488,Draw
1418235997.903,-384,808,-568,Draw
1418235997.987,-400,792,-552,Draw
1418235998.070,-408,792,-584,Draw
1418235998.153,-400,784,-640,Draw
1418235998.236,-384,768,-520,Draw
1418235998.319,-392,864,-344,Draw
1418235998.402,-400,904,-408,Draw
1418235998.568,-392,768,-672,Draw
1418235998.651,-392,688,-704,Draw
1418235998.734,-400,728,-584,Draw
1418235998.817,-416,880,-368,Draw
1418235998.900,-416,904,-392,Draw
1418235998.983,-408,896,-496,Draw
1418235999.066,-384,720,-752,Draw
1418235999.149,-368,688,-712,Draw
1418235999.233,-392,768,-544,Draw
1418235999.316,-416,896,-328,Draw
1418235999.399,-392,936,-320,Draw
1418235999.482,-408,872,-568,Draw
1418235999.565,-432,664,-856,Draw
1418235999.648,-416,704,-632,Draw
1418235999.731,-392,864,-352,Draw
1418235999.814,-424,936,-320,Draw
1418235999.897,-400,896,-440,Draw
1418235999.980,-400,712,-808,Draw
1418236000.064,-416,656,-720,Draw
1418236000.147,-408,800,-376,Draw
1418236000.230,-408,936,-200,Draw
1418236000.313,-416,904,-312,Draw
1418236000.562,-416,752,-504,Draw
1418236000.645,-400,920,-224,Draw
1418236000.731,-400,944,-312,Draw
