Time(s), X, Y, Z,Gesture
1418220876.543,-264,1032,-88,Inactive
1418220876.707,-232,1000,-88,Inactive
1418220876.790,-248,1040,-64,Inactive
1418220876.873,-328,1384,24,Raise Hand
1418220876.956,-104,1752,-360,Raise Hand
1418220877.039,88,1248,-304,Raise Hand
1418220877.122,272,584,-248,Raise Hand
1418220877.206,440,184,-288,Raise Hand
1418220877.289,480,-296,-48,Raise Hand
1418220877.372,472,-520,56,Raise Hand
1418220877.458,672,-368,-328,Raise Hand
1418220877.538,928,-368,-744,Raise Hand
1418220877.621,992,-336,-352,Scratch Chin
1418220877.954,912,-280,-400,Scratch Chin
1418220878.037,952,-88,-368,Scratch Chin
1418220878.120,968,400,624,Scratch Chin
1418220878.203,832,536,-8,Scratch Chin
1418220878.287,792,360,-56,Scratch Chin
1418220878.370,896,424,-56,Scratch Chin
1418220878.453,1040,352,48,Scratch Chin
1418220878.536,832,408,64,Scratch Chin
1418220878.619,864,496,16,Scratch Chin
1418220878.702,912,344,144,Scratch Chin
1418220878.785,992,296,-72,Scratch Chin
1418220878.868,840,400,112,Scratch Chin
1418220879.037,904,496,320,Scratch Chin
1418220879.117,760,288,-288,Lower Hand
1418220879.201,680,352,-96,Lower Hand
1418220879.284,544,280,-72,Lower Hand
1418220879.367,496,512,160,Lower Hand
1418220879.450,272,984,216,Lower Hand
1418220879.533,40,1192,88,Lower Hand
1418220879.616,-208,1224,104,Lower Hand
1418220879.699,-488,1264,0,Lower Hand
1418220879.782,-592,1288,200,Lower Hand
1418220879.865,-544,1112,24,Inactive
1418220879.948,-536,936,-24,Inactive
1418220880.032,-496,928,96,Inactive
1418220880.115,-424,856,136,Inactive
1418220880.198,-440,896,80,Inactive
