Time(s), X, Y, Z,Gesture
1418220852.523,-288,976,152,Inactive
1418220852.689,-272,1000,104,Inactive
1418220852.772,-280,1056,120,Inactive
1418220852.856,-352,1488,152,Raise Hand
1418220852.940,-48,2088,552,Raise Hand
1418220853.022,8,1408,240,Raise Hand
1418220853.109,160,552,40,Raise Hand
1418220853.190,384,320,-72,Raise Hand
1418220853.271,544,-64,-272,Raise Hand
1418220853.354,584,-64,-712,Comb Hair
1418220853.437,720,168,-600,Comb Hair
1418220853.520,616,96,-792,Comb Hair
1418220853.604,608,48,-728,Comb Hair
1418220853.687,640,48,-792,Comb Hair
1418220853.771,584,80,-752,Comb Hair
1418220853.853,512,-8,-728,Comb Hair
1418220853.943,440,-168,-680,Comb Hair
1418220854.024,464,-496,-752,Comb Hair
1418220854.103,496,-512,-768,Comb Hair
1418220854.186,480,-368,-704,Comb Hair
1418220854.269,448,-704,-760,Comb Hair
1418220854.435,584,-512,-800,Comb Hair
1418220854.521,576,-576,-728,Comb Hair
1418220854.601,408,-680,-736,Comb Hair
1418220854.684,328,-608,-720,Comb Hair
1418220854.767,424,-744,-416,Comb Hair
1418220854.851,744,-544,-408,Comb Hair
1418220854.934,1064,184,-256,Comb Hair
1418220855.017,1184,288,-384,Comb Hair
1418220855.100,920,-8,-752,Comb Hair
1418220855.183,704,32,-840,Comb Hair
1418220855.269,640,-8,-864,Comb Hair
1418220855.350,584,8,-672,Comb Hair
1418220855.432,480,-96,-848,Comb Hair
1418220855.516,416,-88,-760,Comb Hair
1418220855.604,440,-176,-744,Comb Hair
1418220855.682,480,-416,-592,Comb Hair
1418220855.765,504,-488,-704,Comb Hair
1418220855.848,504,-648,-464,Comb Hair
1418220855.931,416,-728,-664,Comb Hair
1418220856.014,432,-528,-624,Comb Hair
1418220856.098,472,-552,-640,Comb Hair
1418220856.181,584,-616,-432,Lower Hand
1418220856.264,576,-432,-200,Lower Hand
1418220856.351,632,-360,-16,Lower Hand
1418220856.430,712,64,416,Lower Hand
1418220856.513,544,672,176,Lower Hand
1418220856.596,168,1072,-272,Lower Hand
1418220856.679,-232,1296,-32,Lower Hand
1418220856.763,-520,1160,24,Lower Hand
1418220856.846,-752,1472,24,Lower Hand
1418220856.930,-648,1440,-8,Lower Hand
1418220857.012,-544,1104,56,Lower Hand
1418220857.097,-544,904,120,Inactive
1418220857.178,-512,824,128,Inactive
1418220857.261,-504,848,88,Inactive
1418220857.344,-488,912,144,Inactive
