Time(s), X, Y, Z,Gesture
1418220949.538,-296,888,-448,Draw
1418220949.641,-280,880,-328,Draw
1418220949.704,-272,920,-320,Draw
1418220949.790,-288,912,-448,Draw
1418220949.871,-248,848,-544,Draw
1418220949.954,-272,936,-456,Draw
1418220950.037,-280,928,-368,Draw
1418220950.120,-272,896,-368,Draw
1418220950.203,-256,896,-488,Draw
1418220950.286,-232,1000,-400,Draw
1418220950.369,-264,848,-568,Draw
1418220950.453,-280,880,-480,Draw
1418220950.536,-264,992,-320,Draw
1418220950.619,-288,896,-552,Draw
1418220950.702,-296,712,-592,Draw
1418220950.785,-288,1072,-64,Draw
1418220950.868,-360,944,-408,Draw
1418220950.952,-288,752,-664,Draw
1418220951.035,-248,1136,8,Draw
1418220951.118,-320,840,-640,Draw
1418220951.201,-416,744,-672,Draw
1418220951.284,-272,1104,80,Draw
1418220951.367,-304,968,-424,Draw
1418220951.699,-312,840,-424,Draw
1418220951.949,-336,880,-288,Draw
1418220952.032,-296,992,-400,Draw
1418220952.115,-344,776,-744,Draw
1418220952.198,-344,864,-288,Draw
1418220952.281,-272,1032,-376,Draw
1418220952.364,-376,728,-792,Draw
1418220952.447,-352,904,-144,Draw
1418220952.530,-288,992,-496,Draw
1418220952.614,-320,648,-896,Draw
1418220952.697,-312,880,-88,Draw
1418220952.780,-240,944,-512,Draw
1418220952.863,-320,592,-888,Draw
1418220952.946,-320,872,-88,Draw
1418220953.029,-240,992,-456,Draw
1418220953.112,-368,696,-952,Draw
1418220953.195,-328,848,-328,Draw
1418220953.278,-296,1000,-312,Draw
1418220953.362,-344,840,-688,Draw
1418220953.445,-312,800,-416,Draw
1418220953.528,-288,1072,-496,Draw
1418220953.611,-272,672,-880,Draw
1418220953.694,-160,920,-64,Draw
1418220953.777,-288,1040,-160,Draw
1418220953.860,-408,920,-144,Draw
1418220953.943,-416,912,-264,Draw
1418220954.026,-376,928,-352,Draw
1418220954.109,-304,904,-296,Draw
1418220954.193,-312,928,-496,Draw
1418220954.276,-360,872,-560,Draw
1418220954.359,-288,920,-384,Draw
1418220956.375,-336,816,-528,Draw
1418220956.436,-296,952,-344,Draw
1418220956.519,-400,936,-448,Draw
1418220956.602,-280,944,-384,Draw
1418220956.686,-272,928,-576,Draw
1418220956.769,-352,872,-432,Draw
1418220956.852,-336,896,-336,Draw
1418220956.935,-344,856,-504,Draw
1418220957.018,-352,880,-368,Draw
1418220957.101,-360,912,-312,Draw
1418220957.192,-408,896,-232,Draw
1418220957.267,-480,984,-48,Draw
1418220957.350,-384,1000,-256,Draw
1418220957.434,-152,792,-736,Draw
1418220957.517,-112,904,-632,Draw
1418220957.600,-208,896,-528,Draw
1418220957.683,-248,944,-280,Draw
1418220957.766,-288,952,-456,Draw
1418220957.849,-328,704,-664,Draw
1418220957.932,-304,1000,-120,Draw
1418220958.015,-336,888,-576,Draw
1418220958.098,-320,840,-440,Draw
1418220958.182,-288,1048,32,Draw
1418220958.265,-344,912,-176,Draw
1418220958.348,-280,856,-384,Draw
1418220958.680,-328,936,-288,Draw
1418220958.763,-344,824,-584,Draw
1418220958.850,-320,1048,-56,Draw
1418220958.929,-360,928,-408,Draw
1418220959.012,-328,904,-224,Draw
1418220959.095,-312,992,-352,Draw
1418220959.179,-288,712,-680,Draw
1418220959.262,-312,952,-64,Draw
1418220959.345,-296,1000,-464,Draw
1418220959.428,-336,816,-648,Draw
1418220959.511,-320,992,24,Draw
1418220959.594,-360,968,-384,Draw
1418220959.677,-384,800,-536,Draw
1418220959.760,-328,1024,-48,Draw
1418220959.843,-368,824,-600,Draw
1418220959.926,-328,888,-352,Draw
1418220960.010,-344,1056,-392,Draw
1418220960.259,-200,976,32,Draw
1418220960.342,-312,992,-264,Draw
1418220960.425,-320,856,-208,Draw
1418220960.508,-392,896,-136,Draw
1418220960.591,-360,936,-304,Draw
1418220960.674,-416,880,-408,Draw
1418220960.757,-328,1032,-392,Draw
1418220960.840,-288,768,-240,Draw
1418220960.924,-360,944,-264,Draw
1418220961.007,-336,1048,-512,Draw
1418220961.090,-264,832,-200,Draw
1418220961.173,-360,888,-488,Draw
1418220961.256,-352,984,-480,Draw
1418220961.339,-344,904,-312,Draw
1418220962.012,-328,896,-296,Draw
1418220962.170,-304,896,-280,Draw
1418220962.253,-288,944,-312,Draw
1418220962.336,-400,864,-168,Draw
1418220962.419,-304,936,-184,Draw
1418220962.502,-328,992,-368,Draw
1418220962.585,-376,920,-256,Draw
1418220962.669,-312,992,-352,Draw
1418220962.752,-344,896,-576,Draw
1418220962.835,-392,880,-288,Draw
1418220962.918,-376,1104,-408,Draw
1418220963.001,-352,872,-344,Draw
1418220963.084,-328,944,-216,Draw
1418220963.167,-392,928,-160,Draw
1418220963.250,-352,904,-416,Draw
1418220963.333,-376,952,-280,Draw
1418220963.416,-296,992,40,Draw
1418220963.500,-280,920,-88,Draw
1418220963.583,-264,888,-352,Draw
1418220963.666,-256,896,-248,Draw
1418220963.750,-264,952,-336,Draw
1418220963.833,-232,896,-440,Draw
