"Time(s)"," X"," Y"," Z"
"1418220981.531","-312","848","-512"
"1418220981.614","-376","912","-552"
"1418220981.697","-360","888","-320"
"1418220981.863","-280","960","-328"
"1418220981.946","-328","928","-480"
"1418220982.113","-352","952","-248"
"1418220982.196","-368","864","-600"
"1418220982.279","-336","744","-584"
"1418220982.362","-312","1056","-128"
"1418220982.445","-368","936","-296"
"1418220982.528","-328","888","-280"
"1418220982.611","-344","1024","-208"
"1418220982.695","-440","760","-672"
"1418220982.777","-360","992","-32"
"1418220982.866","-328","984","-384"
"1418220982.944","-352","736","-672"
"1418220983.027","-352","1088","24"
"1418220983.110","-376","880","-376"
"1418220983.193","-320","928","-128"
"1418220983.276","-328","928","-304"
"1418220983.359","-328","712","-576"
"1418220983.442","-312","984","-56"
"1418220983.525","-352","920","-400"
"1418220983.608","-360","784","-536"
"1418220983.692","-336","984","-40"
"1418220983.775","-400","928","-360"
"1418220984.107","-376","952","-240"
"1418220984.190","-360","936","-232"
"1418220984.273","-360","680","-488"
"1418220984.356","-352","1040","-48"
"1418220984.439","-352","952","-368"
"1418220984.525","-392","792","-376"
"1418220984.606","-368","1008","16"
"1418220984.689","-376","816","-464"
"1418220984.772","-352","832","-400"
"1418220984.856","-376","1032","-144"
"1418220984.938","-384","872","-496"
"1418220985.024","-376","864","-328"
"1418220985.104","-368","984","-208"
"1418220985.187","-384","800","-632"
"1418220985.273","-400","984","-152"
"1418220985.353","-400","968","-320"
"1418220985.436","-408","856","-728"
"1418220985.520","-248","928","-400"
"1418220985.603","-184","976","56"
"1418220985.686","-344","840","-160"
"1418220985.769","-440","920","-280"
"1418220985.852","-416","952","-280"
"1418220986.101","-328","848","-152"
"1418220986.184","-344","872","-320"
"1418220986.267","-368","960","-440"
"1418220986.351","-360","824","-296"
"1418220986.766","-384","952","-328"
"1418220986.851","-360","968","-216"
"1418220986.932","-392","784","-344"
"1418220987.015","-368","968","-232"
"1418220987.098","-360","1000","-232"
"1418220987.182","-424","784","-248"
"1418220987.265","-384","984","-248"
"1418220987.348","-368","952","-280"
"1418220987.436","-384","808","-280"
"1418220987.514","-360","944","-248"
"1418220987.597","-360","968","-200"
"1418220987.680","-384","792","-216"
"1418220987.763","-344","952","-312"
"1418220987.846","-344","960","-232"
"1418220987.930","-360","824","-232"
"1418220988.013","-328","968","-296"
"1418220988.096","-344","992","-192"
"1418220988.179","-384","832","-200"
"1418220988.262","-344","928","-328"
"1418220988.428","-336","880","-248"
"1418220988.511","-360","944","-344"
"1418220988.595","-352","976","-360"
"1418220988.678","-344","888","-320"
"1418220988.761","-368","840","-512"
"1418220988.844","-344","960","-400"
"1418220988.927","-352","872","-408"
"1418220989.010","-400","792","-528"
"1418220989.176","-392","928","-232"
"1418220989.263","-360","792","-256"
"1418220989.343","-392","944","-200"
"1418220989.426","-352","984","-112"
"1418220989.509","-296","920","-184"
"1418220989.592","-248","896","-400"
"1418220989.675","-304","1120","-488"
"1418220989.758","-336","936","-208"
"1418220989.841","-328","952","-136"
