Time(s), X, Y, Z,Gesture
1418317782.451,-328,232,-976,Inactive
1418317782.535,-336,224,-928,Inactive
1418317782.698,-344,232,-960,Inactive
1418317782.864,-344,208,-976,Inactive
1418317782.950,-328,216,-960,Inactive
1418317783.032,-320,224,-920,Inactive
1418317783.114,-336,232,-952,Inactive
1418317783.196,-296,216,-960,Inactive
1418317783.279,-312,240,-936,Inactive
1418317783.362,-320,224,-912,Inactive
1418317783.445,-344,224,-960,Inactive
1418317783.528,-320,216,-960,Inactive
1418317783.778,-360,336,-1000,Inactive
1418317783.861,-296,496,-952,Raise Hand
1418317783.944,-216,808,-768,Raise Hand
1418317784.027,-32,1032,-496,Raise Hand
1418317784.110,200,1056,-64,Raise Hand
1418317784.193,408,928,128,Raise Hand
1418317784.276,544,680,40,Raise Hand
1418317784.359,616,480,40,Raise Hand
1418317784.442,712,408,-72,Raise Hand
1418317784.525,704,400,-96,Raise Hand
1418317784.608,768,384,-224,Raise Hand
1418317784.691,864,416,8,Raise Hand
1418317784.774,880,416,-48,Raise Hand
1418317784.857,888,400,-40,Lower Hand
1418317784.940,840,392,-80,Lower Hand
1418317785.023,744,400,-96,Lower Hand
1418317785.106,680,280,-320,Lower Hand
1418317785.189,680,288,-368,Lower Hand
1418317785.272,448,400,-728,Lower Hand
1418317785.356,168,504,-1112,Lower Hand
1418317785.439,8,408,-1128,Lower Hand
1418317785.522,-256,352,-1128,Lower Hand
1418317785.605,-360,280,-1264,Lower Hand
1418317785.780,-296,376,-984,Inactive
1418317785.854,-304,336,-928,Inactive
1418317785.937,-304,312,-944,Inactive
1418317786.020,-312,352,-944,Raise Hand
1418317786.103,-272,352,-888,Raise Hand
1418317786.186,-280,336,-952,Raise Hand
1418317786.270,-296,320,-896,Raise Hand
1418317786.353,-288,352,-936,Raise Hand
1418317786.435,-296,344,-960,Raise Hand
1418317786.519,-312,384,-912,Raise Hand
1418317786.602,-304,464,-976,Raise Hand
1418317786.685,-232,616,-984,Raise Hand
1418317786.768,-144,912,-640,Raise Hand
1418317786.851,96,1088,-224,Raise Hand
1418317786.934,320,968,192,Raise Hand
1418317787.017,488,688,120,Raise Hand
1418317787.100,640,568,160,Scratch Chin
1418317787.183,664,440,-32,Scratch Chin
1418317787.266,680,432,-104,Scratch Chin
1418317787.941,888,360,-88,Scratch Chin
1418317788.013,880,432,56,Scratch Chin
1418317788.096,776,536,16,Scratch Chin
1418317788.179,584,416,-256,Scratch Chin
1418317788.262,568,432,-144,Scratch Chin
1418317788.345,648,600,-136,Scratch Chin
1418317788.428,456,776,-616,Scratch Chin
1418317788.511,208,648,-848,Scratch Chin
1418317788.594,-64,656,-928,Scratch Chin
1418317788.926,-256,496,-808,Scratch Chin
1418317789.092,-248,488,-904,Scratch Chin
1418317789.182,-256,504,-864,Scratch Chin
1418317789.259,-248,512,-840,Scratch Chin
1418317789.342,-248,512,-848,Scratch Chin
1418317789.425,-240,512,-896,Scratch Chin
1418317789.508,-256,512,-888,Scratch Chin
1418317789.598,-256,512,-904,Scratch Chin
1418317789.674,-256,520,-896,Scratch Chin
1418317789.757,-248,568,-880,Scratch Chin
1418317789.840,-296,736,-1072,Raise Hand
1418317789.923,-192,936,-952,Raise Hand
1418317790.006,80,1104,-288,Raise Hand
1418317790.089,344,904,104,Raise Hand
1418317790.172,520,640,184,Raise Hand
1418317790.255,544,456,-24,Raise Hand
1418317790.338,576,512,-144,Raise Hand
1418317790.421,664,448,-200,Raise Hand
1418317790.504,800,448,-16,Raise Hand
1418317790.753,896,408,-32,Raise Hand
1418317790.836,904,416,-72,Lower Hand
1418317790.919,832,440,-128,Lower Hand
1418317791.002,832,472,-32,Lower Hand
1418317791.085,792,504,-112,Lower Hand
1418317791.168,680,520,-200,Lower Hand
1418317791.252,576,416,-272,Lower Hand
1418317791.335,656,432,-128,Lower Hand
1418317791.418,520,688,-448,Lower Hand
1418317791.501,344,752,-728,Lower Hand
1418317791.584,128,712,-816,Lower Hand
1418317791.667,-96,656,-1016,Lower Hand
1418317791.750,-256,520,-936,Lower Hand
1418317791.833,-376,696,-1744,Lower Hand
1418317791.916,-304,608,-784,Inactive
1418317792.000,-320,472,-952,Inactive
1418317792.083,-304,480,-872,Inactive
1418317792.166,-280,496,-880,Inactive
1418317792.249,-280,496,-880,Inactive
1418317792.332,-288,520,-888,Inactive
1418317792.415,-304,512,-832,Inactive
1418317792.499,-296,504,-832,Inactive
1418317792.581,-280,496,-888,Inactive
1418317792.747,-296,472,-896,Inactive
1418317792.831,-384,624,-960,Raise Hand
1418317792.913,-312,920,-712,Raise Hand
1418317794.722,864,456,-16,Raise Hand
1418317794.823,744,440,-32,Lower Hand
1418317794.906,744,376,-120,Lower Hand
1418317794.989,680,504,-208,Lower Hand
1418317795.072,520,552,-680,Lower Hand
