Time(s), X, Y, Z,Gesture
1418317865.988,360,792,-408,Inactive
1418317866.072,128,448,-1288,Inactive
1418317866.238,-272,712,-872,Inactive
1418317866.321,-264,488,-672,Inactive
1418317866.404,-616,568,-720,Inactive
1418317866.495,-488,512,-696,Inactive
1418317866.572,-424,512,-832,Inactive
1418317866.653,-352,504,-848,Inactive
1418317866.736,-360,528,-848,Inactive
1418317866.819,-368,496,-832,Inactive
1418317866.902,-376,504,-872,Inactive
1418317866.989,-368,480,-832,Inactive
1418317867.074,-384,496,-816,Inactive
1418317867.151,-384,472,-840,Inactive
1418317867.234,-392,504,-840,Inactive
1418317867.317,-376,568,-824,Inactive
1418317867.408,-416,568,-968,Raise Hand
1418317867.484,-376,648,-1048,Raise Hand
1418317867.566,-248,568,-856,Raise Hand
1418317867.650,-32,568,-584,Raise Hand
1418317867.736,144,744,-352,Raise Hand
1418317867.816,240,840,-408,Raise Hand
1418317867.899,320,912,-192,Raise Hand
1418317867.982,392,944,-304,Raise Hand
1418317868.231,680,720,-200,Raise Hand
1418317868.314,768,624,-264,Raise Hand
1418317868.397,864,544,-272,Raise Hand
1418317868.480,968,408,-432,Raise Hand
1418317868.563,864,336,-256,Comb Hair
1418317868.646,784,368,-208,Comb Hair
1418317868.729,648,496,-272,Comb Hair
1418317868.812,616,504,-472,Comb Hair
1418317868.978,528,264,-792,Comb Hair
1418317869.066,616,248,-624,Comb Hair
1418317869.146,720,272,-592,Comb Hair
1418317869.227,760,192,-496,Comb Hair
1418317869.310,816,80,-480,Comb Hair
1418317869.393,816,24,-432,Comb Hair
1418317869.476,824,-24,-440,Comb Hair
1418317869.559,776,-48,-352,Comb Hair
1418317869.643,776,-368,-568,Comb Hair
1418317869.725,872,-904,-440,Comb Hair
1418317869.808,872,-744,-288,Comb Hair
1418317869.891,856,-336,-192,Comb Hair
1418317869.977,872,-48,-208,Comb Hair
1418317870.057,800,312,-464,Comb Hair
1418317870.140,704,608,-672,Comb Hair
1418317870.310,688,464,-520,Comb Hair
1418317870.473,768,224,-512,Comb Hair
1418317870.558,784,0,-416,Comb Hair
1418317870.639,744,-128,-456,Comb Hair
1418317870.722,688,-216,-544,Comb Hair
1418317872.316,920,-608,160,Comb Hair
1418317872.382,312,-392,-968,Comb Hair
1418317872.548,424,-536,-640,Comb Hair
1418317872.631,408,-640,-528,Comb Hair
1418317872.714,384,-704,-416,Comb Hair
1418317872.797,376,-744,-264,Comb Hair
1418317872.880,376,-848,-144,Comb Hair
1418317872.963,280,-824,-16,Comb Hair
1418317873.046,160,-944,96,Comb Hair
1418317873.129,104,-1144,232,Comb Hair
1418317873.212,16,-1328,168,Comb Hair
1418317873.295,0,-1184,144,Comb Hair
1418317873.381,40,-1248,504,Comb Hair
1418317873.461,48,-1328,160,Comb Hair
1418317873.545,128,-1032,160,Comb Hair
1418317873.628,240,-680,-120,Comb Hair
1418317873.711,272,-552,-576,Comb Hair
1418317873.794,352,-576,-504,Comb Hair
1418317873.877,344,-688,-648,Comb Hair
1418317873.960,288,-840,-512,Comb Hair
1418317874.043,232,-888,-432,Comb Hair
1418317874.126,200,-1000,-288,Comb Hair
1418317874.209,224,-1304,72,Comb Hair
1418317874.293,280,-1376,-56,Comb Hair
1418317874.375,424,-944,-184,Comb Hair
1418317874.458,416,-432,-320,Comb Hair
1418317874.541,408,-184,-816,Comb Hair
1418317874.625,416,-240,-808,Comb Hair
1418317874.708,400,-360,-888,Comb Hair
1418317874.791,352,-416,-792,Comb Hair
1418317874.874,344,-728,-696,Comb Hair
1418317874.957,368,-856,-416,Comb Hair
1418317875.041,392,-1144,-288,Comb Hair
1418317875.124,432,-1064,-408,Comb Hair
1418317875.207,520,-576,-504,Comb Hair
1418317875.290,504,-176,-696,Comb Hair
1418317875.374,408,24,-768,Comb Hair
1418317875.456,408,-16,-928,Comb Hair
1418317875.539,472,-232,-792,Comb Hair
1418317875.622,536,-408,-832,Comb Hair
1418317875.705,536,-720,-832,Comb Hair
1418317875.788,704,-928,-664,Comb Hair
1418317875.871,888,-736,-296,Comb Hair
1418317875.954,952,-360,-176,Comb Hair
1418317876.037,888,48,-192,Comb Hair
1418317876.121,736,360,-544,Comb Hair
1418317876.203,640,464,-752,Comb Hair
