Time(s), X, Y, Z,Gesture
1418318006.952,320,368,-904,Draw
1418318007.033,344,344,-864,Draw
1418318007.187,336,352,-856,Draw
1418318007.270,328,328,-848,Draw
1418318007.353,296,296,-1032,Draw
1418318007.436,280,256,-1024,Draw
1418318007.519,272,136,-984,Draw
1418318007.602,288,80,-984,Draw
1418318007.685,288,88,-936,Draw
1418318007.768,312,56,-960,Draw
1418318007.851,312,32,-968,Draw
1418318007.934,344,40,-856,Draw
1418318008.020,312,72,-744,Draw
1418318008.100,328,448,-840,Draw
1418318008.189,344,752,-856,Draw
1418318008.267,336,760,-288,Draw
1418318008.350,248,944,-384,Draw
1418318008.433,184,856,-576,Draw
1418318008.516,152,840,-608,Draw
1418318008.599,160,824,-528,Draw
1418318008.682,176,816,-648,Draw
1418318008.765,112,896,-840,Draw
1418318008.848,320,776,-688,Draw
1418318008.931,424,728,-208,Draw
1418318009.014,376,632,-112,Draw
1418318009.097,192,840,-552,Draw
1418318009.180,104,824,-832,Draw
1418318009.263,56,728,-904,Draw
1418318009.350,96,648,-792,Draw
1418318009.429,136,648,-768,Draw
1418318009.512,128,648,-736,Draw
1418318009.595,152,656,-792,Draw
1418318009.680,136,568,-800,Draw
1418318009.761,120,600,-832,Draw
1418318009.927,144,608,-800,Draw
1418318010.010,144,616,-768,Draw
1418318010.093,176,712,-840,Draw
1418318010.176,208,584,-792,Draw
1418318010.259,152,648,-688,Draw
1418318010.342,128,736,-704,Draw
1418318010.425,176,688,-760,Draw
1418318010.508,208,600,-696,Draw
1418318010.591,136,760,-712,Draw
1418318010.674,176,776,-688,Draw
1418318010.759,232,536,-832,Draw
1418318010.840,200,568,-832,Draw
1418318010.927,136,808,-592,Draw
1418318011.006,128,792,-720,Draw
1418318011.089,224,528,-872,Draw
1418318011.172,200,640,-768,Draw
1418318011.255,144,776,-568,Draw
1418318011.338,192,792,-680,Draw
1418318011.421,224,488,-840,Draw
1418318011.505,200,584,-760,Draw
1418318011.587,152,808,-584,Draw
1418318011.670,176,760,-712,Draw
1418318011.753,232,560,-776,Draw
1418318055.970,416,912,-88,Draw
1418318056.053,408,928,-112,Draw
1418318056.136,408,904,-144,Draw
1418318056.219,392,880,-248,Draw
1418318056.305,336,936,-256,Draw
1418318056.386,256,776,-440,Draw
1418318056.469,368,368,-968,Draw
1418318056.552,416,352,-832,Draw
1418318056.635,328,192,-920,Draw
1418318056.718,192,32,-1048,Draw
1418318056.801,72,-40,-1000,Draw
1418318056.967,64,-120,-1056,Draw
1418318057.133,56,-104,-1048,Draw
1418318057.216,72,-64,-1040,Draw
1418318057.299,48,-80,-1048,Draw
1418318057.382,16,-72,-1024,Draw
1418318057.466,16,-96,-1016,Draw
1418318057.549,40,-88,-1040,Draw
1418318057.632,8,-112,-1048,Draw
1418318057.715,-16,-128,-976,Draw
1418318057.805,-8,-80,-1016,Draw
1418318057.881,8,-56,-1056,Draw
1418318057.964,32,-128,-1032,Draw
1418318058.047,8,-128,-1056,Draw
1418318058.130,56,-104,-1032,Draw
1418318058.213,64,-112,-1024,Draw
1418318058.296,64,-128,-1016,Draw
1418318058.379,80,-128,-1064,Draw
1418318058.463,88,-88,-1024,Draw
1418318058.546,72,-64,-1024,Draw
1418318058.629,72,-56,-1040,Draw
1418318058.714,56,-80,-1064,Draw
1418318058.795,104,24,-1056,Draw
1418318058.878,112,40,-1040,Draw
1418318058.961,88,48,-1024,Draw
1418318059.210,128,0,-1072,Draw
1418318059.293,136,0,-1040,Draw
1418318059.376,-16,-40,-984,Draw
1418318059.459,-64,-80,-1016,Draw
1418318059.542,-48,-104,-920,Draw
1418318059.625,-8,-112,-1080,Draw
1418318059.708,48,-96,-1056,Draw
1418318059.791,-64,-80,-1048,Draw
1418318059.875,-32,-80,-1008,Draw
1418318059.958,-56,-80,-1040,Draw
1418318060.041,-8,-104,-1032,Draw
1418318060.125,-32,-160,-1072,Draw
1418318060.208,-32,-80,-1016,Draw
1418318060.291,-24,-88,-992,Draw
1418318060.374,8,0,-1024,Draw
1418318060.457,0,352,-1224,Draw
1418318060.540,16,312,-1224,Draw
1418318060.623,96,456,-632,Draw
1418318060.706,208,816,-200,Draw
1418318060.789,256,928,-384,Draw
1418318061.290,152,792,-704,Draw
1418318061.370,144,624,-840,Draw
1418318061.453,80,616,-832,Draw
1418318061.702,112,536,-928,Draw
1418318061.791,104,576,-792,Draw
1418318061.868,48,704,-688,Draw
1418318061.951,64,552,-944,Draw
1418318062.034,112,496,-872,Draw
1418318062.118,64,568,-784,Draw
1418318062.201,56,704,-800,Draw
1418318062.284,128,496,-968,Draw
1418318062.367,112,440,-888,Draw
1418318062.450,104,672,-704,Draw
1418318062.533,64,520,-992,Draw
1418318062.616,120,336,-992,Draw
1418318062.699,104,600,-752,Draw
1418318062.782,72,704,-704,Draw
1418318063.114,24,680,-632,Draw
1418318063.197,80,704,-816,Draw
1418318063.280,104,520,-1008,Draw
1418318063.363,96,440,-952,Draw
1418318063.446,88,536,-800,Draw
1418318063.529,40,752,-688,Draw
1418318063.614,40,680,-840,Draw
1418318063.695,64,432,-1040,Draw
1418318063.778,104,384,-952,Draw
1418318063.861,40,528,-800,Draw
1418318063.944,0,736,-704,Draw
1418318064.028,-16,592,-896,Draw
1418318064.111,48,360,-1120,Draw
1418318064.194,72,360,-984,Draw
1418318064.277,32,488,-832,Draw
1418318064.360,40,760,-600,Draw
1418318064.443,40,664,-832,Draw
1418318064.526,80,432,-1080,Draw
1418318064.609,96,312,-984,Draw
1418318064.692,48,592,-800,Draw
1418318064.775,-16,808,-632,Draw
1418318064.858,-8,672,-776,Draw
1418318064.941,48,416,-1080,Draw
1418318065.024,104,352,-968,Draw
1418318065.107,32,592,-784,Draw
1418318065.190,-8,800,-600,Draw
1418318065.274,8,736,-736,Draw
1418318065.356,88,424,-1080,Draw
1418318065.440,88,320,-992,Draw
1418318065.522,40,504,-800,Draw
1418318065.613,-32,792,-584,Draw
1418318065.689,-24,696,-776,Draw
1418318065.938,32,456,-800,Draw
1418318066.021,-24,832,-584,Draw
1418318066.104,-24,680,-832,Draw
1418318066.190,56,424,-1072,Draw
1418318066.270,64,264,-984,Draw
1418318066.946,-32,728,-800,Draw
1418318067.100,72,344,-984,Draw
1418318067.183,-8,560,-832,Draw
1418318067.266,-24,760,-568,Draw
1418318067.350,0,720,-840,Draw
1418318067.433,48,440,-1104,Draw
1418318067.516,64,360,-992,Draw
1418318067.607,48,568,-720,Draw
1418318067.682,-8,744,-616,Draw
1418318067.765,0,704,-800,Draw
1418318067.848,8,448,-1152,Draw
1418318067.931,32,272,-1016,Draw
1418318068.014,-8,496,-840,Draw
1418318068.097,0,808,-600,Draw
1418318068.180,8,728,-728,Draw
1418318068.263,16,432,-1088,Draw
1418318068.346,48,352,-984,Draw
1418318068.429,0,552,-792,Draw
1418318068.512,-24,776,-648,Draw
1418318068.595,-8,696,-696,Draw
1418318068.678,56,392,-1112,Draw
1418318068.762,0,312,-952,Draw
1418318068.845,-24,640,-752,Draw
1418318068.928,56,744,-688,Draw
1418318069.011,112,656,-952,Draw
1418318069.094,120,752,-824,Draw
1418318069.177,128,672,-680,Draw
1418318069.260,200,608,-504,Draw
1418318069.343,248,608,-536,Draw
1418318069.426,328,688,-560,Draw
1418318069.509,272,704,-744,Draw
1418318069.592,264,824,-864,Draw
1418318069.675,128,640,-816,Draw
1418318069.758,56,728,-744,Draw
1418318069.841,32,544,-928,Draw
1418318069.924,32,432,-1000,Draw
1418318070.009,8,416,-928,Draw
1418318070.090,72,640,-736,Draw
1418318070.174,120,880,-512,Draw
1418318070.257,128,736,-816,Draw
1418318070.340,64,384,-1064,Draw
1418318070.423,-48,224,-1072,Draw
1418318070.506,40,592,-728,Draw
1418318070.590,216,760,-568,Draw
1418318070.672,144,720,-800,Draw
1418318070.755,56,368,-1072,Draw
1418318070.838,16,216,-1008,Draw
1418318070.921,128,488,-800,Draw
1418318071.004,184,816,-552,Draw
1418318071.336,56,648,-752,Draw
1418318071.419,160,792,-680,Draw
1418318071.502,120,528,-960,Draw
1418318071.585,24,264,-1032,Draw
1418318071.668,88,448,-760,Draw
1418318071.752,168,640,-696,Draw
1418318071.835,224,792,-680,Draw
1418318071.918,112,496,-968,Draw
1418318095.001,280,872,-528,Draw
1418318095.084,144,856,-568,Draw
1418318095.167,168,816,-640,Draw
1418318095.250,168,760,-712,Draw
1418318095.333,208,792,-640,Draw
1418318095.416,224,816,-560,Draw
1418318095.500,200,808,-584,Draw
1418318095.583,296,760,-568,Draw
1418318095.666,160,672,-824,Draw
1418318095.751,208,656,-840,Draw
1418318095.832,216,624,-816,Draw
1418318095.915,200,624,-776,Draw
1418318095.998,200,720,-688,Draw
1418318096.081,216,792,-720,Draw
1418318096.164,208,648,-784,Draw
1418318096.247,232,528,-888,Draw
1418318096.330,144,704,-568,Draw
1418318096.413,200,824,-624,Draw
1418318096.496,216,672,-784,Draw
1418318096.579,256,544,-880,Draw
1418318096.662,240,560,-808,Draw
1418318096.745,192,704,-656,Draw
1418318096.828,192,504,-848,Draw
1418318096.912,240,336,-944,Draw
1418318096.995,200,384,-896,Draw
1418318097.078,240,368,-904,Draw
1418318097.161,240,320,-1032,Draw
1418318097.244,280,568,-808,Draw
1418318097.327,328,696,-648,Draw
1418318097.414,360,656,-544,Draw
1418318097.493,360,696,-656,Draw
1418318097.576,336,664,-664,Draw
1418318097.659,352,672,-584,Draw
1418318097.745,416,560,-552,Draw
1418318097.825,368,432,-760,Draw
1418318097.908,320,736,-720,Draw
1418318097.991,96,736,-752,Draw
1418318098.074,96,704,-1152,Draw
1418318098.157,80,576,-1048,Draw
1418318098.240,-16,400,-1000,Draw
1418318098.324,64,352,-960,Draw
1418318098.656,240,336,-1072,Draw
1418318098.739,256,360,-968,Draw
1418318098.822,136,288,-984,Draw
1418318098.905,88,264,-1176,Draw
1418318098.988,48,288,-960,Draw
1418318099.071,80,272,-1032,Draw
1418318099.154,120,280,-936,Draw
1418318099.237,88,288,-840,Draw
1418318099.321,136,248,-1032,Draw
1418318099.403,112,256,-1008,Draw
1418318099.491,120,240,-888,Draw
1418318099.569,120,280,-984,Draw
1418318099.652,112,256,-1040,Draw
1418318099.735,72,280,-984,Draw
1418318101.856,240,752,-712,Draw
1418318101.977,208,472,-1008,Draw
1418318102.060,200,632,-720,Draw
1418318102.144,168,792,-560,Draw
1418318102.226,192,744,-816,Draw
1418318102.309,256,592,-808,Draw
1418318102.392,232,624,-728,Draw
1418318102.475,184,792,-592,Draw
1418318102.558,144,720,-800,Draw
1418318102.641,232,592,-832,Draw
1418318102.724,256,576,-768,Draw
1418318102.809,200,712,-688,Draw
1418318102.890,200,736,-688,Draw
1418318102.973,264,576,-872,Draw
1418318103.305,216,632,-784,Draw
1418318103.388,288,488,-776,Draw
1418318103.471,256,552,-824,Draw
1418318103.554,216,624,-776,Draw
1418318103.637,168,664,-864,Draw
1418318103.720,232,584,-848,Draw
1418318103.804,288,504,-760,Draw
1418318103.886,240,592,-888,Draw
1418318103.969,168,680,-776,Draw
1418318104.052,224,632,-768,Draw
1418318104.136,264,488,-752,Draw
1418318104.219,264,608,-728,Draw
1418318104.302,208,704,-688,Draw
1418318104.385,192,688,-856,Draw
1418318104.468,232,624,-776,Draw
1418318104.551,264,568,-736,Draw
1418318104.634,216,688,-672,Draw
1418318104.717,176,768,-816,Draw
1418318104.800,248,624,-816,Draw
1418318104.883,256,576,-584,Draw
1418318104.966,208,712,-760,Draw
1418318105.049,168,792,-800,Draw
1418318105.132,248,640,-768,Draw
1418318105.464,288,672,-680,Draw
1418318105.547,264,592,-632,Draw
1418318105.630,200,680,-848,Draw
1418318105.713,208,720,-640,Draw
1418318105.796,248,608,-744,Draw
1418318105.879,288,672,-584,Draw
1418318105.962,224,736,-752,Draw
1418318106.045,328,608,-968,Draw
1418318106.128,416,640,-416,Draw
1418318106.211,488,712,-240,Draw
1418318106.295,288,896,-568,Draw
1418318106.378,136,744,-728,Draw
1418318106.461,96,736,-832,Draw
1418318106.544,128,728,-688,Draw
1418318106.627,144,640,-528,Draw
1418318106.710,80,608,-824,Draw
1418318106.793,80,736,-1008,Draw
1418318108.603,128,640,-776,Draw
1418318108.703,144,624,-704,Draw
1418318108.786,104,568,-656,Draw
1418318108.869,96,632,-968,Draw
1418318108.952,80,704,-1008,Draw
1418318109.035,144,600,-712,Draw
1418318109.202,120,648,-960,Draw
1418318109.285,104,664,-1024,Draw
1418318109.368,160,568,-752,Draw
1418318109.451,104,560,-624,Draw
1418318109.534,40,664,-1032,Draw
1418318109.617,136,728,-824,Draw
1418318109.700,136,528,-704,Draw
1418318109.784,96,584,-768,Draw
1418318109.866,104,680,-904,Draw
1418318109.949,160,608,-776,Draw
1418318110.036,80,592,-552,Draw
1418318110.115,88,632,-1088,Draw
1418318110.198,88,608,-832,Draw
1418318110.281,40,664,-728,Draw
1418318110.364,48,848,-368,Draw
1418318110.447,120,856,-64,Draw
1418318110.534,328,704,-344,Draw
1418318110.613,640,704,-792,Draw
1418318110.697,416,768,-840,Draw
1418318110.780,192,632,-640,Draw
1418318110.863,112,440,-992,Draw
1418318110.946,80,536,-1056,Draw
1418318111.029,200,728,-552,Draw
1418318111.200,40,360,-1016,Draw
1418318111.278,48,440,-944,Draw
1418318111.361,240,736,-488,Draw
1418318111.446,192,768,-752,Draw
1418318111.527,24,400,-1152,Draw
1418318111.610,88,400,-936,Draw
1418318111.693,256,672,-552,Draw
1418318111.776,296,696,-784,Draw
1418318111.859,32,328,-1376,Draw
1418318111.942,80,440,-920,Draw
1418318112.274,152,496,-800,Draw
1418318112.361,256,736,-504,Draw
1418318112.440,208,656,-880,Draw
1418318112.523,64,304,-1128,Draw
1418318112.606,136,496,-768,Draw
1418318112.689,312,768,-520,Draw
1418318112.772,248,664,-744,Draw
1418318112.855,48,352,-1248,Draw
1418318112.938,112,448,-832,Draw
1418318113.021,280,744,-520,Draw
1418318113.111,272,680,-752,Draw
1418318113.188,112,400,-1288,Draw
1418318113.271,96,424,-872,Draw
1418318113.437,248,672,-856,Draw
1418318113.520,112,384,-1128,Draw
1418318114.195,144,328,-1256,Draw
1418318114.267,136,456,-792,Draw
