Time(s),X,Y,Z
95386.348,-864,280,-472
95386.597,-1032,328,-1024
95386.763,-616,432,-896
95386.846,-368,344,-776
95386.929,-288,304,-824
95387.016,-176,376,-944
95387.095,-8,368,-872
95387.345,448,208,-792
95387.511,608,240,-608
95387.677,760,464,-544
95387.76,816,-352,-752
95387.843,1032,400,-208
95387.928,832,-520,-800
95388.009,1224,664,88
95388.092,672,-824,-664
95388.175,944,512,-160
95388.258,776,-272,-752
95388.341,688,-288,-480
95388.425,960,360,-112
95388.508,688,-752,-608
95388.591,984,520,-432
95388.757,768,-208,-560
95388.841,936,360,-192
95388.923,728,-528,-560
95389.011,1016,504,-432
95389.089,792,-352,-400
95389.172,936,-88,-488
95389.258,904,112,-408
95389.339,856,-400,-624
95389.799,832,408,-528
95389.92,888,688,-888
95390.004,720,-640,-88
95390.086,824,560,-1312
95390.17,744,-128,-120
95390.253,880,-232,-752
95390.338,872,568,-648
95390.419,776,-448,-352
95390.502,840,888,-1176
95390.585,688,-352,32
95390.668,904,256,-1080
95390.751,784,240,-304
95390.834,752,-336,-552
95390.921,904,632,-216
95391.001,816,-288,-880
95391.084,912,1048,-312
95391.167,512,-320,-736
95391.5,768,432,-488
95391.583,688,-272,-464
95391.666,1104,832,-64
95391.751,520,-312,-792
95391.832,1136,784,-24
95391.915,792,192,-464
95391.999,792,-296,-328
95392.082,1112,672,96
95392.165,520,-448,-808
95392.248,1184,824,120
95392.331,712,-144,-640
95392.414,824,0,-176
95392.497,984,568,-48
95392.58,656,-512,-664
95392.663,1104,1024,72
95392.746,592,-456,-808
95392.829,920,576,-368
95392.913,744,-208,-192
95392.996,1088,248,-456
95393.079,704,-144,-504
95393.162,944,-192,-424
95393.245,912,360,-208
95393.328,776,-560,-424
95393.411,1016,784,-248
95393.494,576,-712,-544
95393.579,1032,256,-568
95393.66,856,64,-400
95393.743,808,-416,-432
95393.826,992,480,-264
95393.909,656,-656,-600
95394.158,808,-224,-512
95394.242,944,312,-192
95394.325,856,-432,-608
95394.408,960,464,-112
95394.491,768,-456,-512
95394.574,1008,520,48
95394.658,720,-504,-464
95394.74,1016,704,48
95394.906,888,224,-40
95394.989,944,488,-280
95395.073,616,-312,-656
95395.156,1120,824,-8
95395.239,672,-120,-448
95395.322,984,32,-240
95395.405,1024,456,-248
95395.488,752,-264,-536
95395.571,984,776,-24
95395.654,544,-440,-752
95395.737,976,552,-144
95395.82,656,-568,-744
95395.904,1064,336,-288
95395.987,744,-72,-552
95396.236,672,-432,-768
95396.319,1048,544,0
95396.402,440,-528,-960
95397.074,1160,152,-296
95397.15,808,344,-400
95397.233,680,-328,-736
95397.316,1008,496,-144
95397.648,1080,192,-760
95397.731,1104,-160,224
95397.814,472,-528,-864
95397.897,808,-240,240
95397.98,768,-448,-904
95398.063,880,-320,40
95398.146,704,-408,-864
95398.229,936,-264,104
95398.312,808,-504,-864
95398.396,984,-24,160
95398.479,800,-232,-976
95398.562,992,0,-128
95398.645,776,-304,-944
95398.728,968,120,-168
95398.811,760,-240,-800
95398.894,976,56,8
95398.977,776,-272,-1040
95399.06,1072,168,80
95399.143,648,-240,-1176
95399.226,1064,200,112
95399.309,728,72,-616
95399.392,896,72,-80
95399.475,944,24,-208
95399.558,760,-56,-616
95399.641,1008,104,-168
95399.724,784,-216,-768
95399.807,1104,160,280
95399.89,584,-88,-1488
95399.974,1104,72,520
95400.056,832,-184,-1128
95400.14,896,-136,48
95400.223,1032,-80,-40
95400.306,776,-400,-424
95400.389,1032,-216,424
95400.472,752,-440,-664
95400.555,960,-352,480
95400.638,728,-512,-792
95400.721,1008,-368,672
95400.804,704,-544,-1160
95400.97,872,-488,-448
95401.053,816,-432,-432
95401.136,1056,-336,256
95401.219,728,-216,-848
95401.303,1072,-192,640
95401.386,768,-152,-992
95401.469,896,104,-288
95401.552,816,96,-56
95401.635,904,-168,-176
95401.718,944,-632,-72
95401.801,1064,32,-240
95401.884,792,-696,-472
95401.967,1080,288,216
95402.05,704,-760,-752
95402.722,776,-808,-632
95402.797,1080,496,120
95402.881,864,-352,-560
95402.964,840,-376,-400
95403.048,984,440,112
95403.13,712,-872,-504
95403.213,1072,488,176
95403.296,872,-216,-536
95403.379,824,-432,-376
95403.628,1032,312,0
95403.711,864,-400,-208
95403.795,976,-240,-408
95403.877,928,56,-320
95403.96,920,-416,-344
95404.044,976,512,-24
95404.126,816,-784,-288
95404.209,904,312,-752
95404.292,824,-160,-248
95404.383,864,-616,-320
95404.459,976,504,-176
95404.542,792,-1120,-72
95404.625,912,296,-752
95404.791,776,-688,-224
95404.878,992,592,-56
95404.958,792,-1072,-160
95405.041,968,536,-424
95405.124,864,-376,-1000
95405.207,992,488,-216
95405.29,688,88,-472
95405.373,920,-216,-80
95405.458,984,400,72
95405.788,768,-8,-360
95405.871,1080,432,-88
95405.954,576,-448,-848
95406.037,1144,608,152
95406.12,784,224,-600
95406.203,736,-280,-464
95406.287,1040,992,120
95406.37,496,-208,-1016
95406.453,824,352,-160
95406.536,928,592,-376
95406.619,600,-328,-640
95406.702,1120,768,176
95406.785,760,-112,-720
95406.868,736,-264,-376
95406.951,1112,808,64
95407.034,520,-392,-880
95407.117,1088,544,-120
95407.2,808,48,-648
95407.283,904,-32,-256
95407.366,888,408,-280
95407.449,768,-352,-504
95407.533,1024,456,-160
95407.616,640,-576,-592
95408.394,976,416,-448
95408.529,952,424,-360
95408.612,640,-472,-720
95408.698,1056,792,56
95408.778,584,-432,-888
95408.861,896,328,-208
95408.944,928,408,-248
95409.028,672,-464,-720
95409.111,1008,736,40
95409.194,616,-704,-880
95409.277,984,616,-40
95409.36,864,0,-632
95409.443,744,-320,-544
95409.526,1016,656,40
95409.609,680,-824,-760
95409.692,976,728,-136
95409.775,760,-336,-696
95409.858,848,40,-400
