"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Standard Deviation X"," Standard Deviation Y"," Standard Deviation Z"," Zero-Crossings X"," Zero-Crossings Y"," Zero-Crossings Z"," Correlation XY"," Correlation XZ"," Correlation YZ"," Energy X"," Energy Y"," Energy Z"," Entropy X"," Entropy Y"," Entropy Z"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","2.078000068664551","18","-520.8888888888889","836.0","365.3333333333333","3","6","5","-8.094063382908416","3.356523973212095","-21.92507129936242","-1356.888888888889","-886.2222222222222","470.6666666666667","568.098765432099","200.88888888888889","540.4444444444445","0","0","0","-435310.22222222225","-190108.44444444444","305482.6666666667","4894080.0","1.2583744E7","2412160.0","1.172705442324713","0.46731191612310646","1.2689493511862018","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9119999408721924","20","-611.1111111111111","961.3333333333334","418.22222222222223","4","6","5","-69.46279131055246","221.09579521706482","95.60007518600506","-1572.4444444444443","-1029.3333333333333","543.1111111111111","6002.4","6996.960000000001","1647.8400000000001","0","0","0","-479920.0","-207920.0","328419.2","6170048.0","1.511136E7","2866496.0000000005","2.592160112842645","2.1945077167020046","2.3788601360879458","Inactive","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.8299999237060547","21","-392.8888888888889","991.1111111111111","274.22222222222223","2","5","4","651.0607981015521","-212.5257662101235","-470.8092289887122","-1384.0","-667.1111111111111","716.8888888888889","154056.56235827666","26347.392290249434","76424.9977324263","1","0","1","-321886.4761904762","-182287.2380952381","231475.80952380953","5616767.999999998","1.5708799999999998E7","2765119.9999999977","6.953533956225064","3.152883187651112","6.987384073741881","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.746999979019165","20","-91.11111111111111","861.7777777777778","81.77777777777777","3","5","5","794.1566153553783","-143.72728769470862","-463.6845805619736","-952.8888888888889","-172.88888888888889","780.0","304274.4","58076.64","127549.43999999999","1","0","1","-159859.2","-193961.6","126652.8","6219967.999999987","1.3192640000000002E7","2659327.9999999935","6.3156841083337785","4.11344999432877","6.946923926740031","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9140000343322754","22","283.55555555555554","759.5555555555555","-167.11111111111111","5","7","5","667.691567574983","-189.32936307758533","-517.7608398503178","-476.0","450.6666666666667","926.6666666666666","349684.36363636365","120624.79338842978","196764.561983471","1","2","3","-7045.818181818182","-234496.0","49876.36363636364","8877184.000000015","1.1150271999999994E7","4740095.999999999","6.461463188668192","5.868330336282384","8.817427513437005","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9130001068115234","22","744.8888888888889","450.6666666666667","-492.0","6","7","5","372.7744976991013","-600.9018854926578","-804.8700999482469","294.22222222222223","1236.888888888889","942.6666666666666","86851.70247933884","142032.92561983474","143618.2479338843","1","5","3","162912.0","-272084.36363636365","-39083.63636363636","1.0082304000000006E7","6115839.999999996","6724543.999999995","5.487593216464376","8.164833353957508","8.197972237796902","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.738999843597412","20","848.4444444444445","226.66666666666666","-568.8888888888889","7","7","7","17.51395408174494","93.59795310050538","-68.81623628929398","621.7777777777778","1417.3333333333333","795.5555555555555","25212.640000000003","71344.0","159404.8","0","8","4","173817.6","-336956.8","-45660.8","1.2165951999999994E7","2259200.0000000005","8430976.000000002","3.4454676643975586","8.686399611097244","6.186764592183438","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9119999408721924","18","781.7777777777778","157.77777777777777","-537.7777777777778","7","6","7","29.862251091545748","494.89430107808926","-165.49677943650954","624.0","1319.5555555555557","695.5555555555555","26501.728395061727","59461.72839506172","169675.061728395","0","7","4","146240.0","-357607.1111111111","-31502.222222222223","1.1478208E7","1518400.0000000002","8259839.999999996","3.0637580919931446","7.658178352657636","5.446591267326676","Hand Raise","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9110000133514404","18","772.4444444444445","145.33333333333334","-568.4444444444445","7","6","7","-230.5194257547079","26.432975860899607","-557.860352523835","627.1111111111111","1340.888888888889","713.7777777777778","26504.69135802469","63888.0","200942.024691358","0","10","6","136679.11111111112","-371395.55555555556","-13909.333333333334","1.1217152000000004E7","1530176.0000000002","9433280.0","3.1129183445965096","7.275425574553049","5.793197049661871","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.9110000133514404","18","778.2222222222222","139.55555555555554","-558.2222222222222","7","6","6","-453.22905309510156","-335.9283202755889","-901.6152718260055","638.6666666666666","1336.4444444444443","697.7777777777778","20009.283950617286","73999.80246913582","170627.95061728393","0","9","5","132280.88888888888","-383683.55555555556","-14343.111111111111","1.1261504E7","1682560.0","8680320.0","2.5907662109659455","7.109977775091446","5.573829406286689","Brush Teeth","Brush Teeth"
