"Time(s)"," X"," Y"," Z"
"1418329700.841","-824","-160","-272"
"1418329701.005","960","168","104"
"1418329701.088","952","200","128"
"1418329701.171","960","200","120"
"1418329701.254","960","192","72"
"1418329701.337","960","200","128"
"1418329701.425","968","192","128"
"1418329701.503","944","184","80"
"1418329701.669","960","184","96"
"1418329701.756","976","168","72"
"1418329701.835","984","216","104"
"1418329701.918","1048","424","8"
"1418329702.001","1384","1128","136"
"1418329702.084","1080","1456","568"
"1418329702.168","744","1096","656"
"1418329702.251","288","1032","496"
"1418329702.334","-16","776","216"
"1418329702.417","-280","216","-280"
"1418329702.500","-432","-160","-640"
"1418329702.583","-488","-232","-1408"
"1418329702.666","-592","24","-800"
"1418329702.750","-496","240","-704"
"1418329702.833","-520","504","-1000"
"1418329702.916","-432","720","-688"
"1418329702.999","-280","640","-360"
"1418329703.082","-144","8","-272"
"1418329703.165","904","-1320","-1480"
"1418329703.248","592","-1280","-712"
"1418329703.331","680","-544","-264"
"1418329703.414","328","616","-928"
"1418329703.497","-232","336","-584"
"1418329703.580","-1072","-168","-656"
"1418329703.663","-992","-200","-736"
"1418329703.831","-160","104","-1464"
"1418329703.912","72","880","-872"
"1418329703.995","256","592","-576"
"1418329704.079","-96","552","-112"
"1418329704.161","-144","-288","-1000"
"1418329704.244","152","-1344","-992"
"1418329704.327","-120","-1400","-656"
"1418329704.410","-224","-1168","-424"
"1418329704.494","-168","-1488","-488"
"1418329704.577","-304","-1000","-712"
"1418329704.660","-104","-392","-368"
"1418329704.743","-144","712","-752"
"1418329704.826","-640","400","-400"
"1418329704.909","-552","-1192","-448"
"1418329704.992","-528","-1208","-2120"
"1418329705.075","-136","-416","-680"
"1418329705.158","-112","-24","-824"
"1418329705.241","-600","16","-1200"
"1418329705.324","-848","56","-536"
"1418329705.407","-648","-368","-1280"
"1418329705.490","-400","-128","-1184"
"1418329705.576","-216","136","-1008"
"1418329705.656","-304","80","-1232"
"1418329706.636","232","152","-840"
"1418329706.954","-312","304","-952"
"1418329707.067","-152","128","-976"
"1418329707.150","-112","696","-912"
"1418329707.233","-328","352","-824"
"1418329707.316","-544","280","-424"
"1418329707.399","-136","0","-1232"
"1418329707.483","608","-424","-1528"
"1418329707.566","384","64","-1336"
"1418329707.649","-304","8","-680"
"1418329707.732","-680","248","-88"
"1418329707.815","-208","-32","-1184"
"1418329707.898","480","-616","-1640"
"1418329707.981","384","-152","-784"
"1418329708.064","-368","-112","-704"
"1418329708.153","-928","-224","-656"
"1418329708.230","-592","40","-1248"
"1418329708.313","-312","-184","-1040"
"1418329708.396","-168","200","-904"
"1418329708.479","64","168","-784"
"1418329708.562","80","16","-584"
"1418329708.645","-24","144","-168"
"1418329708.728","-136","72","24"
"1418329708.897","528","1312","1168"
"1418329708.977","1232","1504","192"
"1418329709.060","1336","896","552"
"1418329709.143","1392","888","336"
"1418329709.226","1096","600","144"
"1418329709.309","1000","400","-56"
"1418329709.392","1064","320","312"
"1418329709.479","952","296","264"
"1418329709.559","1024","248","-40"
"1418329709.642","936","112","264"
