"Time(s)"," X"," Y"," Z"
"1418209873.530","184","312","-568"
"1418209873.613","784","1072","584"
"1418209873.696","544","784","-504"
"1418209873.779","160","536","-744"
"1418209873.862","696","1248","472"
"1418209873.945","504","800","-488"
"1418209874.028","80","680","-640"
"1418209874.111","848","1224","560"
"1418209874.194","408","808","-856"
"1418209874.277","232","648","-440"
"1418209874.360","832","976","640"
"1418209874.444","288","744","-960"
"1418209874.526","360","896","-384"
"1418209874.609","816","1088","496"
"1418209874.692","272","832","-912"
"1418209874.775","688","648","424"
"1418209874.858","440","712","-800"
"1418209874.941","456","712","-376"
"1418209875.024","616","696","-160"
"1418209875.273","304","808","-960"
"1418209875.356","704","824","584"
"1418209875.439","312","848","-888"
"1418209875.522","536","816","88"
"1418209875.605","544","832","-512"
"1418209875.688","320","768","-672"
"1418209875.771","664","760","208"
"1418209875.854","288","704","-896"
"1418209875.937","672","792","352"
"1418209876.020","416","656","-760"
"1418209876.103","512","872","-136"
"1418209876.186","512","688","-424"
"1418209876.272","224","592","-664"
"1418209876.352","96","600","-360"
"1418209876.437","8","480","-224"
"1418209876.519","72","1040","-184"
"1418209876.602","152","1376","-480"
"1418209876.685","-288","1232","-240"
"1418209876.768","-648","1104","-40"
"1418209876.851","-576","816","16"
"1418209876.934","-448","848","-16"
"1418209877.102","-392","1200","-112"
"1418209877.186","-384","1168","-48"
"1418209877.266","-376","1088","-48"
"1418209877.350","-408","1040","24"
"1418209877.432","-400","1040","-40"
"1418209877.515","-312","1056","-72"
"1418209877.598","-224","1104","-80"
"1418209877.681","-208","1032","96"
"1418209877.764","-280","816","192"
"1418209878.439","-176","728","336"
"1418209878.510","-136","1208","152"
"1418209878.594","-576","968","328"
"1418209878.676","-760","880","104"
"1418209878.760","-824","728","-24"
"1418209878.843","-816","656","144"
"1418209879.175","-712","760","96"
"1418209879.262","-688","696","152"
"1418209879.341","-736","776","408"
"1418209879.424","-752","752","368"
"1418209879.507","-632","664","-288"
"1418209879.673","-616","808","48"
"1418209879.756","-752","680","40"
"1418209879.839","-856","568","-96"
"1418209879.922","-904","768","184"
"1418209880.005","-856","712","-96"
"1418209880.088","-728","528","-488"
"1418209880.171","-832","440","-704"
