"Time(s)"," X"," Y"," Z"
"1418236482.860","864","-280","-752"
"1418236482.941","-904","32","-512"
"1418236483.020","-904","16","-480"
"1418236483.105","-880","16","-440"
"1418236483.186","-904","-16","-432"
"1418236483.269","-920","-56","-440"
"1418236483.352","-936","-48","-392"
"1418236483.436","-936","-72","-392"
"1418236483.519","-960","-24","-400"
"1418236483.602","-984","24","-408"
"1418236483.686","-960","-24","-416"
"1418236483.768","-968","-80","-512"
"1418236483.851","-912","-48","-384"
"1418236483.934","-824","192","-400"
"1418236484.100","-976","232","-448"
"1418236484.183","-976","312","-464"
"1418236484.266","-944","424","-528"
"1418236484.349","-976","488","-568"
"1418236484.436","-968","584","-528"
"1418236484.515","-896","656","-600"
"1418236484.599","-752","720","-608"
"1418236484.682","-520","800","-600"
"1418236484.765","-216","736","-560"
"1418236484.848","8","696","-520"
"1418236484.931","200","584","-480"
"1418236485.014","400","640","-496"
"1418236485.097","536","640","-400"
"1418236485.180","568","544","-336"
"1418236485.263","672","440","-192"
"1418236485.346","712","440","-208"
"1418236485.429","792","456","-120"
"1418236485.512","792","536","24"
"1418236485.595","824","552","-96"
"1418236485.681","768","552","-104"
"1418236485.761","864","520","184"
"1418236485.844","736","536","-136"
"1418236485.927","832","496","200"
"1418236486.010","864","480","-64"
"1418236486.094","704","560","-312"
"1418236486.177","864","488","136"
"1418236486.260","872","568","-224"
"1418236486.343","744","464","-16"
"1418236486.426","888","512","8"
"1418236486.509","736","616","-256"
"1418236486.592","928","440","320"
"1418236486.675","800","640","-24"
"1418236486.758","712","416","-104"
"1418236486.841","920","496","192"
"1418236486.924","680","616","-416"
"1418236487.007","928","448","256"
"1418236487.090","800","576","-216"
"1418236487.174","800","384","-128"
"1418236487.257","896","472","-200"
"1418236487.340","712","624","-168"
"1418236487.423","880","432","32"
"1418236487.506","736","632","-304"
"1418236487.589","792","352","-56"
"1418236487.672","928","504","88"
"1418236489.678","808","720","16"
"1418236507.363","712","504","-40"
"1418236507.445","-928","200","-288"
"1418236507.604","-944","176","-368"
"1418236507.689","-952","208","-344"
"1418236507.770","-976","192","-328"
"1418236507.853","-952","232","-264"
"1418236507.936","-984","240","-296"
"1418236508.020","-952","224","-344"
"1418236508.103","-976","328","-392"
"1418236508.186","-1064","616","-640"
"1418236508.269","-1120","1032","-696"
"1418236508.352","-1136","1200","-544"
"1418236508.438","-896","912","-352"
"1418236508.518","-496","656","-240"
"1418236508.601","-32","480","-176"
"1418236508.684","336","376","-208"
"1418236508.767","520","392","-248"
"1418236508.850","656","448","-280"
"1418236509.100","752","616","-48"
"1418236509.183","656","680","24"
"1418236509.266","824","648","80"
"1418236509.349","808","664","72"
"1418236509.432","656","656","-272"
"1418236509.515","832","632","264"
"1418236509.598","760","632","0"
"1418236509.681","616","648","-232"
"1418236509.764","880","608","344"
"1418236509.847","776","712","-56"
"1418236509.930","720","512","0"
"1418236510.013","848","600","296"
"1418236510.096","680","672","-312"
"1418236510.179","840","480","144"
"1418236510.262","848","704","104"
"1418236510.345","664","656","24"
"1418236510.429","872","568","208"
"1418236510.512","792","680","-64"
"1418236510.595","672","440","-48"
"1418236510.678","816","504","144"
"1418236510.761","568","584","-24"
"1418236510.844","848","512","-168"
"1418236510.927","872","640","-40"
"1418236511.093","832","256","-616"
"1418236511.176","832","312","-864"
"1418236511.259","552","-80","-696"
"1418236511.342","808","264","-976"
"1418236511.425","696","424","-464"
"1418236511.508","624","-16","-584"
"1418236511.594","880","424","-888"
"1418236511.674","608","-40","-440"
"1418236511.757","824","160","-816"
"1418236511.841","792","280","-576"
"1418236511.924","584","-72","-592"
"1418236512.007","904","312","-1136"
"1418236512.090","664","88","-416"
"1418236512.173","600","-176","-528"
