Time(s),X,Y,Z
36019.415,-256,856,-528
36019.498,-288,848,-504
36019.581,-272,880,-520
36019.914,-272,864,-504
36020.08,-296,888,-432
36020.163,-304,856,-536
36020.25,-296,856,-488
36020.329,-304,872,-488
36020.412,-304,856,-560
36020.495,-296,768,-736
36020.578,-296,776,-584
36020.827,-272,672,-688
36020.994,-320,672,-1104
36021.077,-296,744,-336
36021.16,-384,1008,-400
36021.243,-288,464,-1304
36021.326,-312,952,8
36021.409,-328,904,-520
36021.492,-304,600,-928
36021.575,-320,1128,160
36021.66,-312,816,-952
36021.741,-256,728,-560
36021.824,-312,1056,-256
36021.907,-272,560,-1304
36021.99,-248,888,-80
36022.073,-264,920,-560
36022.157,-248,528,-976
36022.24,-312,1128,280
36022.323,-360,752,-1024
36022.406,-256,664,-608
36022.489,-264,1032,-184
36022.572,-280,608,-1192
36022.655,-248,752,-376
36022.738,-312,1016,-400
36022.821,-280,520,-1280
36022.904,-272,872,-104
36022.987,-280,944,-520
36023.07,-224,712,-736
36023.154,-144,904,-472
36023.237,-160,824,-584
36023.32,-528,840,-312
36023.403,-376,848,-552
36023.486,56,864,-656
36023.569,-104,840,-528
36023.652,-656,840,-272
36023.735,-320,856,-560
36023.818,160,888,-608
36023.901,-408,880,-424
36023.984,-712,792,-416
36024.071,32,896,-608
36024.15,72,896,-568
36024.233,-720,816,-328
36025.625,-512,768,-456
36025.732,-656,760,-328
36025.811,80,920,-624
36025.894,32,824,-528
36025.977,-680,816,-336
36026.061,-200,904,-616
36026.144,256,896,-552
36026.227,-520,944,-456
36026.31,-648,784,-448
36026.393,208,872,-632
36026.477,-48,936,-520
36026.559,-688,832,-200
36026.642,-120,928,-648
36026.725,264,888,-584
36026.808,-648,912,-384
36026.893,-392,808,-472
36027.224,-288,920,-392
36027.307,-296,912,-488
36027.39,-312,904,-448
36027.473,-376,872,-496
36027.556,-424,832,-584
36027.639,-432,840,-504
36027.722,-416,848,-528
36027.805,-424,792,-552
36027.888,-408,728,-536
36027.972,-416,688,-568
