"Time(s)"," X"," Y"," Z"
"1418317754.416","520","816","184"
"1418317754.583","480","832","192"
"1418317754.750","432","896","232"
"1418317754.833","368","912","176"
"1418317755.082","392","752","-328"
"1418317755.248","96","80","-872"
"1418317755.414","-312","56","-704"
"1418317755.508","-512","448","-3344"
"1418317755.580","-480","144","-880"
"1418317755.666","-424","-288","-936"
"1418317755.746","-416","-160","-904"
"1418317755.829","-440","24","-976"
"1418317755.912","-480","-120","-1000"
"1418317755.995","-304","64","-2440"
"1418317756.079","-280","728","-2408"
"1418317756.162","72","768","-760"
"1418317756.245","552","192","200"
"1418317756.328","744","-304","584"
"1418317756.416","240","-456","304"
"1418317756.494","-456","-200","-352"
"1418317756.577","16","-48","-48"
"1418317756.660","-432","16","32"
"1418317756.747","-48","-48","-72"
"1418317756.826","1024","-392","-200"
"1418317756.909","928","-48","-1192"
"1418317756.992","272","1048","-2224"
"1418317757.241","-240","560","-1024"
"1418317757.327","-224","432","-952"
"1418317757.408","-192","480","-944"
"1418317757.496","-168","472","-904"
"1418317757.579","-240","384","-968"
"1418317757.657","-232","376","-912"
"1418317757.740","-256","384","-904"
"1418317757.823","-272","384","-872"
"1418317757.906","-272","416","-912"
"1418317757.994","-288","416","-888"
"1418317758.083","-328","368","-936"
"1418317758.155","-288","448","-888"
"1418317758.238","-296","408","-912"
"1418317758.321","-280","408","-904"
"1418317758.407","-296","416","-944"
"1418317758.492","-312","432","-928"
"1418317758.571","-400","728","-1024"
"1418317758.654","-144","1056","-528"
"1418317758.737","128","1056","-112"
"1418317758.820","536","848","384"
"1418317758.903","528","648","432"
"1418317758.987","576","448","56"
"1418317759.235","864","400","152"
